,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
98,15717,US,134843,45.1705555556,-98.9480555556,Census,Town,SD,"Cresbard, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,320,349,358.0,288,235,229.0,224.0,221,185,143.0,104.0
192,11618,US,134765,44.6736111111,-103.553055556,Census,Town,SD,"Nisland, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,173,187.0,212,216,211.0,157.0,216,174,204.0,232.0
207,13421,US,134750,45.8327777778,-98.5069444444,Census,City,SD,"Frederick, South Dakota",0,0,0,0,0,0,0,0,0,0,281,251,433,424,461.0,422,408,381.0,359.0,307,241,255.0,199.0
211,10637,US,134915,44.1616666667,-97.0169444444,Census,Town,SD,"Nunda, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,137,206,163.0,147,102,106.0,85.0,60,45,47.0,43.0
326,11533,US,134904,43.925,-100.54,Census,Town,SD,"Draper, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,211,173,169.0,190,252,215.0,200.0,138,123,92.0,82.0
357,13303,US,134901,44.1819444444,-98.3675,Census,Town,SD,"Alpena, South Dakota",0,0,0,0,0,0,0,0,0,0,0,153,417,576,499.0,440,426,407.0,307.0,288,251,265.0,286.0
592,15118,US,134944,43.5975,-97.2933333333,Census,City,SD,"Canistota, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,409,594,590.0,665,687,627.0,636.0,626,608,700.0,656.0
613,12460,US,91801,43.9,-99.85,Census,US County,SD,"Lyman County, South Dakota",0,0,0,0,0,0,0,0,0,124,233,2632,10848,6591,6335.0,5045,4572,4428.0,4060.0,3864,3638,3895.0,3755.0
620,15371,US,134964,43.5916666667,-96.5805555556,Census,City,SD,"Brandon, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,200,696.0,1431.0,2589,3545,5693.0,8785.0
799,9761,US,135036,43.3233333333,-101.037777778,Census,CDP,SD,"Parmelee, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,618,650.0,562.0
892,11296,US,91805,44.02,-97.12,Census,US County,SD,"Lake County, South Dakota",0,0,0,0,0,0,0,0,0,2657,7508,9137,10711,12257,12379.0,12412,11792,11764.0,11456.0,10724,10550,11276.0,11200.0
954,12914,US,135073,45.05,-101.601111111,Census,City,SD,"Dupree, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,213,365.0,460,438,548.0,523.0,562,484,434.0,525.0
957,11418,US,134908,44.4875,-97.7508333333,Census,Town,SD,"Bancroft, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,136,141,155.0,126,100,86.0,48.0,41,30,37.0,19.0
984,16498,US,134839,43.2994444444,-103.828888889,Census,City,SD,"Edgemont, South Dakota",0,0,0,0,0,0,0,0,0,0,0,479,816,1254,1103.0,1002,1158,1772.0,1174.0,1468,906,867.0,774.0
991,13426,US,134888,43.3522222222,-97.4341666667,Census,City,SD,"Freeman, South Dakota",0,0,0,0,0,0,0,0,0,0,0,525,615,894,987.0,976,944,1140.0,1357.0,1462,1293,1317.0,1306.0
1043,12998,US,134956,43.5694444444,-100.746111111,Census,City,SD,"White River, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,417,471.0,562,465,583.0,617.0,561,595,598.0,581.0
1074,14398,US,135060,42.5311111111,-96.4955555556,Census,City,SD,"North Sioux City, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,736.0,860.0,1992,2019,2288.0,2530.0
1363,11889,US,91819,44.3,-101.53,Census,US County,SD,"Haakon County, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,4596,4679.0,3515,3167,3303.0,2802.0,2794,2624,2196.0,1937.0
1424,11310,US,134745,44.245,-97.0433333333,Census,Town,SD,"Sinai, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,216,217.0,182,181,166.0,147.0,129,120,133.0,120.0
1462,11373,US,135008,45.3036111111,-97.0372222222,Census,Town,SD,"Summit, South Dakota",0,0,0,0,0,0,0,0,0,0,0,237,545,556,431.0,459,431,283.0,332.0,290,267,281.0,288.0
1495,16426,US,91813,45.59,-103.5,Census,US County,SD,"Harding County, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,4228,3953,3589.0,3010,2289,2371.0,1855.0,1700,1669,1353.0,1255.0
1576,11384,US,134991,45.5238888889,-102.464722222,Census,Town,SD,"Bison, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,457,457.0,406.0,457,451,373.0,333.0
1727,13258,US,134720,43.7147222222,-98.4830555556,Census,City,SD,"Plankinton, South Dakota",0,0,0,0,0,0,0,0,0,0,654,465,712,803,758.0,694,754,644.0,613.0,644,604,601.0,707.0
1732,13270,US,134734,43.175,-101.734166667,Census,City,SD,"Martin, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,720.0,1013,989,1184.0,1248.0,1018,1151,1106.0,1071.0
1849,13282,US,134815,45.3336111111,-97.5194444444,Census,City,SD,"Webster, South Dakota",0,0,0,0,0,0,0,0,0,0,618,1506,1713,1800,1805.0,2173,2503,2409.0,2252.0,2417,2017,1952.0,1886.0
1871,13684,US,134943,43.5502777778,-97.5002777778,Census,City,SD,"Bridgewater, South Dakota",0,0,0,0,0,0,0,0,0,0,410,691,934,976,762.0,790,748,694.0,633.0,653,533,607.0,492.0
1934,10136,US,134826,45.0063888889,-101.231388889,Census,Census-designated place,SD,"North Eagle Butte, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1354,1423,2163.0,1954.0
2033,11645,US,134856,45.0161111111,-96.5705555556,Census,Town,SD,"Revillo, South Dakota",0,0,0,0,0,0,0,0,0,0,0,187,332,338,274.0,325,249,202.0,142.0,158,152,147.0,119.0
2325,12177,US,134727,44.3694444444,-98.0383333333,Census,Town,SD,"Cavour, South Dakota",0,0,0,0,0,0,0,0,0,0,0,98,408,249,202.0,138,154,140.0,134.0,117,166,141.0,114.0
