,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
16,16174,US,136040,30.0841666667,-97.8391666667,Census,City,TX,"Buda, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,483,451.0,498.0,597,1795,2404.0,7295.0
63,9846,US,136034,33.1602777778,-99.7344444444,Census,City,TX,"Haskell, Texas",0,0,0,0,0,0,0,0,0,0,745,0,2436,2300,2632.0,3051,3836,4016.0,3655.0,3782,3362,3106.0,3322.0
66,17559,US,135551,29.0430555556,-95.7,Census,City,TX,"Sweeny, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1393,3087.0,3191.0,3538,3297,3624.0,3684.0
79,13308,US,6832211,30.1919444444,-98.0852777778,Census,Town,TX,"Dripping Springs, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1033,1548.0,1788.0
90,11057,US,91456,30.9,-100.54,Census,US County,TX,"Schleicher County, Texas",0,0,0,0,0,0,0,0,0,0,155,515,1893,1851,3166.0,3083,2852,2791.0,2277.0,2820,2990,2935.0,3461.0
95,5720,US,136351,31.5966666667,-97.0966666667,Census,City,TX,"Bellmead, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5127.0,7698.0,7569,8336,9214.0,9901.0
140,7728,US,136133,31.8475,-96.7972222222,Census,City,TX,"Hubbard, Texas",0,0,0,0,0,0,0,0,0,0,894,1608,1843,2072,1855.0,1871,1768,1628.0,1572.0,1676,1589,1586.0,1423.0
164,64124,US,135968,29.5744444444,-97.9652777778,Census,City,TX,"Seguin, Texas",0,0,0,0,0,0,0,792,830,1363,1716,2421,3116,3631,5225.0,7006,9733,14299.0,15934.0,17854,18692,22011.0,25175.0
188,46429,US,151127,29.7438888889,-94.9658333333,Census,City,TX,"Baytown, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,22983,28159.0,43980.0,56923,63850,66430.0,71802.0
245,11671,US,136220,32.4063888889,-97.2127777778,Census,city,TX,"Alvarado, Texas",0,0,0,0,0,0,0,0,0,377,1543,1342,1155,1284,1210.0,1324,1656,1907.0,2129.0,2701,2918,3288.0,3785.0
256,7630,US,91445,32.74,-98.84,Census,US County,TX,"Stephens County, Texas",0,0,0,0,0,0,0,230,330,4725,4926,6466,7980,15403,16560.0,12356,10597,8885.0,8414.0,9926,9010,9674.0,9630.0
258,9757,US,136817,30.5444444444,-97.5452777778,Census,City,TX,"Hutto, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,571,588.0,579,529,400.0,545.0,659,630,1250.0,14698.0
266,15377,US,91657,28.42,-97.74,Census,US County,TX,"Bee County, Texas",0,0,0,0,0,0,0,910,1082,2298,3720,7720,12090,12137,15721.0,16481,18174,23755.0,22737.0,26030,25135,32359.0,31861.0
271,8291,US,91554,33.61,-102.34,Census,US County,TX,"Hockley County, Texas",0,0,0,0,0,0,0,0,0,0,0,44,137,137,9298.0,12693,20407,22340.0,20396.0,23230,24199,22716.0,22935.0
274,8460,US,135627,26.0383333333,-97.5544444444,Census,Town,TX,"Rancho Viejo, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,885,1754.0,2437.0
281,15624,US,151162,32.9069444444,-96.5475,Census,City,TX,"Rowlett, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1015.0,2243.0,7522,23260,44503.0,56199.0
290,15782,US,136048,32.2027777778,-95.8491666667,Census,City,TX,"Athens, Texas",0,0,0,0,0,0,0,240,545,368,1035,0,2261,3176,4342.0,4765,5194,7086.0,9582.0,10197,10967,11297.0,12710.0
306,8761,US,135701,33.0433333333,-96.3730555556,Census,City,TX,"Nevada, Texas",0,0,0,0,0,0,0,0,0,0,247,356,510,578,386.0,0,0,0.0,0.0,0,456,563.0,822.0
327,6445,US,136042,30.1175,-97.8744444444,Census,City,TX,"Hays, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,286,251,233.0,217.0
337,6619,US,136492,30.6072222222,-94.9469444444,Census,City,TX,"Goodrich, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,350,239,243.0,271.0
352,47865,US,136600,32.35,-95.3,Census,City,TX,"Tyler, Texas",0,0,0,0,0,0,0,0,0,2423,6908,8069,10400,12085,17113.0,28279,38968,51230.0,57770.0,70508,75450,83650.0,96900.0
363,20753,US,136011,29.8905555556,-95.5686111111,Census,City,TX,"Jersey Village, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,493.0,765.0,4084,4826,6880.0,7620.0
368,50933,US,135760,33.3727777778,-95.6891666667,Census,City,TX,"Cooper, Texas",0,0,0,0,0,0,0,0,0,294,629,1518,1513,2563,2023.0,2537,2350,2213.0,2258.0,2338,2153,2150.0,1969.0
459,14252,US,136621,26.3805555556,-98.8183333333,Census,City,TX,"Rio Grande City, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,11923.0,13834.0
499,7125,US,135526,33.4725,-94.1694444444,Census,City,TX,"Red Lick, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,853.0,1008.0
561,7298,US,135708,33.3258333333,-96.6422222222,Census,City,TX,"Weston, Texas",0,0,0,0,0,0,0,0,157,166,0,0,0,0,0.0,0,0,0.0,0.0,405,362,635.0,563.0
563,19074,US,135466,28.4055555556,-97.7508333333,Census,City,TX,"Beeville, Texas",0,0,0,0,0,0,0,0,0,208,1311,0,3269,3063,4806.0,6789,9348,13811.0,13506.0,14574,13547,13129.0,12863.0
570,8063,US,91478,34.53,-102.78,Census,US County,TX,"Parmer County, Texas",0,0,0,0,0,0,0,0,0,0,7,34,1555,1699,5869.0,5890,5787,9583.0,10509.0,11038,9863,10016.0,10269.0
572,20334,US,91517,31.54,-96.58,Census,US County,TX,"Limestone County, Texas",0,0,0,0,0,0,2608,4537,8591,16246,21678,32573,34621,33283,39497.0,33781,25251,20413.0,18100.0,20224,20946,22051.0,23384.0
590,8307,US,135758,32.7180555556,-101.919166667,Census,City,TX,"Los Ybanez, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,83,32.0,19.0
593,16406,US,136603,32.2366666667,-97.7538888889,Census,City,TX,"Glen Rose, Texas",0,0,0,0,0,0,0,0,0,132,400,0,0,0,983.0,1050,1254,1422.0,1554.0,2075,1949,2122.0,2444.0
604,9682,US,136744,32.7086111111,-96.0063888889,Census,City,TX,"Wills Point, Texas",0,0,0,0,0,0,0,0,0,860,1025,1347,1398,1811,2023.0,1976,2030,2281.0,2636.0,2631,2986,3496.0,3524.0
640,6541,US,136289,31.24,-96.2552777778,Census,City,TX,"Marquez, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,381,287,194.0,185.0,231,270,220.0,263.0
642,20589,US,136640,32.8483333333,-97.0916666667,Census,City,TX,"Euless, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4263.0,19316.0,24002,38149,46005.0,51277.0
648,7452,US,136754,30.0633333333,-96.0230555556,Census,Town,TX,"Pine Island, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,571,849.0,988.0
663,15586,US,136002,29.6919444444,-95.1180555556,Census,City,TX,"Deer Park, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,736,4865.0,12773.0,22648,27652,28520.0,32010.0
678,15452,US,91558,,,Census,US County,TX,"Henderson County, Texas",0,0,0,0,0,0,1237,4595,6786,9735,12285,19970,20131,28327,30583.0,31822,23405,21786.0,26466.0,42606,58543,73277.0,78532.0
695,28880,US,91541,29.86,-94.14,Census,US County,TX,"Jefferson County, Texas",0,0,0,0,0,0,1836,1995,1906,3489,5857,14239,38182,73120,133391.0,145329,195083,245659.0,244773.0,250938,239397,252051.0,252273.0
728,17137,US,136384,33.7883333333,-97.7263888889,Census,City,TX,"Nocona, Texas",0,0,0,0,0,0,0,0,0,381,381,961,1333,1422,2352.0,2605,3022,3127.0,2871.0,2992,2870,3198.0,3033.0
731,6805,US,136381,32.4069444444,-100.714166667,Census,Town,TX,"Loraine, Texas",0,0,0,0,0,0,0,0,0,0,0,0,633,610,750.0,700,1045,837.0,700.0,929,731,656.0,602.0
746,145670,US,13774,29.7627777778,-95.3830555556,Census,City,TX,Houston,0,0,0,0,0,0,2396,4845,9332,16513,27557,44633,78800,138276,292352.0,384514,596163,938219.0,1232802.0,1595138,1630553,1953631.0,2100263.0
770,7105,US,136255,29.1727777778,-100.411388889,Census,City,TX,"Spofford, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,246,138.0,69.0,77,68,75.0,95.0
774,7262,US,151123,30.0063888889,-97.75,Census,City,TX,"Niederwald, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,233,584.0,565.0
790,18476,US,136018,29.6611111111,-95.2297222222,Census,City,TX,"South Houston, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.0,982,4126,7532.0,11527.0,13293,14207,15833.0,16983.0
832,10279,US,136000,29.7847222222,-95.1730555556,Census,Census-designated place,TX,"Cloverleaf, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,17317,18230,23508.0,22942.0
868,7063,US,135878,34.1244444444,-101.441666667,Census,Town,TX,"Lockney, Texas",0,0,0,0,0,0,0,0,0,0,0,0,750,1118,1466.0,1231,1692,2141.0,2094.0,2334,2207,2056.0,1842.0
886,9826,US,91519,31.3,-96.0,Census,US County,TX,"Leon County, Texas",0,0,0,0,0,0,1946,6781,6523,12817,13841,18072,16583,18286,19898.0,17733,12024,9951.0,8738.0,9594,12665,15335.0,16801.0
905,11342,US,151187,32.9575,-95.29,Census,City,TX,"Winnsboro, Texas",0,0,0,0,0,0,0,0,0,0,388,899,1741,2184,1905.0,2092,2512,2675.0,3064.0,3458,2904,3584.0,3252.0
915,12468,US,136398,30.1777777778,-95.1561111111,Census,City,TX,"Roman Forest, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,929,1033,1279.0,1538.0
922,6605,US,136420,31.9888888889,-96.4244444444,Census,City,TX,"Angus, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,93.0,244,363,334.0,414.0
927,24054,US,135744,32.7175,-96.6152777778,Census,City,TX,"Balch Springs, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6821.0,10464.0,13746,17406,19375.0,23728.0
943,10018,US,91432,33.17,-102.34,Census,US County,TX,"Terry County, Texas",0,0,0,0,0,0,0,0,0,0,21,48,1474,2236,8883.0,11160,13107,16286.0,14118.0,14581,13218,12761.0,12651.0
946,6434,US,136568,28.0797222222,-97.8855555556,Census,Town,TX,"Lake City, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,431,465,526.0,509.0
1016,13516,US,136240,32.4372222222,-96.2258333333,Census,City,TX,"Kemp, Texas",0,0,0,0,0,0,0,0,0,0,335,0,0,0,990.0,1000,881,816.0,999.0,1035,1184,1133.0,1154.0
1054,8375,US,136476,32.6694444444,-97.6513888889,Census,Town,TX,"Annetta South, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,249,413,555.0,526.0
1055,8281,US,136127,31.8522222222,-97.2191666667,Census,City,TX,"Aquilla, Texas",0,0,0,0,0,0,0,0,0,42,0,0,0,0,0.0,0,0,0.0,115.0,130,136,136.0,109.0
1063,11319,US,135810,32.3986111111,-98.8211111111,Census,City,TX,"Eastland, Texas",0,0,0,0,0,0,0,0,88,539,0,596,855,9368,4648.0,3849,3626,3292.0,3178.0,3747,3690,3769.0,3960.0
1080,9827,US,91504,28.78,-96.0,Census,US County,TX,"Matagorda County, Texas",0,0,0,0,0,0,2124,3454,3377,3940,3985,6097,13597,16589,17678.0,20066,21559,25744.0,27913.0,37828,36928,37957.0,36702.0
1099,13182,US,79663,30.0341666667,-93.8427777778,Census,City,TX,"Bridge City, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,7667,8034,8651.0,7840.0
1118,6916,US,136405,30.2180555556,-95.4102777778,Census,Town,TX,"Woodloch, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,351,291,247.0,207.0
