,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
19,9008,US,137485,37.5855555556,-75.7833333333,Census,Town,VA,"Painter, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,349.0,363.0,321,259,246.0,229.0
150,19178,US,137708,38.6641666667,-78.4544444444,Census,Town,VA,"Luray, Virginia",0,0,0,0,0,0,0,0,0,632,1386,1147,1218,1381,1459.0,1511,2731,3014.0,3612.0,3584,4587,4871.0,4895.0
297,8724,US,137622,36.7008333333,-81.4447222222,Census,Town,VA,"Troutdale, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,431,636,357.0,334,250,273.0,209.0,248,196,1230.0,178.0
322,7018,US,137477,37.8286111111,-75.6222222222,Census,Town,VA,"Bloxom, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,349.0,391.0,407,357,395.0,387.0
416,16927,US,91289,38.41,-78.28,Census,US County,VA,"Madison County, Virginia",0,8322,8381,8490,9236,8107,9331,8854,8670,10562,10225,10216,10055,9595,8952.0,8465,8273,8187.0,8638.0,10232,11949,12520.0,13308.0
422,33817,US,91342,36.7141666667,-76.2383333333,Census,Independent city,VA,"Chesapeake, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,73647.0,89580.0,114486,151976,199184.0,222209.0
491,9277,US,91260,37.06,-80.71,Census,US County,VA,"Pulaski County, Virginia",0,0,0,0,0,3739,5118,5416,6538,8755,12790,14609,17246,17111,20566.0,22767,27758,27258.0,29564.0,35229,34496,35127.0,34872.0
629,7839,US,137483,37.7105555556,-75.7463888889,Census,Town,VA,"Onancock, Virginia",0,0,0,0,0,0,0,0,0,0,0,938,1001,1074,1245.0,1283,1353,1759.0,1614.0,1461,1434,1525.0,1263.0
671,13865,US,137554,37.15,-82.4566666667,Census,Town,VA,"Clintwood, Virginia",0,0,0,0,0,0,0,0,0,0,0,255,342,400,729.0,1106,1366,1400.0,1320.0,1369,1542,1549.0,1414.0
751,19939,US,91269,36.68,-80.29,Census,US County,VA,"Patrick County, Virginia",0,4331,4695,5089,7395,8032,9609,9359,10161,12833,14147,15403,17195,16850,15787.0,16613,15642,15282.0,15282.0,17647,17473,19407.0,18490.0
754,15003,US,137798,37.305,-81.3397222222,Census,Town,VA,"Pocahontas, Virginia",0,0,0,0,0,0,0,0,0,0,2953,2789,3561,3775,2293.0,2673,2410,1313.0,891.0,703,513,441.0,389.0
807,18509,US,91306,,,Census,US County,VA,"Henry County, Virginia",8479,5259,5611,5624,7100,7335,8872,12105,12303,16009,18208,19265,18459,20238,20088.0,26481,31219,40335.0,50901.0,57654,56942,57930.0,54151.0
1120,11600,US,137533,38.1697222222,-77.1908333333,Census,Town,VA,"Port Royal, Virginia",0,0,0,0,0,0,470,323,435,347,236,193,194,155,157.0,123,139,128.0,199.0,147,204,170.0,126.0
1390,6983,US,137683,36.6972222222,-78.0922222222,Census,Town,VA,"La Crosse, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,281,320,427.0,524,675,726.0,674.0,734,549,618.0,604.0
1477,10567,US,137587,38.8830555556,-77.29,Census,Census-designated place,VA,"Oakton, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,24610,29348.0,34166.0
1504,28305,US,91352,38.03,-77.35,Census,US County,VA,"Caroline County, Virginia",17489,17438,17544,18008,17760,17813,18456,18464,15128,17243,16681,16709,16596,15954,15263.0,13945,12471,12725.0,13925.0,17904,19217,22121.0,28545.0
1542,10673,US,137675,39.1336111111,-77.7702777778,Census,Town,VA,"Round Hill, Loudoun County, Virginia",0,0,0,0,0,0,0,0,0,0,207,318,379,359,359.0,337,403,430.0,581.0,510,514,500.0,539.0
1617,8588,US,137603,37.1155555556,-79.9538888889,Census,Town,VA,"Boones Mill, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.0,377,335,371.0,363.0,344,239,285.0,239.0
1636,21191,US,137563,38.7813888889,-77.2708333333,Census,Census-designated place,VA,"Burke, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,33835,57734,57737.0,41055.0
1734,8588,US,137771,36.8,-81.6811111111,Census,Town,VA,"Chilhowie, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,572,712.0,889,1022,1169.0,1317.0,1265,1960,1827.0,1781.0
1900,44055,US,91261,38.7,-77.48,Census,US County,VA,"Prince William County, Virginia",11615,12733,11311,9419,9330,8144,8129,8565,7504,9180,9805,11112,12026,13660,13951.0,17738,22612,50164.0,111102.0,144636,215686,280813.0,402002.0
1953,18200,US,137601,37.7522222222,-78.1622222222,Census,Unincorporated community,VA,"Columbia, Virginia",0,0,0,0,0,0,0,263,311,239,239,216,157,185,154.0,144,119,86.0,125.0,111,58,49.0,83.0
2171,20727,US,91340,37.2438888889,-77.4105555556,Census,Independent city,VA,"Colonial Heights, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331.0,3194,6077,9587.0,15097.0,16509,16064,16897.0,17411.0
2447,43992,US,91348,,,Census,US County,VA,"Chesterfield County, Virginia",14214,14488,9979,18003,18637,17148,17489,19016,18470,25085,26211,18804,21299,20496,26049.0,31183,40400,71197.0,76855.0,141372,209274,259903.0,316236.0
2564,20331,US,91367,37.78,-80.01,Census,US County,VA,"Alleghany County, Virginia",0,0,0,0,2816,2749,3515,6765,3674,5586,9283,16330,14173,15332,20188.0,22688,23139,12128.0,12461.0,14333,13176,12926.0,16250.0
2621,41024,US,91308,38.4494444444,-78.8688888889,Census,Independent city,VA,"Harrisonburg, Virginia",0,0,0,0,0,0,0,1023,2036,2831,2792,3521,4879,5875,7232.0,8768,10810,11916.0,14605.0,19671,30707,40468.0,48914.0
2663,15369,US,58117,37.17,-80.39,Census,US County,VA,"Montgomery County, Virginia",13228,9044,8409,8733,12306,7405,8359,10617,12556,16693,17742,15852,17268,18595,19605.0,21206,29780,32923.0,47157.0,63516,73913,83629.0,94392.0
2721,8326,US,151255,38.2675,-78.825,Census,Town,VA,"Grottoes, Virginia",0,0,0,0,0,0,0,0,0,0,0,381,456,492,534.0,759,908,969.0,1166.0,1369,1455,2114.0,2668.0
2758,54255,US,91268,37.2127777778,-77.4002777778,Census,Independent city,VA,"Petersburg, Virginia",2828,3521,5668,6690,8322,11136,14010,18266,18950,21656,22680,21810,24127,31012,28564.0,30631,35054,36750.0,36103.0,41055,38386,33740.0,32420.0
2795,15024,US,137672,38.9683333333,-77.7375,Census,Town,VA,"Middleburg, Virginia",0,0,0,0,0,0,0,0,0,419,429,296,263,283,298.0,629,663,761.0,833.0,619,549,632.0,673.0
2809,10267,US,137553,37.1625,-82.36,Census,Town,VA,"Clinchco, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,424.0,337.0
2928,17104,US,91237,38.07,-78.8944444444,Census,Independent city,VA,"Waynesboro, Virginia",0,0,0,0,0,0,0,457,536,484,646,856,1389,1594,6226.0,7373,12357,15694.0,16707.0,15329,18549,19520.0,21006.0
3119,17678,US,91255,37.27,-80.08,Census,US County,VA,"Roanoke County, Virginia",0,0,0,0,0,5499,8477,8048,9350,13105,30101,15837,19623,22395,35289.0,42897,41486,61693.0,67339.0,72945,79332,85778.0,92376.0
3264,10122,US,137515,37.5252777778,-79.6833333333,Census,Town,VA,"Buchanan, Virginia",0,0,0,0,0,0,0,0,0,414,802,716,792,802,825.0,868,1300,1349.0,1326.0,1205,1222,1233.0,1178.0
3289,7531,US,151259,36.7033333333,-78.0316666667,Census,Town,VA,"Brodnax, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,235,365.0,536,499,561.0,569.0,492,388,317.0,298.0
3313,8896,US,137676,38.0241666667,-78.0016666667,Census,Town,VA,"Louisa, Virginia",0,0,0,0,0,0,0,0,0,315,0,261,318,289,301.0,365,344,576.0,633.0,932,1088,1401.0,1555.0
3329,23040,US,45451,39.21,-78.26,Census,US County,VA,"Frederick County, Virginia",19681,24744,22574,24706,26046,14242,15975,16546,16596,17553,17880,13239,12787,12461,13167.0,14008,17537,21941.0,28893.0,34150,45723,59209.0,78305.0
3517,18449,US,91283,37.42,-76.28,Census,US County,VA,"Mathews County, Virginia",0,5806,4227,6920,7664,7442,6714,7091,6200,7501,7584,8239,8922,8447,7884.0,7149,7148,7121.0,7168.0,7995,8348,9207.0,8978.0
3554,6335,US,137741,37.2780555556,-79.8952777778,Census,Town,VA,"Vinton, Virginia",0,0,0,0,0,0,0,0,0,0,1057,1438,1928,2779,3610.0,3455,3629,3432.0,6347.0,8027,7665,7782.0,8098.0
3566,16602,US,91314,36.65,-81.23,Census,US County,VA,"Grayson County, Virginia",0,3912,4941,5598,7675,9087,6677,8252,9587,13068,14394,16853,19856,19816,20017.0,21916,21379,17930.0,15439.0,16579,16278,17917.0,15533.0
3582,13319,US,137557,37.9222222222,-76.8630555556,Census,Town,VA,"Tappahannock, Virginia",0,0,0,0,0,0,0,0,0,574,452,554,478,422,427.0,783,1011,1086.0,1111.0,1821,1550,2068.0,2375.0
3625,8327,US,137556,36.9833333333,-77.7188888889,Census,Town,VA,"McKenney, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.0,453,476,519.0,489.0,473,386,441.0,483.0
