,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
69,9871,US,137399,43.3744444444,-73.2019444444,Census,Town,VT,"Pawlet, Vermont",1458,1938,2233,2155,1965,1748,1843,1539,1505,1696,1745,1731,1959,1413,1476.0,1192,1156,1112.0,1184.0,1244,1314,1394.0,1477.0
268,20510,US,91380,44.8,-73.29,Census,US County,VT,"Grand Isle County, Vermont",0,0,3445,3527,3696,3883,4145,4276,4082,4124,3843,4462,3761,3784,3944.0,3802,3406,2927.0,3574.0,4613,5318,6901.0,6970.0
300,12359,US,137444,42.7683333333,-72.5191666667,Census,Town,VT,"Vernon, Vermont",482,480,521,627,681,705,821,725,764,652,567,578,606,556,609.0,559,712,865.0,1024.0,1175,1850,2141.0,2206.0
361,9079,US,350746,,,Census,town,VT,"Rutland (town), Vermont",1407,2125,2379,2369,2753,2708,3715,7577,9834,12149,11760,1109,1311,1270,1387.0,1350,1416,1542.0,2248.0,3300,3781,4038.0,4054.0
400,7130,US,137280,44.6425,-71.9802777778,Census,Village,VT,"West Burke, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,325,0,359.0,316,414,369.0,358.0,338,353,364.0,343.0
503,11419,US,137344,44.6436111111,-72.8294444444,Census,Village,VT,"Jeffersonville, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0,287,387,346.0,382.0,491,462,568.0,729.0
505,18055,US,137381,44.8086111111,-72.2041666667,Census,Village,VT,"Orleans, Vermont",0,0,0,0,0,0,0,0,0,378,482,677,1131,1358,1301.0,1332,1261,1240.0,1138.0,983,806,826.0,818.0
554,9378,US,137339,44.8311111111,-73.2736111111,Census,Town,VT,"North Hero, Vermont",125,324,552,503,638,716,730,594,601,637,550,712,496,494,485.0,442,407,328.0,364.0,442,502,810.0,803.0
558,56305,US,260210,42.8911111111,-73.2080555556,Census,Town,VT,"Bennington, Vermont",2377,2243,2524,2485,3419,3429,3932,4389,5760,6333,6391,8033,8698,9982,10628.0,11257,12411,13002.0,14586.0,15815,16451,15737.0,15764.0
735,7121,US,137423,44.3980555556,-72.5533333333,Census,Town,VT,"Worcester, Vermont",0,25,41,44,432,567,702,684,775,802,725,636,694,463,471.0,396,445,417.0,505.0,727,906,902.0,998.0
