,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
57,5633,US,139011,44.8083333333,-92.0602777778,Census,Town,WI,"Weston, Dunn County, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,560,630.0,594.0
68,10674,US,260360,43.1366666667,-89.7475,Census,Village,WI,"Black Earth, Wisconsin",0,0,0,0,0,0,0,0,0,0,355,0,479,464,490.0,531,655,784.0,1114.0,1145,1248,1320.0,1338.0
76,10682,US,139194,43.9211111111,-90.27,Census,Village,WI,"Camp Douglas, Wisconsin",0,0,0,0,0,0,0,0,0,0,225,432,473,471,438.0,445,556,489.0,547.0,589,512,592.0,601.0
94,16136,US,139707,43.2741666667,-89.7283333333,Census,Village,WI,"Sauk City, Wisconsin",0,0,0,0,0,0,0,0,0,917,876,810,867,1162,1137.0,1325,1755,2095.0,2385.0,2703,3019,3109.0,3410.0
100,31809,US,100265,43.6374,-89.7788,Census,City,WI,"Wisconsin Dells, Wisconsin",0,0,0,0,0,0,0,0,1114,945,961,1134,1170,1206,1489.0,1762,1957,2105.0,2401.0,2521,2393,2418.0,2678.0
158,9187,US,139136,42.8427777778,-90.3963888889,Census,Village,WI,"Rewey, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,329,324,249.0,267,252,219.0,232.0,233,220,311.0,292.0
272,10220,US,139966,43.135,-88.2202777778,Census,Village,WI,"Sussex, Wisconsin",0,0,0,0,0,0,0,0,0,131,0,0,0,0,496.0,548,679,1087.0,2758.0,3482,5039,8828.0,10518.0
285,14536,US,529459,44.832346,-87.372076,Census,City,WI,"Sturgeon Bay, Wisconsin",0,0,0,0,0,0,0,0,0,1199,2195,3372,4262,4553,4983.0,5439,7054,7353.0,6776.0,8847,9176,9437.0,9144.0
291,9562,US,138818,44.9030555556,-91.5591666667,Census,Town,WI,"Wheaton, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1652.0,2017,2279,2366.0,2701.0
303,18265,US,57248,43.97,-89.77,Census,US County,WI,"Adams County, Wisconsin",0,0,0,0,0,0,187,6492,6601,6741,6889,9141,8604,9287,8003.0,8449,7906,7566.0,9234.0,13457,15682,18643.0,20875.0
309,11005,US,260586,44.875,-88.1427777778,Census,City,WI,"Oconto Falls, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,1427,1914,1921.0,1888,2050,2331.0,2517.0,2500,2584,2843.0,2891.0
328,9221,US,139857,43.6558333333,-91.0972222222,Census,Village,WI,"Chaseburg, Wisconsin",0,0,0,0,0,0,0,0,0,125,0,0,0,0,218.0,258,219,242.0,224.0,279,365,306.0,284.0
390,12413,US,260298,45.4983333333,-91.7388888889,Census,City,WI,"Rice Lake, Wisconsin",0,0,0,0,0,0,0,0,0,362,2130,3002,3968,4457,5177.0,5719,6898,7303.0,7278.0,7691,7998,8320.0,8438.0
412,13186,US,260496,43.08,-88.9091666667,Census,City,WI,"Lake Mills, Wisconsin",0,0,0,0,0,0,0,0,590,671,1053,1387,1672,1754,2007.0,2219,2516,2951.0,3556.0,3670,4143,4843.0,5708.0
497,19605,US,260592,44.5086111111,-88.3283333333,Census,City,WI,"Seymour, Wisconsin",0,0,0,0,0,0,0,0,0,850,733,1026,1109,1280,1201.0,1365,1760,2045.0,2194.0,2530,2782,3335.0,3451.0
537,9472,US,260523,42.5680555556,-90.0413888889,Census,Village,WI,"Gratiot, Wisconsin",0,0,0,0,0,0,0,0,0,191,0,335,368,338,287.0,297,323,294.0,249.0,280,207,252.0,236.0
548,30692,US,90930,45.21,-90.5,Census,US County,WI,"Taylor County, Wisconsin",0,0,0,0,0,0,0,0,0,2311,6731,11262,13641,18045,17685.0,20105,18456,17843.0,16958.0,18817,18901,19680.0,20689.0
644,12318,US,139766,43.5683333333,-87.8227777778,Census,Village,WI,"Cedar Grove, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,327,498,654,814.0,907,1010,1175.0,1276.0,1420,1521,1887.0,2113.0
