,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
124,8583,US,105454,58.4113888889,-135.408611111,,Census,Census-designated place,AK,"Excursion Inlet, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23,0,0.0,0.0,0.0,0.0,10.0,12.0
197,9047,US,105598,66.5969444444,-160.013611111,,Census,City,AK,"Selawik, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,274,227.0,239,273,348.0,429.0,535.0,596.0,772.0,829.0
254,9135,US,105705,61.8780555556,-162.084722222,,Census,City,AK,"Marshall, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91,95,166.0,175.0,262.0,273.0,349.0,414.0
302,8338,US,105302,58.9811111111,-159.055833333,,Census,City,AK,"Manokotak, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,120,149.0,214.0,294.0,385.0,399.0,442.0
309,3274,US,1079859,64.895,-163.676388889,,Census,Census Area,AK,"Council, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,289,109,0.0,48,41,0.0,0.0,0.0,8.0,,
413,11203,US,105569,64.3555555556,-161.191388889,,Census,City,AK,"Shaktoolik, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,73,104.0,128,127,187.0,151.0,164.0,178.0,230.0,251.0
428,4946,US,19343449,63.6736111111,-145.883333333,,Census,Unincorporated community,AK,"Donnelly, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,7.0,0.0,0.0,0.0,0.0
504,6650,US,105447,64.3325,-146.779722222,,Census,Census-designated place,AK,"Harding-Birch Lakes, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,38.0,27.0,216.0,299.0
731,6981,US,105517,59.3302777778,-155.908055556,,Census,Cdp,AK,"Igiugig, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,36.0,33.0,33.0,53.0,50.0
774,3772,US,1080505,65.15,-165.066666667,,Census,Census Area,AK,"Mary's Igloo, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,141,115,113.0,114,64,0.0,0.0,,,,
890,10558,US,22555296,65.4833333333,-144.634166667,,Census,Unincorporated community,AK,"Circle Hot Springs, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,14,0,0.0,0.0,0.0,29.0,0.0,0.0
1191,6550,US,105471,59.9483333333,-151.718611111,,Census,Cdp,AK,"Happy Valley, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,309.0,489.0,593.0
1243,8079,US,105669,60.0663888889,-148.011111111,,Census,Cdp,AK,"Chenega, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,94.0,86.0,76.0
1283,38271,US,105213,53.8888888889,-166.527222222,,Census,City,AK,"Unalaska, Alaska",0,0,0,0,0,0,0,0,0,406,317,428,281,299,226.0,298,173,218.0,342.0,1322.0,3089.0,4283.0,4376.0
1474,6200,US,105734,66.9030555556,-151.499166667,,Census,Cdp,AK,"Evansville, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,57.0,94.0,33.0,28.0,15.0
1776,7515,US,18483412,65.1122222222,-147.477222222,,Census,,AK,"Chatanika, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,193,0,63.0,106,0,0.0,0.0,0.0,0.0,0.0,0.0
1831,6614,US,2548507,57.0894444444,-134.833055556,,Census,Unknown,AK,"Baranof Warm Springs, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
1891,7099,US,105285,60.5805555556,-165.259444444,,Census,Cdp,AK,"Tununak, Alaska",0,0,0,0,0,0,0,0,0,8,48,0,0,0,0.0,65,112,183.0,274.0,298.0,316.0,325.0,327.0
1896,8918,US,105300,59.3491666667,-157.485277778,,Census,City,AK,"Ekwok, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,68,131,106.0,103.0,77.0,77.0,130.0,115.0
2026,24048,US,105477,60.5586111111,-151.229722222,,Census,City,AK,"Kenai, Alaska",0,0,0,0,0,0,0,0,0,44,264,290,250,332,286.0,303,321,778.0,3533.0,4324.0,6327.0,6942.0,7100.0
2142,12166,US,105564,64.5447222222,-163.0275,,Census,City,AK,"Golovin, Alaska",0,0,0,0,0,0,0,0,0,0,38,140,0,0,135.0,116,94,59.0,117.0,87.0,127.0,144.0,156.0
2649,9239,US,105702,,,,Census,City,AK,"Emmonak, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,439.0,567.0,642.0,767.0,762.0
2803,9457,US,87475,,,,Census,US County,AK,"Kodiak Island Borough, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7174.0,9409.0,9939.0,13309.0,13913.0,13592.0
3304,3240,US,27515133,64.4833333333,-165.316666667,,Census,Census Area,AK,"Fort Davis, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,180,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3343,7786,US,105641,64.7813888889,-141.114722222,,Census,Cdp,AK,"Eagle Village, Alaska",0,0,0,0,0,0,0,0,0,106,66,0,0,60,78.0,63,0,0.0,0.0,54.0,35.0,68.0,67.0
3375,22592,US,105751,64.5580555556,-149.090555556,,Census,City,AK,"Nenana, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,190,634,291.0,231,242,286.0,382.0,470.0,393.0,402.0,378.0
