,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
5,7844,US,104707,34.3302777778,-87.9275,,Census,Town,AL,"Hodges, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,279,247.0,260,220,194.0,207.0,250.0,272.0,261.0,288.0
48,7084,US,104579,33.5252777778,-85.3433333333,,Census,Town,AL,"Ranburne, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,317.0,371.0,417.0,447.0,459.0,409.0
54,3040,US,48904220,31.1205555556,-85.6716666667,,Census,Unincorporated community,AL,"Dundee, Alabama",0,0,0,0,0,0,0,0,0,0,0,249,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,25637,US,77828,32.5969444444,-86.1513888889,,Census,US County,AL,"Elmore County, Alabama",0,0,0,0,0,0,0,0,14477,17502,21732,26099,28245,28085,34280.0,34546,31649,30524.0,33661.0,43390.0,49210.0,65874.0,79303.0
93,5681,US,6022587,31.88495,-85.1539,,Census,Town,AL,"Bakerhill, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,279.0
100,3717,US,38492381,31.5577777778,-85.5455555556,,Census,Unincorporated community,AL,"Skipperville, Alabama",0,0,0,0,0,0,0,0,0,85,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
103,3946,US,39606165,33.2511111111,-86.2025,,Census,Unincorporated community,AL,"Sycamore, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
113,11147,US,104877,34.9061111111,-86.4261111111,,Census,Cdp,AL,"New Market, Alabama",0,0,0,0,0,0,0,0,0,144,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1094.0,1864.0,1597.0
207,24913,US,76957,34.1697222222,-85.5941666667,,Census,US County,AL,"Cherokee County, Alabama",0,0,0,0,0,8773,13884,18360,11132,19108,20459,21096,20226,20862,20219.0,19928,17634,16303.0,15606.0,18760.0,19543.0,23988.0,25989.0
215,10153,US,104719,31.1125,-86.0477777778,,Census,City,AL,"Samson, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,1350,1646,1656.0,2182,2204,1932.0,2257.0,2402.0,2190.0,2071.0,1940.0
256,25190,US,76945,32.8452777778,-86.7144444444,,Census,US County,AL,"Chilton County, Alabama",0,0,0,0,0,0,0,0,6194,10793,14549,16522,23187,22770,24579.0,27955,26922,25693.0,25180.0,30612.0,32458.0,39593.0,43643.0
344,25255,US,76955,31.6736111111,-87.8380555556,,Census,US County,AL,"Clarke County, Alabama",0,0,0,5839,7595,8640,9786,15049,14663,17806,22624,27790,30987,26409,26016.0,27636,26548,25738.0,26724.0,27702.0,27240.0,27867.0,25833.0
361,8858,US,105103,33.1233333333,-85.5663888889,,Census,Town,AL,"Wadley, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,426,508,527.0,493,535,605.0,626.0,532.0,517.0,640.0,751.0
408,4512,US,2258177,33.2291666667,-86.825,,Census,Unincorporated community,AL,"Siluria, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,736.0,678.0,0.0,0.0,0.0,0.0
466,11186,US,104838,34.9166666667,-88.0641666667,,Census,Town,AL,"Waterloo, Alabama",0,0,0,0,0,0,0,0,0,196,0,0,435,415,497.0,524,327,215.0,262.0,260.0,250.0,208.0,203.0
474,3927,US,35041331,33.5522222222,-86.2691666667,,Census,Neighborhood,AL,"Cropwell, Alabama",0,0,0,0,0,0,0,0,0,105,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
523,14398,US,104818,33.4330555556,-86.7788888889,,Census,City,AL,"Vestavia Hills, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4029.0,12250.0,15722.0,19749.0,24476.0,34033.0
655,6332,US,22802650,32.9897222222,-85.2886111111,,Census,Census-designated place,AL,"Fredonia, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
669,9846,US,104677,32.5938888889,-86.3933333333,,Census,Town,AL,"Deatsville, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,194,0,0.0,0,0,0.0,0.0,0.0,0.0,340.0,1154.0
702,7446,US,104927,31.8263888889,-87.3205555556,,Census,Town,AL,"Vredenburgh, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,874,815.0,666,796,632.0,521.0,433.0,313.0,327.0,312.0
885,10433,US,104761,33.5902777778,-86.9491666667,,Census,City,AL,"Adamsville, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,649,0,0.0,0,1531,2095.0,2412.0,2498.0,4161.0,4965.0,4522.0
952,7151,US,104862,32.1530555556,-86.7116666667,,Census,Town,AL,"Gordonville, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,318.0,326.0
1006,10101,US,104846,32.5608333333,-85.6675,,Census,Town,AL,"Notasulga, Alabama",0,0,0,0,0,0,0,0,0,236,332,0,512,619,756.0,863,816,884.0,833.0,876.0,979.0,916.0,965.0
1020,7361,US,104611,31.6675,-86.1747222222,,Census,Town,AL,"Glenwood, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,336,386,429.0,393,413,416.0,378.0,341.0,208.0,191.0,187.0
1026,4998,US,35040050,31.6713888889,-86.7122222222,,Census,Unincorporated community,AL,"Chapman, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,1142,1189.0,1167,943,617.0,0.0,0.0,0.0,0.0,0.0
1029,16227,US,104574,33.2719444444,-85.8366666667,,Census,Town,AL,"Ashland, Alabama",0,0,0,0,0,0,0,0,118,387,635,422,1062,1655,1476.0,1608,1593,1610.0,1921.0,2052.0,2034.0,1965.0,2037.0
1060,15716,US,105168,33.8905555556,-87.5241666667,,Census,City,AL,"Carbon Hill, Alabama",0,0,0,0,0,0,0,0,0,0,568,830,1627,2666,2519.0,2555,2179,1944.0,1929.0,2452.0,2115.0,2071.0,2021.0
