,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
78,9545,US,106931,35.4944444444,-94.1386111111,,Census,City,AR,"Dyer, Arkansas",0,0,0,0,0,0,0,0,0,0,0,343,433,609,425.0,513,398,450.0,486.0,608.0,502.0,585.0,876.0
111,10537,US,107179,34.3086111111,-90.8541666667,,Census,City,AR,"Elaine, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,377,511.0,634,744,898.0,1210.0,991.0,846.0,865.0,636.0
114,18571,US,107132,35.9308333333,-89.9138888889,,Census,City,AR,"Blytheville, Arkansas",0,0,0,0,0,0,0,0,0,0,0,302,3849,6447,10098.0,10652,16234,20797.0,24752.0,23844.0,22906.0,18272.0,15620.0
164,7497,US,107141,35.7569444444,-89.9297222222,,Census,City,AR,"Luxora, Arkansas",0,0,0,0,0,0,0,0,0,0,0,943,677,1179,1074.0,1258,1302,1236.0,1566.0,1739.0,1338.0,1317.0,1178.0
330,10942,US,106896,36.3838888889,-90.1927777778,,Census,City,AR,"Piggott, Arkansas",0,0,0,0,0,0,0,0,0,0,0,597,1150,2016,1885.0,2034,2558,2776.0,3087.0,3762.0,3777.0,3894.0,3849.0
341,12635,US,107084,36.0725,-90.9569444444,,Census,Town,AR,"Walnut Ridge, Arkansas",0,0,0,0,0,0,0,0,0,301,457,845,1798,2226,2007.0,2013,3106,3547.0,3800.0,4152.0,4388.0,4925.0,4890.0
397,11520,US,107061,34.274,-92.0909722222,,Census,City,AR,"White Hall, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1300.0,2214.0,3849.0,4732.0,5526.0
480,8284,US,106922,35.7591666667,-90.3230555556,,Census,City,AR,"Caraway, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.0,477,970,821.0,952.0,1165.0,1178.0,1349.0,1279.0
483,4206,US,36012587,36.2058111111,-93.2046527778,,Census,Township,AR,"Bryan Township, Boone County, Arkansas",0,0,0,0,0,0,0,0,0,0,0,416,403,334,268.0,357,583,305.0,573.0,903.0,780.0,1006.0,1018.0
518,14835,US,106812,34.4969444444,-91.5508333333,,Census,City,AR,"Stuttgart, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,2740,4522,4927.0,5628,7276,9661.0,10477.0,10941.0,10420.0,9745.0,9326.0
592,4121,US,31699660,34.0391666667,-92.2775,,Census,Census-designated place,AR,"Staves, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
607,16296,US,107255,35.2155555556,-94.2533333333,,Census,City,AR,"Greenwood, Arkansas",0,0,0,0,0,0,0,0,0,204,587,491,1124,1374,591.0,1219,1634,1558.0,2032.0,3317.0,3984.0,7112.0,8952.0
641,21699,US,97430,36.1558333333,-91.505,,Census,US County,AR,"Sharp County, Arkansas",0,0,0,0,0,0,0,0,5400,9047,10418,12199,11688,11132,10715.0,11497,8999,6319.0,8233.0,14607.0,14109.0,17119.0,17264.0
756,8954,US,106919,35.8363888889,-90.3675,,Census,Town,AR,"Black Oak, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.0,329,261,220.0,272.0,309.0,277.0,286.0,262.0
921,8490,US,107310,35.2327777778,-91.6702777778,,Census,City,AR,"Kensett, Arkansas",0,0,0,0,0,0,0,0,0,86,0,0,0,480,889.0,827,829,905.0,1444.0,1751.0,1741.0,1791.0,1648.0
992,8392,US,107111,34.7861111111,-91.7447222222,,Census,City,AR,"Carlisle, Arkansas",0,0,0,0,0,0,0,0,0,159,185,212,516,602,907.0,1080,1396,1514.0,2048.0,2567.0,2253.0,2304.0,2214.0
1037,6615,US,107099,35.1308333333,-93.7122222222,,Census,Town,AR,"Blue Mountain, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0,171,122,94.0,108.0,112.0,146.0,132.0,124.0
1123,27322,US,107160,33.8025,-93.3819444444,,Census,City,AR,"Prescott, Arkansas",0,0,0,0,0,0,0,0,0,1253,1287,2005,2705,2691,3033.0,3177,3960,3533.0,3921.0,4103.0,3673.0,3686.0,3296.0
1138,43390,US,97501,33.2088888889,-91.7952777778,,Census,US County,AR,"Ashley County, Arkansas",0,0,0,0,0,0,2058,8590,8042,10156,13295,19734,25268,23410,25151.0,26785,25660,24220.0,24976.0,26538.0,24319.0,24209.0,21853.0
1231,46667,US,106832,36.3666666667,-94.2133333333,,Census,City,AR,"Bentonville, Arkansas",0,0,0,0,0,0,0,0,0,696,1677,1843,1956,2313,2203.0,2359,2942,3649.0,5508.0,8756.0,11257.0,19730.0,35301.0
1275,3501,US,31670295,35.5155555556,-93.325,,Census,Census-designated place,AR,"Hagarville, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1318,8678,US,106902,35.6019444444,-92.2641666667,,Census,City,AR,"Fairfield Bay, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,2460.0,2338.0
1407,24763,US,97432,35.5941666667,-94.2580555556,,Census,US County,AR,"Sebastian County, Arkansas",0,0,0,0,0,0,0,9238,12940,19560,33200,36935,52278,56739,54426.0,62809,64202,66685.0,79237.0,95172.0,99590.0,115071.0,125744.0
1409,5023,US,23054432,36.2983333333,-94.5777777778,,Census,Census-designated place,AR,"Cherokee City, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1445,7195,US,107136,35.7172222222,-90.2219444444,,Census,Town,AR,"Etowah, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,366.0,351.0
