,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
4,6712,US,106635,33.9902777778,-114.401111111,,Census,"&quot;gr1&quot;&gt;publisher=[[united states census bureau|accessdate=2011-04-23|date=2011-02-12|title=us gazetteer files: 2010, 2000, and 1990}}",AZ,"Poston, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,4464,US,52179834,33.365,-110.7675,,Census,Census-designated place,AZ,"Six Shooter Canyon, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,4371,US,50628398,32.6769444444,-109.072222222,,Census,Census-designated place,AZ,"Franklin, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
87,4334,US,48911117,31.9025,-111.780277778,,Census,Census designated place,AZ,"Ali Molina, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
353,4535,US,31228566,32.5088888889,-112.316388889,,Census,Cdp,AZ,"Kaka, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
362,33522,US,106767,31.3538888889,-110.939166667,,Census,City,AZ,"Nogales, Arizona",0,0,0,0,0,0,0,0,0,0,1194,1761,3514,5199,6006.0,5135,6153,7286.0,8946.0,15683.0,19489.0,20878.0,20837.0
389,4240,US,43318791,33.2383333333,-110.783333333,,Census,Census-designated place,AZ,"El Capitan, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
459,6271,US,106634,34.2277777778,-114.182222222,,Census,Cdp,AZ,"Parker Strip, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1646.0,3302.0,0.0
464,4190,US,52158977,34.1830555556,-111.339444444,,Census,Census-designated place,AZ,"Oxbow Estates, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
479,6944,US,106638,33.8255555556,-113.538055556,,Census,Cdp,AZ,"Wenden, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
533,7437,US,106615,33.3511111111,-110.452222222,,Census,Census-designated place,AZ,"San Carlos, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2542.0,2668.0,2918.0,3716.0,0.0
