,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
3,19770,US,107996,34.0338888889,-117.313611111,,Census,City,CA,"Grand Terrace, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,5901.0,8498.0,10946.0,11626.0,12040.0
17,22670,US,107671,33.7583333333,-118.364166667,,Census,City,CA,"Rancho Palos Verdes, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,36577.0,41659.0,41145.0,41643.0
23,38323,US,107361,39.5166666667,-121.55,,Census,City,CA,"Oroville, California",0,0,0,0,0,0,0,2429,1425,1743,1787,0,3859,3340,3698.0,4421,5387,6115.0,7536.0,8683.0,11960.0,13004.0,15546.0
27,11552,US,108069,37.7916666667,-120.991666667,,Census,City,CA,"Escalon, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1763.0,2366.0,3127.0,4437.0,5963.0,7132.0
42,17392,US,107351,38.3527777778,-120.932777778,,Census,City,CA,"Ione, California",0,0,0,0,0,0,0,0,0,686,806,0,0,0,0.0,0,0,1118.0,2369.0,2207.0,6516.0,7129.0,7918.0
82,23000,US,108206,41.6072222222,-122.841944444,,Census,City,CA,"Fort Jones, California",0,0,0,0,0,0,0,0,0,0,266,356,316,331,302.0,360,525,483.0,515.0,544.0,639.0,660.0,839.0
94,13896,US,107417,38.0330555556,-122.266944444,,Census,Census-designated place,CA,"Rodeo, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,5356.0,8286.0,7589.0,8717.0,8679.0
141,14260,US,3964529,39.3636111111,-123.815833333,,Census,Census-designated place,CA,"Caspar, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
185,10872,US,107540,34.8175,-118.996388889,,Census,Census-designated place,CA,"Lake of the Woods, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
239,10588,US,107910,33.9747222222,-116.970277778,,Census,Census-designated place,CA,"Cherry Valley, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
