,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
12,15510,US,108531,39.5797222222,-105.103888889,,Census,Cdp,CO,"Ken Caryl, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,10661.0,24391.0,30887.0,32438.0
79,15006,US,108650,40.9358333333,-102.525277778,,Census,Town,CO,"Sedgwick, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,380,444.0,373,332,299.0,208.0,258.0,183.0,191.0,146.0
80,10926,US,108649,40.96,-102.388888889,,Census,Town,CO,"Ovid, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,649.0,687,664,571.0,463.0,439.0,349.0,330.0,318.0
97,3982,US,14624068,39.7958333333,-105.534444444,,Census,Unknown,CO,"Nevadaville, Colorado",0,0,0,0,0,0,0,0,973,1084,933,823,367,51,2.0,25,6,0.0,0.0,0.0,0.0,0.0,0.0
159,12603,US,108432,38.2197222222,-103.757222222,,Census,Town,CO,"Ordway, Colorado",0,0,0,0,0,0,0,0,0,0,0,138,705,1186,1139.0,1150,1290,1254.0,1017.0,1135.0,1025.0,1248.0,1080.0
187,26099,US,108565,37.1708333333,-104.506388889,,Census,Town,CO,"Trinidad, Colorado",0,0,0,0,0,0,0,0,562,2226,5523,5345,10204,10906,11732.0,13223,12204,10691.0,9901.0,9663.0,8580.0,9078.0,9096.0
264,11219,US,108540,38.4683333333,-102.293055556,,Census,Town,CO,"Sheridan Lake, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,90.0,86.0,87.0,95.0,66.0,88.0
265,1504,US,31052307,38.081,-107.701,,Census,Unknown,CO,"Portland, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
298,831,US,40518291,40.28749,-103.82745,,Census,Census-designated place,CO,"Morgan Heights, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
339,12011,US,108571,40.858752,-102.801392,,Census,Statutory town,CO,"Crook, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,232,251.0,236,259,209.0,199.0,177.0,148.0,128.0,110.0
360,36761,US,43345,37.9391666667,-107.816388889,,Census,Town,CO,"Telluride, Colorado",0,0,0,0,0,0,0,0,0,0,766,2446,1756,1618,512.0,1337,1101,677.0,553.0,1047.0,1309.0,2221.0,2325.0
453,16889,US,108524,40.7305555556,-106.281944444,,Census,Town,CO,"Walden, Colorado",0,0,0,0,0,0,0,0,0,0,64,141,162,260,284.0,668,696,809.0,907.0,947.0,890.0,734.0,608.0
535,12788,US,108439,38.7991666667,-107.716944444,,Census,Statutory town,CO,"Hotchkiss, Colorado",0,0,0,0,0,0,0,0,0,0,0,261,600,572,541.0,653,715,626.0,507.0,849.0,744.0,968.0,944.0
615,10183,US,108387,37.0208333333,-107.421388889,,Census,Census-designated place,CO,"Arboles, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
707,24776,US,60594,37.475041,-105.875314,,Census,Home rule municipality,CO,"Alamosa, Colorado",0,0,0,0,0,0,0,0,0,802,973,1141,3013,3171,5107.0,5613,5354,6205.0,6985.0,6830.0,7579.0,7960.0,8780.0
751,55277,US,48922,39.25,-106.291666667,,Census,Statutory city,CO,"Leadville, Colorado",0,0,0,0,0,0,0,0,0,14820,10384,12455,7508,4959,3771.0,4774,4081,4008.0,4314.0,3879.0,2629.0,2821.0,2602.0
782,36682,US,108521,38.03,-107.310277778,,Census,Statutory town,CO,"Lake City, Colorado",0,0,0,0,0,0,0,0,0,0,607,700,405,317,259.0,185,141,106.0,91.0,206.0,223.0,375.0,408.0
838,12208,US,108564,37.1169444444,-104.523333333,,Census,Town,CO,"Starkville, Colorado",0,0,0,0,0,0,0,0,0,0,928,0,0,0,0.0,0,0,261.0,166.0,127.0,104.0,128.0,59.0
846,15679,US,108420,39.6958333333,-105.726111111,,Census,Town,CO,"Silver Plume, Colorado",0,0,0,0,0,0,0,0,0,0,908,775,460,272,126.0,139,136,86.0,164.0,140.0,134.0,203.0,170.0
894,14753,US,108373,39.626594,-105.050914,,Census,Statutory town,CO,"Bow Mar, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,748.0,945.0,930.0,854.0,847.0,866.0
904,14838,US,108538,38.481346,-102.779776,,Census,Statutory town,CO,"Eads, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,406,518.0,700,1015,929.0,795.0,878.0,780.0,747.0,609.0
1011,12209,US,108570,40.5452777778,-103.273611111,,Census,Cdp,CO,"Atwood, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1042,11650,US,108378,39.59958,-105.030771,,Census,Statutory town,CO,"Columbine Valley, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,481.0,923.0,1071.0,1132.0,1256.0
1089,8819,US,1826276,39.8722222222,-106.300555556,,Census,Town,CO,"Heeney, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1119,6142,US,31016951,39.4091666667,-107.168333333,,Census,Census-designated place,CO,"Mulford, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1129,15818,US,108396,40.2025,-105.513333333,,Census,Census-designated place,CO,"Allenspark, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1142,849,US,40477841,37.9969444444,-103.531944444,,Census,Census-designated place,CO,"North La Junta, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1272,11415,US,108622,38.155,-102.719166667,,Census,Town,CO,"Wiley, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,197,565,589.0,413,417,383.0,357.0,425.0,406.0,483.0,405.0
1335,12674,US,40836569,39.4619444444,-104.894444444,,Census,Cdp,CO,"Castle Pines CDP, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1446,11922,US,108416,38.7638888889,-102.793888889,,Census,Statutory town,CO,"Kit Carson, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,333,379,356.0,220.0,278.0,305.0,253.0,233.0
1456,6287,US,31016936,39.4030555556,-107.129166667,,Census,Census-designated place,CO,"Catherine, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1494,7461,US,8724893,40.2322222222,-106.943055556,,Census,Cdp,CO,"Phippsburg, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1524,22914,US,97004,38.09,-105.36,,Census,US County,CO,"Custer County, Colorado",0,0,0,0,0,0,0,0,0,8080,2970,2937,1947,2172,2124.0,2270,1573,1305.0,1120.0,1528.0,1926.0,3503.0,4255.0
1553,11671,US,108393,37.3741666667,-102.446944444,,Census,Town,CO,"Vilas, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,129,132,107.0,83.0,118.0,105.0,110.0,114.0
1628,11649,US,108425,37.1725,-105.984722222,,Census,Town,CO,"Romeo, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.0,392,404,339.0,352.0,308.0,341.0,375.0,404.0
1642,9251,US,14071033,38.0972222222,-105.336111111,,Census,Town,CO,"Rosita, Colorado",0,0,0,0,0,0,0,0,0,1008,304,110,42,45,27.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1685,9420,US,108417,39.7663888889,-105.615277778,,Census,Census-designated place (cdp),CO,"Downieville-Lawson-Dumont, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1741,10276,US,5908296,39.22,-104.536666667,,Census,Census-designated place,CO,"Elbert, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1760,11688,US,108390,37.3691666667,-102.86,,Census,Town,CO,"Pritchett, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.0,495,286,247.0,170.0,183.0,153.0,137.0,140.0
1861,10087,US,108651,39.448494,-106.036774,,Census,Statutory town,CO,"Blue River, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,8.0,230.0,440.0,685.0,849.0
1872,10273,US,108532,39.6561111111,-105.299444444,,Census,Cdp,CO,"Kittredge, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1907,9485,US,8746692,37.2230555556,-105.665277778,,Census,Census-designated place,CO,"San Acacio, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1909,16300,US,108385,39.6488888889,-105.017777778,,Census,City,CO,"Sheridan, Colorado",0,0,0,0,0,0,0,0,0,0,0,442,498,455,587.0,712,1715,3559.0,4787.0,5377.0,4976.0,5600.0,5664.0
2047,18290,US,108354,39.74599,-104.442841,,Census,Statutory town,CO,"Bennett, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.0,199,272,287.0,613.0,942.0,1757.0,2021.0,2308.0
2099,9195,US,1533236,39.2708333333,-106.886111111,,Census,Census-designated place (cdp),CO,"Woody Creek, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2177,40286,US,108672,40.4166666667,-104.716666667,,Census,Home rule municipality,CO,"Greeley, Colorado",0,0,0,0,0,0,0,0,480,1297,2395,3023,8179,10958,12203.0,15995,20354,26314.0,38902.0,53006.0,60536.0,76930.0,92889.0
2347,20396,US,48987,39.79579,-105.514835,,Census,Home rule municipality,CO,"Central City, Colorado",0,0,0,0,0,0,0,598,2360,2626,2480,3114,1782,552,572.0,706,371,250.0,228.0,329.0,335.0,515.0,663.0
