,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
255,33406,US,108700,41.2,-73.4333333333,,Census,Town,CT,"Wilton, Connecticut",0,0,0,1818,0,0,2066,2208,1994,1864,1722,1598,1706,1284,2133.0,2829,4558,8026.0,13572.0,15351.0,15989.0,17633.0,18062.0
375,14051,US,108759,41.6719444444,-73.0527777778,,Census,Town,CT,"Plymouth, Connecticut",0,0,0,1758,0,2205,2568,3244,4140,2350,2147,2828,5021,5942,6070.0,6043,6771,8981.0,10321.0,10732.0,11822.0,11634.0,12243.0
457,8238,US,108741,41.7233333333,-73.2405555556,,Census,Borough,CT,"Bantam, Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,608,545.0,564,940,833.0,881.0,860.0,757.0,802.0,759.0
470,27422,US,256970,41.5502777778,-72.0875,,Census,City,CT,"Norwich, Connecticut",0,3476,2976,2983,3135,4200,6139,14048,16653,15112,16156,17251,20367,22304,23021.0,23652,23429,38506.0,41739.0,38074.0,37391.0,36117.0,40493.0
635,11403,US,108801,41.3569444444,-72.7680555556,,Census,Town,CT,"North Branford, Connecticut",0,0,0,0,0,0,998,1050,1035,1025,825,814,833,1110,1329.0,1438,2017,6771.0,10778.0,11554.0,12996.0,13906.0,14407.0
691,11311,US,108779,41.27,-72.3572222222,,Census,Borough,CT,"Fenwick, Connecticut",0,0,0,0,0,0,0,0,0,0,0,23,34,13,6.0,0,16,36.0,45.0,41.0,89.0,52.0,43.0
831,8458,US,108877,41.7022222222,-71.8163888889,,Census,Town,CT,"Sterling, Connecticut",0,0,0,1200,0,0,1025,1051,1022,957,1051,1209,1283,1266,1233.0,1251,1298,1397.0,1853.0,1791.0,2357.0,3099.0,3830.0
1194,11312,US,33819742,41.9616666667,-73.3083333333,,Census,Town,CT,"Canaan, Connecticut",0,0,0,2332,0,0,2627,1408,1257,1157,970,820,702,561,565.0,555,708,790.0,931.0,1002.0,1057.0,1081.0,1234.0
1393,30021,US,108792,41.2777777778,-72.7997222222,,Census,Town,CT,"Branford, Connecticut",0,0,0,1180,0,0,1423,2123,2488,3047,4460,5706,6047,6627,7022.0,8060,10944,16610.0,20444.0,23363.0,27603.0,28683.0,28026.0
1398,17908,US,530010,41.3816666667,-72.8583333333,,Census,Town,CT,"North Haven, Connecticut",0,0,0,1298,0,0,1325,1499,1771,1763,1862,2164,2254,1968,3730.0,5326,9444,15935.0,22194.0,22080.0,22247.0,23035.0,24093.0
