,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
262,7623,US,108888,38.8691666667,-75.5786111111,,Census,Town,DE,"Farmington, Delaware",0,0,0,0,0,0,0,0,0,0,468,0,255,124,117.0,120,113,142.0,109.0,141.0,122.0,75.0,110.0
573,10353,US,108936,38.5491666667,-75.2458333333,,Census,Town,DE,"Dagsboro, Delaware",0,0,0,0,0,0,0,0,0,58,0,190,176,223,198.0,222,474,477.0,375.0,344.0,398.0,519.0,805.0
675,22625,US,108952,38.6411111111,-75.6111111111,,Census,City,DE,"Seaford, Delaware",0,0,0,0,0,0,0,624,1304,1542,1462,1724,2108,2141,2468.0,2804,3087,4430.0,5537.0,5256.0,5689.0,6699.0,6928.0
1087,11756,US,108944,38.7297222222,-75.0863888889,,Census,Town,DE,"Henlopen Acres, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,176.0,107.0,139.0,122.0
1443,9965,US,108953,38.4602777778,-75.2208333333,,Census,Town,DE,"Selbyville, Delaware",0,0,0,0,0,0,0,0,0,149,0,0,342,462,661.0,882,1086,1080.0,1099.0,1251.0,1335.0,1645.0,2167.0
1515,10479,US,108918,39.7391666667,-75.5980555556,,Census,Town,DE,"Elsmere, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,374,620,1323.0,1630,5314,7319.0,8415.0,6493.0,5935.0,5800.0,6131.0
2567,6257,US,108902,39.0263888889,-75.5108333333,,Census,Cdp,DE,"Riverview, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1138.0,1583.0,2456.0
2760,8061,US,108889,39.0083333333,-75.5780555556,,Census,Town,DE,"Felton, Delaware",0,0,0,0,0,0,0,0,437,383,403,400,451,771,463.0,442,453,423.0,495.0,547.0,683.0,784.0,1298.0
2855,14330,US,108904,39.2997222222,-75.6047222222,,Census,Town,DE,"Smyrna, Delaware",0,0,0,0,0,0,0,1873,2110,2428,2455,2168,1843,1953,1958.0,1870,2346,3241.0,4243.0,4750.0,5231.0,5679.0,10023.0
3115,7367,US,108894,38.9175,-75.5052777778,,Census,Town,DE,"Houston, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.0,296,332,421.0,317.0,357.0,487.0,430.0,374.0
3202,6322,US,108917,39.75,-75.4997222222,,Census,Cdp,DE,"Edgemoor, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,7397.0,5853.0,5992.0,5677.0
4791,7644,US,108906,39.0713888889,-75.5683333333,,Census,Town,DE,"Woodside, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,140,140.0,189,157,189.0,223.0,248.0,140.0,184.0,181.0
5190,52168,US,87988,38.68,-75.34,,Census,US County,DE,"Sussex County, Delaware",20488,19358,27750,24057,27115,25093,25936,29615,31696,36018,38647,42276,46413,43741,45507.0,52502,61336,73195.0,80356.0,98004.0,113229.0,156638.0,197145.0
5398,22640,US,108901,38.9125,-75.4280555556,,Census,City,DE,"Milford, Delaware",0,0,0,0,0,0,0,1178,1150,1240,2555,2500,2603,2703,3719.0,4214,5179,5795.0,5314.0,5366.0,6040.0,6732.0,9559.0
5720,15363,US,108915,39.8005555556,-75.4597222222,,Census,Cdp,DE,"Claymont, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,6584.0,10022.0,9800.0,9220.0,8253.0
6231,29066,US,108955,38.5163888889,-75.0530555556,,Census,Town,DE,"South Bethany, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,24.0,115.0,148.0,492.0,449.0
6337,9645,US,108933,38.5705555556,-75.6194444444,,Census,Town,DE,"Bethel, Delaware",0,0,0,0,0,0,0,0,0,298,378,0,370,222,219.0,245,271,236.0,219.0,197.0,178.0,184.0,171.0
6644,18535,US,108938,38.6927777778,-75.0747222222,,Census,Town,DE,"Dewey Beach, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,204.0,301.0,341.0
6798,7214,US,108905,39.0427777778,-75.5719444444,,Census,Town,DE,"Viola, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,114,104.0,113,134,159.0,154.0,167.0,153.0,156.0,157.0
7605,10426,US,108921,39.7875,-75.6966666667,,Census,Cdp,DE,"Hockessin, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10051.0,12902.0,13527.0
7940,18987,US,108909,39.8091666667,-75.4866666667,,Census,Village,DE,"Arden, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,555.0,516.0,477.0,474.0,439.0
9219,6718,US,108903,39.1319444444,-75.5325,,Census,Cdp,DE,"Rodney Village, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2127.0,1753.0,1745.0,1602.0,1487.0
9320,7581,US,108934,38.6355555556,-75.61,,Census,Town,DE,"Blades, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,388,466.0,601,789,729.0,632.0,664.0,834.0,956.0,1241.0
9976,9788,US,108927,39.4572222222,-75.6613888889,,Census,Town,DE,"Odessa, Delaware",0,0,0,0,0,0,501,686,695,675,640,575,585,435,385.0,391,467,526.0,547.0,384.0,303.0,286.0,364.0
10035,8794,US,108929,39.395,-75.6916666667,,Census,Town,DE,"Townsend, Delaware",0,0,0,0,0,0,0,0,0,199,387,399,494,453,421.0,544,441,434.0,505.0,386.0,322.0,346.0,2049.0
10206,39129,US,108924,39.6836111111,-75.7497222222,,Census,City,DE,"Newark, Delaware",0,0,0,0,0,0,0,787,915,1148,1191,1213,1913,2183,3899.0,4502,6731,11404.0,21298.0,25247.0,25098.0,28547.0,31454.0
10372,110068,US,108930,39.7458333333,-75.5466666667,,Census,City,DE,"Wilmington, Delaware",0,0,0,5268,6628,8367,13979,21258,30841,42478,61431,76508,87411,110168,106597.0,112504,110356,95827.0,80386.0,70195.0,71529.0,72664.0,70851.0
10380,11016,US,108886,39.2905555556,-75.6344444444,,Census,Town,DE,"Clayton, Delaware",0,0,0,0,0,0,0,0,0,148,540,819,764,872,824.0,890,825,1028.0,1015.0,1216.0,1163.0,1273.0,2918.0
10402,12768,US,108935,38.7425,-75.6044444444,,Census,Town,DE,"Bridgeville, Delaware",0,0,0,0,0,0,0,250,300,398,576,613,939,945,987.0,1180,1468,1469.0,1317.0,1238.0,1210.0,1436.0,2048.0
11449,12639,US,108949,38.7775,-75.31,,Census,Town,DE,"Milton, Delaware",0,0,0,0,0,0,0,780,824,1026,1074,948,1038,898,1130.0,1198,1321,1617.0,1490.0,1359.0,1417.0,1657.0,2576.0
11752,9193,US,108947,38.5913888889,-75.2913888889,,Census,Town,DE,"Millsboro, Delaware",0,0,0,0,0,0,279,0,194,200,324,391,451,432,479.0,432,470,536.0,1073.0,1233.0,1643.0,2360.0,3877.0
11828,8496,US,108920,39.7788888889,-75.5983333333,,Census,Cdp,DE,"Greenville, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,2332.0,2326.0
12414,17932,US,108890,39.0088888889,-75.4658333333,,Census,Town,DE,"Frederica, Delaware",0,0,0,0,0,0,0,0,588,693,621,706,659,611,589.0,645,675,863.0,878.0,864.0,761.0,648.0,774.0
12799,9593,US,108884,39.1133333333,-75.5419444444,,Census,Town,DE,"Camden, Delaware",0,0,0,0,0,0,0,0,657,702,553,586,553,531,464.0,682,606,1125.0,1241.0,1757.0,1899.0,2100.0,3464.0
13447,27295,US,108923,39.6619444444,-75.5663888889,,Census,City,DE,"New Castle, Delaware",0,0,0,0,0,0,1202,1902,1916,3700,4010,3380,3351,3854,4131.0,4414,5396,4469.0,4814.0,4907.0,4837.0,4862.0,5285.0
13498,9533,US,108916,39.5777777778,-75.5888888889,,Census,City,DE,"Delaware City, Delaware",0,0,0,0,0,0,911,1355,1059,1085,969,1132,1132,1064,1005.0,1163,1363,1658.0,2024.0,1858.0,1682.0,1453.0,1695.0
13636,6210,US,108893,39.1208333333,-75.5219444444,,Census,Cdp,DE,"Highland Acres, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1471.0,2994.0,3151.0,3379.0,3459.0
13845,23485,US,108942,38.69,-75.3855555556,,Census,Town,DE,"Georgetown, Delaware",0,0,0,0,0,0,777,553,710,895,1353,1658,1609,1710,1763.0,1820,1923,1765.0,1844.0,1710.0,3732.0,4643.0,6422.0
14301,6160,US,108907,39.0675,-75.5375,,Census,Cdp,DE,"Woodside East, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1490.0,1655.0,2174.0,2316.0
14922,8148,US,108897,39.2408333333,-75.5169444444,,Census,Town,DE,"Leipsic, Delaware",0,0,0,0,0,0,0,0,0,407,355,305,271,244,254.0,210,253,281.0,247.0,228.0,236.0,203.0,183.0
14955,44624,US,87986,,,,Census,US County,DE,"New Castle County, Delaware",19688,25361,24429,27899,29720,33120,42780,54797,63515,77716,97182,109697,123188,148239,161032.0,179562,218879,307446.0,385856.0,398115.0,441946.0,500265.0,538479.0
15249,13617,US,108940,38.4622222222,-75.0513888889,,Census,Town,DE,"Fenwick Island, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,48.0,56.0,114.0,186.0,342.0,379.0
16551,17468,US,108922,39.4494444444,-75.7163888889,,Census,Town,DE,"Middletown, Delaware",0,0,0,0,0,0,368,523,915,1280,1454,1567,1399,1260,1247.0,1529,1755,2191.0,2644.0,2946.0,3834.0,6161.0,18871.0
17006,7369,US,108911,39.8083333333,-75.4830555556,,Census,Village,DE,"Ardentown, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,307.0,325.0,300.0,264.0
17647,8107,US,108913,39.7661111111,-75.5094444444,,Census,Town,DE,"Bellefonte, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,291,761.0,2593,1472,1536.0,1442.0,1279.0,1243.0,1249.0,1193.0
18775,5968,US,108926,39.7611111111,-75.7191666667,,Census,Cdp,DE,"North Star, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,8277.0,7980.0
19038,12155,US,108948,38.5494444444,-75.1233333333,,Census,Town,DE,"Millville, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,193,112,193.0,184,270,231.0,224.0,178.0,206.0,259.0,544.0
