,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
64,11497,US,123791,28.0580555556,-82.5152777778,,Census,Census-designated place,FL,"Carrollwood (CDP), Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,33519.0,33365.0
72,8101,US,123823,28.034348,-81.910527,,Census,Cdp,FL,"Crystal Lake, Polk County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3172.0,6227.0,6827.0,5300.0,5341.0,0.0
109,27466,US,109507,30.7541666667,-86.5727777778,,Census,City,FL,"Crestview, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,500,930.0,2252,5003,7467.0,7952.0,7617.0,9886.0,14766.0,20978.0
112,25653,US,109472,25.9416666667,-80.125,,Census,City,FL,"Sunny Isles Beach, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,15315.0,20832.0
169,12300,US,109253,27.7097222222,-82.3177777778,,Census,Census-designated place,FL,"Wimauma, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.0,557,440,576.0,0.0,1477.0,2932.0,4246.0,6373.0
176,34329,US,73606,28.77,-81.72,,Census,US County,FL,"Lake County, Florida",0,0,0,0,0,0,0,0,0,0,8034,7467,9509,12744,23161.0,27255,36340,57383.0,69305.0,104870.0,152104.0,210528.0,297052.0
186,33346,US,109566,28.5961111111,-81.3466666667,"[[y1905,461],[y1915,787],[y1925,2360],[y1935,4837],[y1945,5586],[y2016,30208]]", USA,City,FL,"Winter Park, Florida",0,0,0,0,0,0,0,0,0,0,270,366,570,1078,3686.0,4715,8250,17162.0,21895.0,22339.0,22242.0,24090.0,27852.0
211,17674,US,109044,26.1655555556,-80.2325,,Census,City,FL,"Lauderhill, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,132.0,8465.0,37271.0,49708.0,57585.0,66887.0
224,21325,US,72372,27.49,-81.81,,Census,US County,FL,"Hardee County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10348.0,10158,10073,12370.0,14889.0,19379.0,19499.0,26938.0,27731.0
235,9993,US,109231,28.0152777778,-82.5072222222,,Census,Census-designated place,FL,"Egypt Lake-Leto, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32782.0,35282.0
268,92023,US,44745,26.3686111111,-80.1,,Census,City,FL,"Boca Raton, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.0,723,992,6961.0,28506.0,49447.0,61492.0,74764.0,84394.0
291,20014,US,109524,28.3913888889,-81.5666666667,,Census,City,FL,"Bay Lake, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,24.0,74.0,0.0,23.0,47.0
297,19373,US,109836,29.2863888889,-81.075,,Census,City,FL,"Ormond Beach, Florida",0,0,0,0,0,0,0,0,0,0,239,595,780,1292,1517.0,1914,3418,8658.0,14063.0,21436.0,29721.0,36301.0,38137.0
409,13202,US,109523,28.455,-81.5055555556,,Census,Census-designated place,FL,"Bay Hill, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5346.0,5177.0,4884.0
431,104917,US,109697,27.8925,-81.8397222222,,Census,City,FL,"Bartow, Florida",0,0,0,0,0,0,0,0,0,386,1386,1983,2662,4101,5269.0,6158,8694,12849.0,12891.0,14780.0,14716.0,15340.0,17298.0
437,9676,US,109763,27.3088888889,-82.5105555556,,Census,Census-designated place,FL,"Southgate, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,6885.0,7322.0,7324.0,7455.0,7173.0
522,10954,US,109230,27.9783333333,-82.3738888889,,Census,Census-designated place,FL,"East Lake-Orient Park, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,5697.0,5612.0,6171.0,5703.0,22753.0
541,92704,US,74643,,,,Census,US County,FL,"Pinellas County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,28265,62149.0,91852,159249,374665.0,522329.0,728531.0,851659.0,921482.0,916542.0
693,13603,US,2554269,25.9833333333,-80.1863888889,,Census,City,FL,"West Park, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,12713.0,14156.0
718,11451,US,109180,29.5841666667,-82.9241666667,,Census,City,FL,"Fanning Springs, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,115.0,314.0,493.0,737.0,764.0
755,23129,US,109718,27.9047222222,-81.5841666667,,Census,City,FL,"Lake Wales, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,796,3401.0,5024,6821,8346.0,8240.0,8466.0,9670.0,10194.0,14225.0
760,9129,US,109758,27.31,-82.4783333333,,Census,Census-designated place,FL,"Sarasota Springs, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,4405.0,13860.0,16088.0,15875.0,14395.0
767,9433,US,108978,30.1958333333,-85.6966666667,,Census,Census-designated place,FL,"Pretty Bayou, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,3340.0,3839.0,3519.0,3206.0
788,43763,US,109393,29.1877777778,-82.1305555556,,Census,City,FL,"Ocala, Florida",0,0,0,0,0,0,243,0,600,803,2904,3380,4370,4914,7281.0,8986,11741,13598.0,22583.0,37170.0,42045.0,45943.0,56315.0
811,26817,US,109247,28.0352777778,-82.3891666667,,Census,City,FL,"Temple Terrace, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,215,433,3812.0,7347.0,11097.0,16444.0,20918.0,24541.0
832,27133,US,109633,26.655,-80.2541666667,,Census,Village,FL,"Wellington, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,4622.0,20670.0,38216.0,56508.0
875,10423,US,109116,30.1772222222,-81.7416666667,,Census,Census-designated place,FL,"Bellair-Meadowbrook Terrace, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,12144.0,15606.0,16539.0,13343.0
876,12568,US,109609,26.5827777778,-80.0575,,Census,Town,FL,"Lantana, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.0,234,773,5021.0,7126.0,8048.0,8392.0,9437.0,10423.0
954,15044,US,109724,28.18,-81.8263888889,,Census,City,FL,"Polk City, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.0,195,171,203.0,151.0,576.0,1439.0,1516.0,1562.0
1079,22206,US,108993,28.1519444444,-80.595,,Census,City,FL,"Indian Harbour Beach, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,5371.0,5967.0,6933.0,8152.0,8225.0
1168,20436,US,109639,28.3613888889,-82.1933333333,,Census,City,FL,"Dade City, Florida",0,0,0,0,0,0,0,0,0,0,321,509,1066,1296,1811.0,2561,3006,4759.0,4241.0,4923.0,5633.0,6188.0,6437.0
1171,29210,US,109569,28.3038888889,-81.4127777778,,Census,City,FL,"Kissimmee, Florida",0,0,0,0,0,0,0,0,0,0,1086,1132,2157,2722,3163.0,3225,4310,6845.0,7119.0,15487.0,30050.0,47814.0,59682.0
1185,10025,US,109443,25.7055555556,-80.4405555556,,Census,Census-designated place (cdp),FL,"Kendall West, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,6038.0,38034.0,36154.0
1210,33020,US,72364,30.58,-84.61,,Census,US County,FL,"Gadsden County, Florida",0,0,0,0,4895,5992,8784,9396,9802,12169,11894,15294,22198,23539,29890.0,31450,36457,41989.0,39184.0,41565.0,41105.0,45087.0,46389.0
1226,10958,US,109390,29.0613888889,-82.055,,Census,City,FL,"Belleview, Florida",0,0,0,0,0,0,0,0,0,0,130,137,190,237,400.0,433,595,864.0,916.0,1913.0,2666.0,3478.0,4492.0
1281,11165,US,9346907,27.9341666667,-80.5658333333,,Census,Town,FL,"Grant-Valkaria, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3850.0
1316,9515,US,109134,26.2636111111,-81.8075,,Census,Census-designated place,FL,"Naples Park, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,3201.0,5438.0,8002.0,6741.0,5967.0
1384,13623,US,109043,26.1894444444,-80.0977777778,,Census,Town,FL,"Lauderdale-by-the-Sea, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,234,1327.0,2879.0,2639.0,2990.0,2563.0,6056.0
1386,7919,US,37080931,28.5433333333,-81.1944444444,,Census,Census-designated place,FL,"Alafaya, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1397,64139,US,72378,27.91,-82.35,,Census,US County,FL,"Hillsborough County, Florida",0,0,0,0,0,452,2377,2981,3216,5814,14941,36013,78374,88257,153519.0,180148,249894,397788.0,490265.0,646960.0,834054.0,998948.0,1229226.0
1501,9165,US,109748,27.2958333333,-82.4338888889,,Census,Census-designated place,FL,"Lake Sarasota, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4117.0,4458.0,4679.0
1503,9554,US,109850,30.7755555556,-85.8105555556,,Census,Town,FL,"Caryville, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,440,1022.0,279,525,730.0,724.0,633.0,631.0,218.0,411.0
1513,9210,US,109828,28.9638888889,-80.9047222222,,Census,City,FL,"Edgewater, Volusia County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,133,341.0,477,837,2051.0,3348.0,6726.0,15337.0,18668.0,20750.0
1571,19583,US,72369,29.9,-85.24,,Census,US County,FL,"Gulf County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3182.0,6951,7460,9937.0,10096.0,10658.0,11504.0,13332.0,15863.0
1578,9263,US,109808,28.6113888889,-82.0583333333,,Census,City,FL,"Webster, Florida",0,0,0,0,0,0,0,0,0,0,0,0,301,361,514.0,454,569,366.0,739.0,856.0,746.0,805.0,785.0
1653,21425,US,72366,26.95,-81.19,,Census,US County,FL,"Glades County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2762.0,2745,2199,2950.0,3669.0,5992.0,7591.0,10576.0,12884.0
1690,11005,US,109628,26.6663888889,-80.7188888889,,Census,City,FL,"South Bay, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1050,1631.0,2958.0,3886.0,3558.0,3859.0,4876.0
1705,34870,US,72374,28.55,-82.47,,Census,US County,FL,"Hernando County, Florida",0,0,0,0,0,0,926,1200,2938,4248,2476,3638,4997,4548,4948.0,5641,6693,11205.0,17004.0,44469.0,101115.0,130802.0,172778.0
1732,35400,US,109456,25.8950222222,-80.1857472222,,Census,City,FL,"North Miami, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1973,10734,28708.0,34767.0,42566.0,49998.0,59880.0,58786.0
1754,13570,US,109459,25.7263888889,-80.345,,Census,Cdp,FL,"Olympia Heights, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,33112.0,37792.0,13452.0,13488.0
1793,10042,US,109371,30.4194444444,-83.2997222222,,Census,Town,FL,"Lee, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,199,185.0,258,228,243.0,240.0,297.0,306.0,352.0,352.0
1821,28030,US,109225,27.9333333333,-82.2833333333,,Census,Census-designated place,FL,"Brandon, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1665.0,12749.0,41826.0,57985.0,77895.0,103483.0
1837,8849,US,109587,26.6736111111,-80.0758333333,,Census,Town,FL,"Glen Ridge, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,126,226.0,216.0,235.0,207.0,276.0,219.0
1926,13845,US,109686,27.8386111111,-82.785,,Census,City,FL,"Seminole, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,4586.0,9251.0,10890.0,17233.0
1985,12442,US,109803,28.6638888889,-82.1141666667,,Census,City,FL,"Bushnell, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,400,591.0,676,536,644.0,700.0,983.0,1998.0,2050.0,2418.0
2001,29398,US,23210284,26.9158333333,-82.0477777778,,Census,City,FL,"Punta Gorda, Florida",0,0,0,0,0,0,0,0,0,0,262,860,1012,1295,1833.0,1889,1915,3157.0,3879.0,6797.0,10747.0,14344.0,16641.0
2048,14973,US,109430,25.965,-80.1225,,Census,Town,FL,"Golden Beach, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,83,156,413.0,849.0,612.0,774.0,919.0,919.0
2059,90683,US,109028,26.1333333333,-80.15,,Census,City,FL,"Fort Lauderdale, Florida",0,0,0,0,0,0,0,0,0,0,0,91,336,2257,8668.0,17996,36328,83648.0,139122.0,153279.0,149238.0,152397.0,165521.0
2090,15058,US,109716,28.0936111111,-81.725,,Census,City,FL,"Lake Alfred, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,317,629.0,920,1270,2191.0,2847.0,3134.0,3622.0,3890.0,5015.0
2129,18577,US,109651,28.3366666667,-82.275,,Census,City,FL,"San Antonio, Florida",0,0,0,0,0,0,0,0,0,0,0,0,131,262,322.0,267,286,479.0,473.0,529.0,776.0,655.0,1138.0
2189,13744,US,109546,28.5544444444,-81.6311111111,,Unknown,Town,FL,"Oakland, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2281,27738,US,72006,29.95,-82.17,,Census,US County,FL,"Bradford County, Florida",0,0,0,0,0,0,0,3820,3671,6112,7516,10295,14090,12503,9405.0,8717,11457,12446.0,14625.0,20023.0,22515.0,26088.0,28520.0
2313,12339,US,109611,26.5708333333,-80.0444444444,,Census,Town,FL,"Manalapan, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40,54,62.0,205.0,329.0,312.0,321.0,406.0
2390,14773,US,109360,29.4816666667,-82.8622222222,,Census,City,FL,"Chiefland, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.0,572,843,1459.0,1965.0,1986.0,1917.0,1993.0,2245.0
2420,28255,US,73641,,,,Census,US County,FL,"Osceola County, Florida",0,0,0,0,0,0,0,0,0,0,3133,3444,5507,7195,10699.0,10119,11406,19029.0,25267.0,49287.0,107728.0,172493.0,268685.0
2539,9494,US,109668,27.905,-82.6736111111,,Census,Census-designated place,FL,"Feather Sound, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2690.0,3597.0,3420.0
2558,7235,US,123818,26.6991666667,-80.0944444444,,Census,Census-designated place,FL,"Westgate, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,6880.0,8134.0,7975.0
2583,12234,US,109573,26.5933333333,-80.1044444444,,Census,City,FL,"Atlantis, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2.0,425.0,1325.0,1653.0,2005.0,2005.0
2584,8835,US,109637,28.2122222222,-82.7488888889,,Census,Cdp,FL,"Beacon Square, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2927.0,6513.0,6265.0,7263.0,0.0
2585,8979,US,109287,28.9658333333,-81.6483333333,,Census,Census-designated place,FL,"Altoona, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2628,7404,US,109588,26.7002777778,-80.1675,,Census,Unincorporated place,FL,"Golden Lakes, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3867.0,6694.0,0.0
2662,10339,US,109768,27.0475,-82.2688888889,,Census,Census-designated place,FL,"Warm Mineral Springs, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4041.0,4811.0,5061.0
2677,22877,US,73618,30.23,-84.89,,Census,US County,FL,"Liberty County, Florida",0,0,0,0,0,0,0,1457,1050,1362,1452,2956,4700,5006,4067.0,3752,3182,3138.0,3379.0,4260.0,5569.0,7021.0,8365.0
2717,9365,US,109796,27.2863888889,-80.2205555556,,Census,Cdp,FL,"Hutchinson Island South, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3893.0,4846.0,5201.0
2768,10977,US,109819,30.0627777778,-82.2369444444,,Census,Town,FL,"Raiford, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,412,460.0,0,0,0.0,0.0,259.0,198.0,187.0,255.0
2779,8512,US,109644,28.2936111111,-82.6916666667,,Census,Cdp,FL,"Jasmine Estates, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2967.0,11995.0,17136.0,18213.0,18989.0
2858,10309,US,109550,28.5444444444,-81.4616666667,,Census,Census-designated place &amp; unincorporated community,FL,"Orlo Vista, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,6474.0,5990.0,6047.0,6123.0
2913,9105,US,109642,28.1838888889,-82.7427777778,,Census,Cdp,FL,"Holiday, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,18392.0,19360.0,21904.0,22403.0
2945,9863,US,109284,30.7097222222,-84.9258333333,,Census,Town,FL,"Sneads, Florida",0,0,0,0,0,0,0,0,0,0,0,368,506,492,637.0,727,1074,1399.0,1550.0,1690.0,1746.0,1919.0,1849.0
2967,9623,US,108966,30.2761111111,-82.1613888889,,Census,Town,FL,"Glen St. Mary, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,329.0,357.0,462.0,480.0,473.0,437.0
3076,26718,US,109421,25.5825,-80.3466666667,,Census,Town,FL,"Cutler Bay, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7005.0,17441.0,20886.0,21268.0,24781.0,40286.0
3100,17343,US,109035,26.2938888889,-80.0783333333,,Census,Town,FL,"Hillsboro Beach, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,84,437.0,1181.0,1554.0,1748.0,2163.0,1981.0
3179,67528,US,109162,30.4333333333,-87.2,,Census,City,FL,"Pensacola, Florida",0,0,0,0,0,0,2164,2876,3347,6845,11750,17747,22982,31035,31579.0,37449,43479,56752.0,59507.0,57619.0,58165.0,56255.0,51923.0
3187,9306,US,109465,25.8705555556,-80.2172222222,,Census,Cdp,FL,"Pinewood, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,16252.0,15518.0,16523.0,16520.0
3210,11049,US,109286,30.0519444444,-83.1755555556,,Census,Town,FL,"Mayo, Florida",0,0,0,0,0,0,0,0,0,0,0,0,578,531,555.0,915,679,687.0,793.0,891.0,917.0,988.0,1237.0
3334,12820,US,109840,29.1188888889,-81.0027777778,,Census,City,FL,"Port Orange, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,380,678.0,662,1201,1801.0,3781.0,18756.0,35317.0,45823.0,56048.0
3374,17370,US,109291,28.5475,-81.7494444444,,Census,City,FL,"Clermont, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,496,1086.0,1631,2168,3313.0,3661.0,5461.0,6910.0,9333.0,28742.0
3384,4474,US,2415820,28.0138888889,-82.4011111111,,Census,Unincorporated community,FL,"Del Rio, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,7409.0,8248.0,0.0,0.0
3488,7708,US,109593,26.3858333333,-80.1844444444,,Census,Unincorporated place,FL,"Hamptons at Boca Raton, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,11686.0,11306.0,0.0
3491,13315,US,109418,25.9391666667,-80.3111111111,,Census,Census-designated place (cdp) &amp; unincorporated community,FL,"Country Club, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3408.0,36310.0,0.0
3497,15086,US,109620,26.6358333333,-80.0961111111,,Census,Village,FL,"Palm Springs, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2503.0,4340.0,8166.0,9763.0,11699.0,18928.0
3574,10130,US,109420,25.6272222222,-80.3208333333,,Census,Neighborhood,FL,"Cutler, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,15593.0,16201.0,17390.0,0.0
3684,24048,US,72353,29.59,-83.19,,Census,US County,FL,"Dixie County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6419.0,7018,3928,4479.0,5480.0,7751.0,10585.0,13827.0,16422.0
