,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
49,27470,US,110034,33.8875,-84.3052777778,,Census,City,GA,"Chamblee, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,129,253,893.0,1081,3445,6635.0,9127.0,7137.0,7668.0,9552.0,9892.0
231,21961,US,96761,,,,Census,US County,GA,"Heard County, Georgia",0,0,0,0,0,5329,6923,7805,7866,8769,9557,11177,11189,11126,9102.0,8610,6975,5333.0,5354.0,6520.0,8628.0,11012.0,11834.0
237,11718,US,110297,33.8655555556,-84.7747222222,,Census,City,GA,"Hiram, Georgia",0,0,0,0,0,0,0,0,0,0,0,105,254,329,303.0,282,299,358.0,441.0,1030.0,1389.0,1361.0,3546.0
272,9320,US,110303,31.4080555556,-82.1122222222,,Census,City,GA,"Offerman, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,403.0,441.0
301,10034,US,110187,34.0961111111,-83.7611111111,,Census,City,GA,"Hoschton, Georgia",0,0,0,0,0,0,0,0,0,0,207,290,429,377,427.0,364,378,370.0,509.0,490.0,642.0,1070.0,1377.0
427,9310,US,110236,32.3730555556,-84.1888888889,,Census,City,GA,"Ideal, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,186,304,285.0,238,318,432.0,543.0,619.0,554.0,518.0,499.0
520,14939,US,110116,34.6947222222,-84.4836111111,,Census,City,GA,"Ellijay, Georgia",0,0,0,0,0,0,0,0,0,200,437,581,659,632,657.0,1497,1527,1320.0,1326.0,1507.0,1178.0,1584.0,1619.0
539,10438,US,109959,34.1663888889,-84.5011111111,,Census,City,GA,"Holly Springs, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,251,216,273.0,256,386,475.0,575.0,687.0,2406.0,3195.0,9189.0
611,8586,US,110330,32.8822222222,-81.6594444444,,Census,City,GA,"Hiltonia, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,262,226.0,246,318,353.0,294.0,515.0,402.0,421.0,342.0
662,30839,US,110064,33.7497222222,-84.7230555556,,Census,City,GA,"Douglasville, Georgia",0,0,0,0,0,0,0,0,0,286,863,1140,1462,2159,2316.0,2555,3400,4462.0,5472.0,7641.0,11635.0,20065.0,30961.0
705,8931,US,110455,31.8302777778,-83.9208333333,,Census,City,GA,"Warwick, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,226,274,381.0,379,449,434.0,466.0,488.0,501.0,430.0,423.0
794,24463,US,96820,,,,Census,US County,GA,"Bryan County, Georgia",0,2836,2827,3021,3139,3182,3424,4015,5252,4929,5520,6122,6702,6343,5952.0,6288,5965,6226.0,6539.0,10175.0,15438.0,23417.0,30233.0
805,22112,US,110313,34.0152777778,-85.2538888889,,Census,City,GA,"Cedartown, Georgia",0,0,0,0,0,0,0,0,323,843,1625,2823,3551,4053,8124.0,9025,9470,9340.0,9253.0,8619.0,7978.0,9470.0,9750.0
891,13427,US,109886,31.2069444444,-83.2466666667,,Census,City,GA,"Nashville, Georgia",0,0,0,0,0,0,0,0,95,0,426,293,990,2025,1672.0,2449,3414,4070.0,4323.0,4831.0,4782.0,4697.0,4939.0
905,9422,US,110308,33.05,-84.3097222222,,Census,City,GA,"Meansville, Georgia",0,0,0,0,0,0,0,0,0,0,0,155,233,229,169.0,193,224,335.0,313.0,303.0,250.0,192.0,182.0
938,24475,US,96756,,,,Census,US County,GA,"Jasper County, Georgia",0,0,7573,14614,13131,11111,11486,10743,10439,11851,13879,15033,16552,16362,8594.0,8772,7473,6135.0,5760.0,7553.0,8453.0,11426.0,13900.0
981,10682,US,110106,34.2855555556,-83.1097222222,,Census,City,GA,"Royston, Georgia",0,0,0,0,0,0,0,0,0,127,340,579,1422,1681,1447.0,1549,2039,2333.0,2428.0,2404.0,2758.0,2493.0,2582.0
998,25433,US,110178,33.445,-84.1491666667,,Census,City,GA,"McDonough, Georgia",0,0,0,0,0,0,0,0,320,320,515,683,882,1263,1068.0,1232,1635,2224.0,2675.0,2778.0,2929.0,8493.0,22084.0
1013,13545,US,110217,31.7327777778,-84.1708333333,,Census,City,GA,"Leesburg, Georgia",0,0,0,0,0,0,0,0,0,358,442,413,705,786,691.0,716,659,774.0,996.0,1301.0,1452.0,2633.0,2896.0
1024,22155,US,96824,,,,Census,US County,GA,"Brantley County, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6895.0,6871,6387,5891.0,5940.0,8701.0,11077.0,14629.0,18411.0
1109,10199,US,110347,31.9547222222,-84.0675,,Census,City,GA,"De Soto, Georgia",0,0,0,0,0,0,0,0,0,0,0,250,228,216,373.0,295,309,282.0,321.0,248.0,258.0,214.0,195.0
1117,24512,US,96749,,,,Census,US County,GA,"Lanier County, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5190.0,5632,5151,5097.0,5031.0,5654.0,5531.0,7847.0,10078.0
1137,16290,US,110427,31.6019444444,-81.885,,Census,City,GA,"Jesup, Georgia",0,0,0,0,0,0,0,0,0,562,907,805,1415,1941,2303.0,2903,4605,7304.0,9091.0,9418.0,8958.0,9279.0,10214.0
1147,12897,US,109901,32.5372222222,-81.9316666667,,Census,Town,GA,"Portal, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.0,556,532,494.0,643.0,694.0,522.0,597.0,638.0
1160,13152,US,110202,32.8,-81.95,,Census,City,GA,"Millen, Georgia",0,0,0,0,0,0,0,0,0,0,0,411,2030,2405,2527.0,2820,3449,3633.0,3713.0,3988.0,3808.0,3492.0,3120.0
1284,9855,US,110173,33.405,-85.2597222222,,Census,City,GA,"Ephesus, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,212.0,184.0,324.0,388.0,427.0
1349,13728,US,5346805,34.1321631,-84.300666,,Census,City,GA,"Milton, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,32661.0
1370,64316,US,110062,31.5822222222,-84.1655555556,,Census,City,GA,"Albany, Georgia",0,0,0,0,0,0,0,1618,2101,3216,4008,4606,8190,11555,14507.0,19055,31155,55890.0,72623.0,74425.0,78122.0,76939.0,77434.0
1377,9189,US,110215,32.5583333333,-83.1522222222,,Census,Town,GA,"Montrose, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,210,226.0,90,242,236.0,199.0,170.0,117.0,154.0,215.0
1399,13341,US,110150,34.6105555556,-83.525,,Census,City,GA,"Clarkesville, Georgia",0,0,0,0,0,0,502,0,263,291,396,491,528,542,617.0,850,1106,1352.0,1294.0,1348.0,1151.0,1248.0,1733.0
1416,11066,US,110432,32.1483333333,-82.7786111111,,Census,City,GA,"Alamo, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,249,563,613.0,646,800,822.0,833.0,993.0,855.0,1943.0,2797.0
1518,102289,US,110120,31.1497222222,-81.4913888889,,Census,City,GA,"Brunswick, Georgia",0,0,36,0,0,0,0,825,2348,2891,8459,9081,10182,14413,14022.0,15035,17954,21703.0,19585.0,17605.0,16433.0,15600.0,15383.0
1527,13350,US,26663904,,,,Census,City,GA,"Hephzibah, Georgia",0,0,0,0,0,0,0,0,0,0,0,541,656,650,646.0,516,525,676.0,987.0,1452.0,2466.0,3880.0,4011.0
