,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
1605,4298,US,30859311,13.3516666667,144.753055556,,Census,Village,GU,"Talofofo, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1352.0,1935.0,2006.0,2310.0,3215.0,3050.0
2469,15965,US,291342,13.4791666667,144.75,"[[y2015,1090]]",Census,Village,GU,"Hagåtña, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1642.0,2119.0,896.0,1139.0,1100.0,1051.0
2635,9211,US,30859347,13.5152777778,144.836111111,,Census,City,GU,Dededo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5126.0,10780.0,23644.0,31728.0,42980.0,44943.0
4199,8189,US,30859382,13.4488888889,144.800277778,,Census,Village,GU,"Mangilao, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1965.0,3228.0,6840.0,10483.0,13313.0,15191.0
6417,6825,US,2646241,13.2980555556,144.658888889,,Census,Village,GU,"Umatac, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,744.0,813.0,732.0,897.0,887.0,782.0
6689,3609,US,6365781,13.4719444444,144.770277778,,Census,Village,GU,"Mongmong-Toto-Maite, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3015.0,6057.0,5245.0,5845.0,5845.0,6825.0
7051,13013,US,591128,13.4838888889,144.776666667,,Census,Village,GU,"Tamuning, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5944.0,10218.0,13580.0,16673.0,18012.0,19685.0
10154,7435,US,2467083,13.3813888889,144.654722222,,Census,Village,GU,"Agat, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3107.0,4308.0,3999.0,4960.0,5656.0,4917.0
11168,3250,US,2589388,13.4608333333,144.690833333,,Census,Village,GU,"Piti, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1467.0,1284.0,2866.0,1827.0,1666.0,1454.0
13151,5209,US,30859354,13.5344444444,144.885555556,,Census,Village,GU,"Yigo, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7682.0,11542.0,10359.0,14213.0,19474.0,20539.0
19193,4819,US,2604922,13.4683333333,144.745833333,,Census,Village,GU,Agana Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3210.0,3156.0,3284.0,3646.0,3940.0,3808.0
19269,5805,US,2589256,,,,Census,Village,GU,"Asan, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3053.0,2629.0,2034.0,2070.0,2090.0,2137.0
20060,6930,US,30859370,13.2633333333,144.669722222,,Census,Village,GU,"Merizo, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1398.0,1529.0,1663.0,1742.0,2163.0,1850.0
23128,5536,US,2589341,13.3861111111,144.668888889,,Census,Village,GU,"Santa Rita, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,12126.0,8109.0,9183.0,11857.0,7500.0,6084.0
23130,6249,US,5012489,13.4605555556,144.751944444,,Census,Village,GU,"Sinajana, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3842.0,3506.0,2485.0,2658.0,2853.0,2592.0
25197,6267,US,30859318,13.2755555556,144.743333333,,Census,Village,GU,"Inarajan, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1730.0,1897.0,2059.0,2469.0,3052.0,2273.0
25634,6149,US,30859360,13.4405555556,144.771388889,,Census,Village,GU,Chalan Pago-Ordot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1835.0,2931.0,3120.0,4451.0,5923.0,6822.0
26811,11443,US,30859365,,,,Census,Village,GU,Barrigada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5430.0,6356.0,7756.0,8846.0,8652.0,8875.0
27723,5595,US,2589390,13.4097222222,144.773333333,,Census,Village,GU,"Yona, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2356.0,2599.0,4228.0,5338.0,6484.0,6480.0
