,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
2426,19074,US,85085,20.8833333333,-156.65,,Census,US County,HI,"Maui County, Hawaii",0,0,0,0,0,0,0,0,0,0,0,26743,29762,37385,55541.0,55534,48179,42576.0,45984.0,70847.0,100374.0,128094.0,154834.0
2569,12922,US,110541,21.4180555556,-157.998055556,,Census,Census-designated place,HI,"Waipio, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,11812.0,11672.0,11674.0
3568,42206,US,70959,20.8,-156.333333333,,Census,Unknown,HI,Maui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,40103,35717.0,38691.0,62823.0,91361.0,117644.0,144444.0
4055,10256,US,110518,21.7027777778,-158.011111111,,Census,Census-designated place,HI,"Kawela Bay, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,366.0,410.0,330.0
4224,180397,US,13270,,,,Census,US State,HI,Hawaii,0,0,0,0,0,0,0,0,0,0,0,154001,191874,255881,368300.0,422770,499794,632772.0,769913.0,964691.0,1108229.0,1211537.0,1360301.0
8574,29870,US,110467,19.7055555556,-155.085833333,,Census,Census-designated place,HI,"Hilo, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,6745,10431,19468.0,23353,27198,25966.0,26353.0,35269.0,37808.0,40759.0,43263.0
11109,73474,US,13887,21.3,-157.816666667,,Census,Consolidated city-county,HI,Honolulu,0,0,0,0,0,0,0,0,0,0,22907,39306,52183,83327,137582.0,179326,248034,294194.0,324871.0,365048.0,365272.0,371657.0,390738.0
11886,14890,US,110528,21.4083333333,-157.966944444,,Census,Census-designated place &amp; unincorporated community,HI,"Pearl City, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,19552.0,42575.0,30993.0,30976.0,47698.0
12065,9033,US,110469,19.5594444444,-155.929722222,,Census,Census-designated place,HI,"Honalo, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1926.0,1987.0,2423.0
16853,10408,US,110475,19.7230555556,-156.004722222,,Census,Census-designated place,HI,"Kalaoa, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4490.0,6794.0,9644.0
17473,8471,US,110522,21.4830555556,-158.203888889,,Census,Census-designated place,HI,"Mākaha Valley, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1012.0,1289.0,1341.0
17799,22611,US,85061,19.5833333333,-155.5,,Census,US County,HI,"Hawaii County, Hawaii",0,0,0,0,0,0,0,0,0,0,0,46843,55382,64895,73325.0,73276,68350,61332.0,63468.0,92053.0,120317.0,148677.0,185079.0
18957,15632,US,85075,21.1969444444,-156.967222222,,Census,US County,HI,"Kalawao County, Hawaii",0,0,0,0,0,0,0,0,0,0,0,1177,785,667,605.0,446,340,279.0,172.0,144.0,130.0,147.0,90.0
20234,9724,US,110502,21.3394444444,-158.029722222,,Census,Census-designated place,HI,"ʻEwa Gentry, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1992.0,4939.0,22690.0
22231,21135,US,85083,22.0666666667,-159.65,,Census,US County,HI,"Kauai County, Hawaii",0,0,0,0,0,0,0,0,0,0,0,20734,23952,29438,35942.0,35818,29905,28176.0,29761.0,39082.0,51177.0,58463.0,67091.0
22482,16891,US,110504,21.3775,-157.922777778,,Census,Census-designated place,HI,"Halawa, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,13408.0,13891.0,14014.0
22783,57790,US,17993666,,,,Census,Consolidated city-county,HI,"Honolulu County, Hawaii",0,0,0,0,0,0,0,0,0,0,0,58504,81993,123496,202887.0,257696,353020,500409.0,629176.0,762565.0,836231.0,876156.0,953207.0
25597,8406,US,110559,21.9197222222,-159.481666667,,Census,Census-designated place,HI,"Omao, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1142.0,1221.0,1301.0
28313,8642,US,110567,20.9205555556,-156.3125,,Census,Census-designated place,HI,"Haiku-Pauwela, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4509.0,6578.0,8118.0
