,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
10,20682,US,114092,41.0116666667,-95.2272222222,,Census,City,IA,"Red Oak, Iowa",0,0,0,0,0,0,0,0,1315,3755,3321,4355,4830,5578,5778.0,5763,6526,6421.0,6210.0,6810.0,6264.0,6197.0,5742.0
36,9883,US,114371,43.3294444444,-93.0702777778,,Census,City,IA,"Grafton, Iowa",0,0,0,0,0,0,0,0,0,0,0,156,183,233,249.0,37,44,47.0,254.0,255.0,282.0,290.0,252.0
47,17911,US,114152,41.65,-93.4725,,Census,City,IA,"Altoona, Iowa",0,0,0,0,0,0,0,0,0,400,326,328,438,502,514.0,640,763,1458.0,2883.0,5764.0,7242.0,10345.0,14541.0
83,9232,US,113795,42.7627777778,-93.3688888889,"[[y2016,475]]", USA,City,IA,"Latimer, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,378,359,352.0,416,434,445.0,393.0,441.0,430.0,535.0,507.0
130,9993,US,112768,42.3136111111,-92.1883333333,"[[y2016,2269]]", USA,City,IA,"La Porte City, Iowa",0,0,0,0,0,0,0,0,0,1006,1052,1419,1233,1443,1470.0,1594,1770,1953.0,2256.0,2324.0,2128.0,2275.0,2285.0
132,24463,US,95976,43.3833333333,-96.2166666667,,Census,US County,IA,"Lyon County, Iowa",0,0,0,0,0,0,0,0,221,1968,8680,13165,14624,15431,15293.0,15374,14697,14468.0,13340.0,12896.0,11952.0,11763.0,11581.0
217,10069,US,113842,43.0072222222,-93.6013888889,"[[y2016,476]]", USA,City,IA,"Klemme, Iowa",0,0,0,0,0,0,0,0,0,0,0,262,306,468,463.0,528,555,615.0,554.0,620.0,587.0,593.0,507.0
229,9434,US,114109,43.3119444444,-95.7916666667,,Census,City,IA,"Ashton, Iowa",0,0,0,0,0,0,0,0,0,0,309,513,518,610,568.0,620,588,615.0,483.0,441.0,462.0,461.0,458.0
277,18462,US,150399,42.5525,-93.0538888889,"[[y2016,1546]]", USA,City,IA,"Ackley, Iowa",0,0,0,0,0,0,0,0,0,1517,1286,1445,1244,1529,1524.0,1586,1608,1731.0,1794.0,1900.0,1696.0,1809.0,1589.0
304,25947,US,96025,41.3294444444,-94.9291666667,,Census,US County,IA,"Cass County, Iowa",0,0,0,0,0,0,0,1612,5464,16943,19642,21274,19047,19421,19422.0,18647,18532,17919.0,17007.0,16932.0,15128.0,14684.0,13956.0
312,10229,US,112923,41.9611111111,-90.4697222222,"[[y2016,368]]", USA,City,IA,"Charlotte, Iowa",0,0,0,0,0,0,0,0,0,294,0,0,356,464,407.0,393,427,417.0,444.0,442.0,359.0,421.0,394.0
320,8814,US,114050,42.1141666667,-93.1583333333,"[[y2016,148]]", USA,City,IA,"Clemons, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,213,216,241.0,207,202,198.0,178.0,175.0,173.0,148.0,148.0
359,10798,US,114158,41.7705555556,-93.7158333333,,Census,City,IA,"Polk City, Iowa",0,0,0,0,0,0,0,0,0,443,446,438,310,277,295.0,343,336,567.0,715.0,1658.0,1908.0,2344.0,3418.0
386,16508,US,112972,40.6225,-93.9336111111,"[[y2016,2354]]", USA,City,IA,"Lamoni, Iowa",0,0,0,0,0,0,0,0,0,0,0,1540,1541,1787,1739.0,1567,2196,2173.0,2540.0,2705.0,2319.0,2444.0,2324.0
422,15420,US,112826,42.3958333333,-94.6330555556,"[[y2016,2137]]", USA,City,IA,"Rockwell City, Iowa",0,0,0,0,0,0,0,0,0,90,516,1222,1528,2039,2108.0,2391,2333,2313.0,2396.0,2276.0,1981.0,2264.0,1709.0
436,8956,US,112992,40.8280555556,-91.2602777778,"[[y2016,334]]", USA,City,IA,"Middletown, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,112,126.0,134,229,245.0,443.0,487.0,386.0,535.0,318.0
467,10782,US,114114,40.5797222222,-95.2208333333,"[[y2016,37]]", USA,City,IA,"Blanchard, Iowa",0,0,0,0,0,0,0,0,0,321,432,520,408,429,347.0,259,214,174.0,139.0,101.0,67.0,61.0,38.0
499,9043,US,112745,41.84,-94.9825,"[[y2016,59]]", USA,City,IA,"Gray, Iowa",0,0,0,0,0,0,0,0,0,0,0,180,148,196,194.0,182,183,162.0,145.0,108.0,83.0,82.0,63.0
542,10231,US,112808,42.5825,-92.8825,"[[y2016,1068]]", USA,City,IA,"Aplington, Iowa",0,0,0,0,0,0,0,0,0,0,427,427,448,598,622.0,588,702,840.0,936.0,1027.0,1034.0,1054.0,1128.0
636,66664,US,33670,42.4925,-92.3461111111,,Census,City,IA,"Waterloo, Iowa",0,0,0,0,0,0,0,0,4337,5630,6674,12580,26693,36230,46191.0,51743,65198,71755.0,75533.0,75985.0,66467.0,68747.0,68406.0
639,9309,US,114096,41.3794444444,-91.3502777778,"[[y2016,415]]", USA,City,IA,"Conesville, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,347,307,254.0,302,252,248.0,295.0,301.0,334.0,424.0,432.0
659,9638,US,113912,41.8244444444,-93.1508333333,"[[y2016,1110]]", USA,City,IA,"Baxter, Iowa",0,0,0,0,0,0,0,0,0,0,0,427,527,571,569.0,623,618,681.0,788.0,951.0,938.0,1052.0,1101.0
661,10284,US,112870,42.7141666667,-95.4347222222,,Census,City,IA,"Aurelia, Iowa",0,0,0,0,0,0,0,0,0,225,663,621,625,708,723.0,752,807,904.0,1065.0,1143.0,1034.0,1062.0,1036.0
700,8064,US,150429,40.8997222222,-94.2638888889,"[[y2016,70]]", USA,City,IA,"Shannon City, Iowa",0,0,0,0,0,0,0,0,0,0,0,380,292,333,293.0,288,171,127.0,100.0,93.0,97.0,70.0,71.0
721,2019,US,52596440,41.6106,-91.4906,, USA,Township,IA,"East Lucas Township, Johnson County, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,459.0,610.0,565.0,0.0
734,12087,US,112929,41.9641666667,-90.8175,"[[y2016,420]]", USA,City,IA,"Lost Nation, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,523,537,493.0,493,557,567.0,547.0,524.0,467.0,497.0,446.0
737,71521,US,113988,41.9830555556,-91.6686111111,"[[y2016,131127]]", USA,City,IA,"Cedar Rapids, Iowa",0,0,0,0,0,0,0,1830,5940,10104,18020,25656,32811,45566,56097.0,62120,72296,92035.0,110642.0,110243.0,108772.0,120758.0,126326.0
777,31673,US,112861,43.1486111111,-93.2019444444,,Census,City,IA,"Mason City, Iowa",0,0,0,0,0,0,0,0,1183,2510,4007,6747,11230,20065,23304.0,27080,27980,30642.0,30379.0,30144.0,29040.0,29172.0,28079.0
807,9688,US,112796,42.4725,-91.7358333333,"[[y2016,848]]", USA,City,IA,"Winthrop, Iowa",0,0,0,0,0,0,0,0,0,320,370,618,529,507,496.0,546,604,649.0,750.0,767.0,742.0,772.0,850.0
818,10160,US,113953,41.3625,-92.0511111111,"[[y2016,109]]", USA,City,IA,"Harper, Iowa",0,0,0,0,0,0,0,0,0,254,253,269,232,247,212.0,208,182,177.0,173.0,138.0,147.0,134.0,114.0
856,12591,US,114015,40.9825,-93.1986111111,,Census,City,IA,"Russell, Iowa",0,0,0,0,0,0,0,0,175,345,443,636,612,633,571.0,642,566,577.0,591.0,593.0,531.0,559.0,554.0
860,26772,US,114063,41.0455555556,-95.7425,,Census,City,IA,"Glenwood, Iowa",0,0,0,0,0,0,0,614,1291,1793,1890,3040,4052,3862,4269.0,4501,4664,4783.0,4421.0,5280.0,4571.0,5358.0,5269.0
883,7743,US,114081,42.2047222222,-95.9513888889,"[[y2016,58]]", USA,City,IA,"Rodney, Iowa",0,0,0,0,0,0,0,0,0,0,0,173,163,176,150.0,131,127,94.0,66.0,82.0,71.0,74.0,60.0
928,8546,US,113001,43.3055555556,-94.9713888889,"[[y2016,362]]", USA,City,IA,"Terril, Iowa",0,0,0,0,0,0,0,0,0,0,0,217,253,440,416.0,452,425,382.0,397.0,420.0,383.0,404.0,367.0
953,23219,US,95934,40.75,-91.9516666667,,Census,US County,IA,"Van Buren County, Iowa",0,0,0,0,0,0,12270,17081,17672,17043,16253,17354,15020,14060,12603.0,12053,11007,9778.0,8643.0,8626.0,7676.0,7809.0,7570.0
971,10137,US,113762,42.6027777778,-90.7822222222,"[[y2016,179]]", USA,City,IA,"Sherrill, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,82,162,174.0,190.0,208.0,148.0,186.0,177.0
1047,9569,US,114244,41.950914,-93.664905,"[[y2016,307]]", USA,City,IA,"Kelley, Iowa",0,0,0,0,0,0,0,0,0,0,0,187,231,192,179.0,159,244,239.0,235.0,237.0,246.0,300.0,309.0
1152,13142,US,113941,41.6536111111,-91.5580555556,"[[y2016,1089]]", USA,City,IA,"University Heights, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,261,446,841.0,1265.0,1069.0,1042.0,987.0,1051.0
1269,8790,US,114374,43.3538888889,-93.2086111111,"[[y2016,268]]", USA,City,IA,"Kensett, Iowa",0,0,0,0,0,0,0,0,0,0,0,459,360,338,394.0,392,424,409.0,361.0,360.0,298.0,280.0,266.0
1319,11688,US,113855,41.8538888889,-95.6,, USA,City,IA,"Dunlap, Iowa",0,0,0,0,0,0,0,0,0,1246,1088,1355,1155,1455,1522.0,1550,1409,1254.0,1292.0,1374.0,1251.0,1139.0,1042.0
1325,14223,US,114156,41.6713888889,-93.7058333333,,Census,City,IA,"Johnston, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,222.0,2526.0,4702.0,8649.0,17278.0
1352,10567,US,114140,42.8130555556,-95.9716666667,"[[y2016,1650]]", USA,City,IA,"Remsen, Iowa",0,0,0,0,0,0,0,0,0,0,580,835,1076,1144,1181.0,1196,1280,1338.0,1367.0,1592.0,1513.0,1762.0,1663.0
1383,9838,US,112807,42.7533333333,-92.7947222222,"[[y2016,1013]]", USA,City,IA,"Allison, Iowa",0,0,0,0,0,0,0,0,0,0,0,463,495,520,603.0,708,771,952.0,1071.0,1132.0,1000.0,1006.0,1029.0
1403,12533,US,113781,42.9619444444,-91.81,"[[y2016,2395]]", USA,City,IA,"West Union, Iowa",0,0,0,0,0,0,0,0,1489,1551,1676,1935,1652,1777,2056.0,2059,2141,2551.0,2624.0,2783.0,2490.0,2549.0,2486.0
1448,23848,US,96021,43.06,-92.3188888889,,Census,US County,IA,"Chickasaw County, Iowa",0,0,0,0,0,0,0,4336,10180,14534,15019,17037,15375,15431,14637.0,15227,15228,15034.0,14969.0,15437.0,13295.0,13095.0,12439.0
1483,8873,US,113906,42.0763888889,-90.8805555556,"[[y2016,151]]", USA,City,IA,"Monmouth, Iowa",0,0,0,0,0,0,0,0,0,309,0,281,221,200,198.0,190,198,291.0,257.0,210.0,169.0,180.0,153.0
1489,10325,US,114384,42.5666666667,-93.845,"[[y2016,163]]", USA,City,IA,"Woolstock, Iowa",0,0,0,0,0,0,0,0,0,0,0,274,264,294,317.0,271,255,269.0,222.0,235.0,212.0,204.0,168.0
1506,23023,US,96006,43.3772222222,-94.6775,,Census,US County,IA,"Emmet County, Iowa",0,0,0,0,0,0,0,105,1392,1550,4274,9936,9816,12627,12856.0,13406,14102,14871.0,14009.0,13336.0,11569.0,11027.0,10302.0
1551,9091,US,112931,41.9033333333,-90.8630555556,"[[y2016,119]]", USA,City,IA,"Toronto, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,106,139,113.0,142,165,144.0,145.0,172.0,132.0,134.0,124.0
1576,12005,US,114094,40.9291666667,-94.9780555556,"[[y2016,1182]]", USA,City,IA,"Villisca, Iowa",0,0,0,0,0,0,0,0,457,1299,1744,2211,2039,2111,2032.0,2011,1838,1690.0,1402.0,1434.0,1332.0,1344.0,1252.0
1659,8735,US,112837,42.125,-94.7830555556,"[[y2016,175]]", USA,City,IA,"Lidderdale, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,114,163,211.0,208,180,201.0,173.0,197.0,202.0,186.0,180.0
1827,15083,US,114012,41.0161111111,-93.3075,"[[y2016,4191]]", USA,City,IA,"Chariton, Iowa",0,0,0,0,0,0,0,641,1728,2977,3122,3989,3794,5175,5365.0,5754,5320,5042.0,5009.0,5116.0,4616.0,4573.0,4321.0
1867,24297,US,95905,43.2833333333,-91.8666666667,,Census,US County,IA,"Winneshiek County, Iowa",0,0,0,0,0,0,546,13942,23570,23938,22528,23731,21729,22091,21630.0,22263,21639,21651.0,21758.0,21876.0,20847.0,21310.0,21056.0
1932,10969,US,114358,42.4766666667,-95.7847222222,"[[y2016,805]]", USA,City,IA,"Correctionville, Iowa",0,0,0,0,0,0,0,0,0,86,869,935,893,1016,1058.0,1151,992,912.0,870.0,935.0,897.0,851.0,821.0
1949,7455,US,113873,40.9641666667,-91.6283333333,"[[y2016,111]]", USA,City,IA,"Westwood, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,104.0,127.0,112.0
1980,10356,US,114035,41.3386111111,-92.7866666667,,Census,City,IA,"Leighton, Iowa",0,0,0,0,0,0,0,0,0,145,0,0,0,130,115.0,128,118,167.0,140.0,137.0,142.0,153.0,162.0
1991,10120,US,114332,42.2627777778,-94.0691666667,"[[y2016,802]]", USA,City,IA,"Dayton, Iowa",0,0,0,0,0,0,0,0,0,239,669,753,717,836,713.0,732,793,820.0,909.0,941.0,818.0,884.0,837.0
2007,8813,US,113851,42.3147222222,-93.4322222222,"[[y2016,536]]", USA,City,IA,"Radcliffe, Iowa",0,0,0,0,0,0,0,0,0,0,0,645,660,708,627.0,631,638,615.0,548.0,593.0,574.0,607.0,545.0
2041,24542,US,95969,43.3555555556,-92.7897222222,,Census,US County,IA,"Mitchell County, Iowa",0,0,0,0,0,0,0,3409,9582,14363,13299,14916,13435,13921,14065.0,14121,13945,14043.0,13108.0,12329.0,10928.0,10874.0,10776.0
2100,8608,US,114352,43.1069444444,-92.0466666667,"[[y2016,55]]", USA,City,IA,"Jackson Junction, Iowa",0,0,0,0,0,0,0,0,0,0,0,171,160,130,126.0,122,107,89.0,106.0,94.0,87.0,60.0,58.0
2134,8639,US,113951,41.3241666667,-92.3294444444,"[[y2016,316]]", USA,City,IA,"Delta, Iowa",0,0,0,0,0,0,0,0,0,416,409,691,728,688,588.0,602,562,514.0,475.0,482.0,409.0,410.0,328.0
2141,9555,US,113768,43.295,-94.5088888889,"[[y2016,383]]", USA,City,IA,"Ringsted, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,313,599,486.0,508,578,559.0,509.0,557.0,481.0,436.0,422.0
2178,9395,US,113764,43.3958333333,-94.4808333333,"[[y2016,885]]", USA,City,IA,"Armstrong, Iowa",0,0,0,0,0,0,0,0,0,0,0,907,586,818,767.0,937,943,958.0,1061.0,1153.0,1025.0,979.0,926.0
2203,21982,US,96022,42.7347222222,-95.6241666667,,Census,US County,IA,"Cherokee County, Iowa",0,0,0,0,0,0,0,58,1967,8240,15659,16570,16741,17760,18737.0,19258,19052,18598.0,17269.0,16238.0,14098.0,13035.0,12072.0
2238,10556,US,114129,42.9372222222,-94.6841666667,"[[y2016,266]]", USA,City,IA,"Mallard, Iowa",0,0,0,0,0,0,0,0,0,0,0,292,331,431,449.0,438,399,431.0,384.0,407.0,360.0,298.0,274.0
2279,8953,US,112979,42.4738888889,-91.3422222222,"[[y2016,155]]", USA,City,IA,"Delaware, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,194,165.0,198,192,167.0,153.0,170.0,176.0,188.0,159.0
2307,9227,US,114141,42.8941666667,-96.1933333333,"[[y2016,78]]", USA,City,IA,"Struble, Iowa",0,0,0,0,0,0,0,0,0,0,0,172,327,129,161.0,134,91,74.0,59.0,70.0,67.0,85.0,78.0
2324,10281,US,112840,41.9180555556,-94.9425,"[[y2016,349]]", USA,City,IA,"Templeton, Iowa",0,0,0,0,0,0,0,0,0,0,269,321,278,373,428.0,390,385,354.0,312.0,319.0,321.0,334.0,362.0
2373,8315,US,114274,40.9488888889,-94.2188888889,"[[y2016,99]]", USA,City,IA,"Arispe, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,155,156,133.0,149,110,125.0,93.0,89.0,92.0,89.0,100.0
2375,9983,US,114105,42.9786111111,-95.6869444444,,Census,City,IA,"Paullina, Iowa",0,0,0,0,0,0,0,0,0,0,510,617,796,987,1013.0,1230,1289,1329.0,1257.0,1224.0,1134.0,1124.0,1056.0
2385,8682,US,112877,42.5758333333,-95.7180555556,,Census,City,IA,"Washta, Iowa",0,0,0,0,0,0,0,0,0,0,0,431,410,508,448.0,442,403,310.0,319.0,320.0,284.0,282.0,248.0
2398,12500,US,112744,41.5916666667,-94.8783333333,"[[y2016,795]]", USA,City,IA,"Exira, Iowa",0,0,0,0,0,0,0,83,161,604,575,851,787,840,937.0,1046,1129,1111.0,966.0,978.0,955.0,810.0,840.0
2421,9459,US,114365,42.5447222222,-95.8686111111,"[[y2016,351]]", USA,City,IA,"Pierson, Iowa",0,0,0,0,0,0,0,0,0,0,0,358,416,554,551.0,531,453,425.0,421.0,408.0,341.0,371.0,366.0
2442,9280,US,112930,41.8013888889,-90.3561111111,"[[y2016,277]]", USA,City,IA,"Low Moor, Iowa",0,0,0,0,0,0,0,0,0,168,0,318,253,277,271.0,252,279,343.0,347.0,346.0,280.0,240.0,288.0
