,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
119,9064,US,110735,46.9286111111,-116.889166667,,Census,City,ID,"Onaway, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,191.0,166.0,254.0,203.0,230.0,187.0
175,18977,US,110703,46.2269444444,-116.027777778,,Census,City,ID,"Kamiah, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,324,653,487.0,568,812,1245.0,1307.0,1478.0,1157.0,1160.0,1295.0
276,13647,US,110788,44.5716666667,-116.678055556,,Census,City,ID,"Cambridge, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,349,404,336.0,405,354,473.0,383.0,428.0,374.0,360.0,328.0
346,4458,US,21069570,42.3911111111,-111.320833333,,Census,Census-designated place,ID,"Bennington, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
387,29676,US,96308,47.35,-115.89,,Census,US County,ID,"Shoshone County, Idaho",0,0,0,0,0,0,0,0,722,469,5382,11950,13963,14250,19060.0,21230,22806,20876.0,19718.0,19226.0,13931.0,13771.0,12765.0
455,11483,US,110621,43.3094444444,-113.945277778,,Census,City,ID,"Carey, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,701,740,600.0,100,100,200.0,300.0,600.0,600.0,513.0,604.0
567,8960,US,110771,47.5427777778,-116.179166667,,Census,City,ID,"Smelterville, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,76,1127.0,967.0,776.0,464.0,651.0,627.0
608,7679,US,110600,43.0186111111,-112.448333333,,Census,Census-designated place,ID,"Fort Hall, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
972,11895,US,110698,42.8169444444,-114.8975,,Census,Town,ID,"Hagerman, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,327,327.0,435,520,430.0,436.0,602.0,600.0,656.0,872.0
982,14755,US,110628,43.9433333333,-115.946388889,,Census,City,ID,"Placerville, Idaho",0,0,0,0,0,0,0,0,0,426,0,230,187,0,116.0,146,17,12.0,14.0,20.0,14.0,60.0,53.0
1221,8297,US,110756,46.4738888889,-116.425,,Census,City,ID,"Peck, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,236,191,164.0,165,170,186.0,238.0,209.0,160.0,186.0,197.0
1435,34984,US,96362,43.45,-116.24,,Census,US County,ID,"Ada County, Idaho",0,0,0,0,0,0,0,0,2675,4674,8368,11559,29088,35213,37925.0,50401,70649,93460.0,112230.0,173036.0,205775.0,300904.0,392365.0
1637,8484,US,110668,44.3672222222,-112.192222222,,Census,City,ID,"Spencer, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,70,100.0,45.0,29.0,11.0,38.0,37.0
1713,23312,US,110637,48.2666666667,-116.566666667,,Census,City,ID,"Sandpoint, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,2993,2876,3290.0,4356,4265,4355.0,4144.0,4460.0,5203.0,6835.0,7365.0
1825,23307,US,96319,43.79,-111.66,,Census,US County,ID,"Madison County, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,9167,8316.0,9186,9156,9417.0,13452.0,19480.0,23674.0,27467.0,37536.0
1902,9648,US,110714,42.6058333333,-114.207222222,,Census,City,ID,"Eden, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,359,409.0,413,456,426.0,343.0,355.0,314.0,411.0,405.0
2057,13424,US,110678,42.9519444444,-115.301111111,,Census,City,ID,"Glenns Ferry, Idaho",0,0,0,0,0,0,0,0,0,0,333,0,800,1243,1414.0,1290,1515,1374.0,1386.0,1374.0,1304.0,1611.0,1319.0
2161,9249,US,110749,42.6683333333,-113.595,,Census,City,ID,"Acequia, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,107.0,107.0,100.0,106.0,144.0,124.0
2228,9809,US,110759,43.6188888889,-116.936944444,,Census,City,ID,"Homedale, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.0,857,1411,1381.0,1411.0,2078.0,1963.0,2528.0,2633.0
2334,25627,US,110593,43.6141666667,-116.398888889,,Census,City,ID,"Meridian, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,619,1000,1004.0,1465,1810,2081.0,2616.0,6658.0,9596.0,34919.0,75092.0
2381,13498,US,110654,43.7063888889,-116.620277778,,Census,City,ID,"Middleton, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,585,372.0,477,496,541.0,739.0,1901.0,1851.0,2978.0,5524.0
2431,9411,US,110644,43.5930555556,-111.959722222,,Census,City,ID,"Ucon, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,364,349.0,449,356,532.0,664.0,833.0,895.0,943.0,1108.0
2891,21262,US,96357,47.22,-116.66,,Census,US County,ID,"Benewah County, Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,6997,6371.0,7332,6173,6036.0,6230.0,8292.0,7937.0,9171.0,9285.0
