,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
2,7203,US,9533740,41.2525,-87.9477777778,,Census,Township,IL,"Rockville Township, Kankakee County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,9170,US,111568,39.4338888889,-89.9955555556,,Census,Village,IL,"Palmyra, Illinois",0,0,0,0,0,0,0,0,0,222,505,813,873,835,760.0,824,746,811.0,776.0,864.0,722.0,733.0,698.0
55,9301,US,111073,38.9022222222,-87.6725,,Census,Village,IL,"Flat Rock, Illinois",0,0,0,0,0,0,0,0,0,140,151,315,840,745,584.0,585,558,497.0,504.0,493.0,421.0,415.0,331.0
57,17371,US,111440,41.3344444444,-89.1275,,Census,City,IL,"Peru, Illinois",0,0,0,0,0,0,1279,3139,3650,4632,5550,6863,7984,8869,9121.0,8983,8653,10460.0,11772.0,10873.0,9302.0,9820.0,10295.0
70,14246,US,48165,41.3294444444,-87.795,,Census,Village,IL,"Peotone, Illinois",0,0,0,0,0,0,0,0,0,624,717,1003,1207,1090,1154.0,1146,1395,1788.0,2345.0,2832.0,2947.0,3385.0,4142.0
86,5972,US,2946606,39.8405555556,-87.5908333333,,Census,Township,IL,"Prairie Township, Edgar County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
102,13067,US,111403,41.5619444444,-88.5997222222,,Census,Village,IL,"Millington, Illinois",0,0,0,0,0,0,0,0,0,255,301,286,223,212,208.0,248,270,309.0,338.0,439.0,470.0,458.0,665.0
172,8441,US,111905,39.2866666667,-89.1086111111,,Census,Village,IL,"Oconee, Illinois",0,0,0,0,0,0,0,0,0,259,332,316,293,318,231.0,278,256,257.0,218.0,240.0,201.0,202.0,180.0
180,10366,US,110868,39.9488888889,-90.2116666667,,Census,City,IL,"Virginia, Illinois",0,0,0,0,0,0,0,0,954,1420,1602,1600,1501,1501,1494.0,1418,1572,1669.0,1814.0,1825.0,1767.0,1728.0,1611.0
184,8275,US,10293342,40.3075,-90.1627777778,,Census,Township,IL,"Isabel Township, Fulton County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
191,5972,US,9803771,40.0233333333,-87.9719444444,,Census,Township,IL,"South Homer Township, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
192,9539,US,111159,39.1841666667,-88.6530555556,,Census,Village,IL,"Shumway, Illinois",0,0,0,0,0,0,0,0,0,130,0,258,291,269,178.0,180,248,212.0,235.0,278.0,243.0,217.0,202.0
204,22317,US,111662,42.3391666667,-88.2816666667,,Census,City,IL,"McHenry, Illinois",0,0,0,0,0,0,0,0,0,874,979,1013,1031,1146,1354.0,1596,2080,3336.0,6772.0,10737.0,16177.0,21501.0,26992.0
219,6051,US,12319789,38.5166666667,-88.6416666667,,Census,Township,IL,"Orchard Township, Wayne County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
221,4729,US,10208193,40.771127,-89.945621,,Census,Township,IL,"Elmwood Township, Peoria County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
223,6084,US,12017012,38.9097222222,-88.1002777778,,Census,Township,IL,"Fox Township, Jasper County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
236,9702,US,111712,38.1655555556,-90.2144444444,,Census,Village,IL,"Fults, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,88,120,90.0,101.0,78.0,45.0,28.0,26.0
240,12093,US,111102,41.6327777778,-88.6863888889,,Census,Village,IL,"Somonauk, Illinois",0,0,0,0,0,0,0,0,0,587,468,630,591,540,578.0,610,721,899.0,1112.0,1344.0,1263.0,1295.0,1893.0
253,7701,US,111754,42.1258333333,-89.58,,Census,Village,IL,"Forreston, Illinois",0,0,0,0,0,0,0,0,0,1108,1118,1047,870,884,908.0,992,1048,1153.0,1227.0,1384.0,1361.0,1469.0,1446.0
306,4538,US,9741123,40.5316666667,-89.3277777778,,Census,Township,IL,"Mackinaw Township, Tazewell County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
324,16404,US,111382,42.0952777778,-88.2858333333,,Census,Village,IL,"West Dundee, Illinois",0,0,0,0,0,0,0,0,0,585,873,1348,1380,1587,1697.0,1831,1948,2530.0,3295.0,3551.0,3728.0,5428.0,7331.0
328,6384,US,12015919,41.1630555556,-88.3294444444,,Census,Township,IL,"Garfield Township, Grundy County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
331,5096,US,9472904,41.6233333333,-89.5819444444,,Census,Township,IL,"Hamilton Township, Lee County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
345,6206,US,9173790,39.9738888889,-91.0947222222,,Census,Township,IL,"Columbus Township, Adams County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
349,6421,US,9413548,42.1638888889,-90.1697222222,,Census,Township,IL,"Washington Township, Carroll County, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
354,12152,US,111180,37.9722222222,-89.0527777778,,Census,City,IL,"Christopher, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,1825,3830,4244.0,3833,3545,2854.0,2910.0,3086.0,2774.0,2836.0,2382.0
369,9728,US,111820,41.2527777778,-89.3416666667,,Census,Unknown,IL,"Hennepin, Illinois",0,0,0,0,0,0,0,0,0,623,574,523,451,377,312.0,396,312,391.0,535.0,716.0,669.0,707.0,757.0
