,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
0,12896,US,112521,38.5469444444,-86.6188888889,,Census,Town,IN,"French Lick, Indiana",0,0,0,0,0,0,0,0,0,0,0,260,1803,1980,2462.0,2042,1946,1954.0,2059.0,2265.0,2087.0,1941.0,1807.0
46,10784,US,112262,40.9472222222,-86.2638888889,,Census,Town,IN,"Fulton, Indiana",0,0,0,0,0,0,0,0,0,0,0,0,296,361,397.0,373,366,410.0,372.0,393.0,371.0,326.0,333.0
74,33550,US,96145,40.61,-87.31,,Census,US County,IN,"Benton County, Indiana",0,0,0,0,0,0,1144,2809,5615,11108,11903,13123,12688,12206,11886.0,11117,11462,11912.0,11262.0,10218.0,9441.0,9421.0,8854.0
140,18043,US,112107,40.6580555556,-84.9541666667,,Census,City,IN,"Berne, Indiana",0,0,0,0,0,0,0,0,0,0,544,1037,1316,1537,1883.0,2075,2277,2644.0,2988.0,3300.0,3559.0,4150.0,3999.0
146,29308,US,96098,40.16,-85.72,,Census,US County,IN,"Madison County, Indiana",0,0,0,0,2238,8874,12375,16518,22770,27527,36487,70470,65224,69151,82888.0,88575,103911,125819.0,138451.0,139336.0,130669.0,133358.0,131636.0
149,13594,US,112406,41.6436111111,-85.4172222222,,Census,Town,IN,"LaGrange, Indiana",0,0,0,0,0,0,0,650,1038,1367,1784,1703,1772,1610,1640.0,1814,1892,1990.0,2053.0,2164.0,2382.0,2919.0,2625.0
181,13665,US,112228,38.2252777778,-86.8611111111,,Census,Town,IN,"Ferdinand, Indiana",0,0,0,0,0,0,0,0,0,500,627,0,827,884,846.0,990,1252,1427.0,1432.0,2192.0,2318.0,2277.0,2157.0
206,7016,US,112559,40.9725,-86.5569444444,,Census,Census-designated place,IN,"Star City, Indiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
222,24114,US,112413,41.6388888889,-87.4622222222,,Census,City,IN,"East Chicago, Indiana",0,0,0,0,0,0,0,0,0,0,1255,3411,19098,35967,54784.0,54637,54263,57669.0,46982.0,39786.0,33892.0,32414.0,29698.0
275,10928,US,112497,39.9644444444,-86.715,,Census,Town,IN,"New Ross, Indiana",0,0,0,0,0,0,0,0,0,317,270,284,296,351,350.0,355,336,332.0,318.0,306.0,331.0,334.0,347.0
405,14107,US,112248,40.1405555556,-87.3930555556,,Census,City,IN,"Covington, Indiana",0,0,0,0,0,0,1176,1366,1888,1920,1891,2213,2069,1945,2008.0,2096,2235,2759.0,2641.0,2883.0,2747.0,2565.0,2645.0
490,15774,US,112627,38.7458333333,-85.0711111111,,Census,Town,IN,"Vevay, Indiana",0,0,0,0,0,1200,0,1198,0,1884,1663,1588,1256,1175,1183.0,1209,1309,1503.0,1463.0,1343.0,1393.0,1735.0,1683.0
515,10946,US,112450,40.0680555556,-85.8475,,Census,Town,IN,"Lapel, Indiana",0,0,0,0,0,0,0,0,0,0,0,869,1045,1079,1140.0,1146,1389,1772.0,1796.0,1881.0,1742.0,1855.0,2068.0
527,10424,US,112390,38.8961111111,-87.1852777778,,Census,Town,IN,"Sandborn, Indiana",0,0,0,0,0,0,0,0,0,252,0,0,445,530,641.0,602,572,547.0,528.0,576.0,455.0,451.0,415.0
550,29006,US,57233,,,,Census,US County,IN,"Putnam County, Indiana",0,0,0,0,8262,16843,18615,20681,21514,22501,22335,21478,20520,19880,20448.0,20839,22950,24927.0,26932.0,29163.0,30315.0,36019.0,37963.0
563,10491,US,112229,38.2458333333,-87.0383333333,,Census,Town,IN,"Holland, Indiana",0,0,0,0,0,0,0,0,0,199,0,0,0,0,323.0,380,501,661.0,662.0,683.0,675.0,695.0,626.0
582,9625,US,112200,39.2872222222,-84.9672222222,,Census,Town,IN,"St. Leon, Indiana",0,0,0,0,0,0,0,0,0,254,368,369,261,257,276.0,276,288,319.0,435.0,515.0,493.0,387.0,678.0
723,31578,US,96130,38.36,-86.88,,Census,US County,IN,"Dubois County, Indiana",0,0,0,1168,1778,3632,6321,10394,12597,15992,20253,20357,19843,19915,20553.0,22579,23785,27463.0,30934.0,34238.0,36616.0,39674.0,41889.0
