,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
8,11347,US,114496,37.2013888889,-99.4833333333,,Census,City,KS,"Protection, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,390,1109,1072.0,846,814,750.0,673.0,684.0,625.0,558.0,514.0
9,11642,US,114783,37.4725,-95.3558333333,,Census,City,KS,"Galesburg, Kansas",0,0,0,0,0,0,0,0,0,63,0,0,183,205,199.0,165,189,128.0,146.0,181.0,160.0,150.0,126.0
24,12107,US,114467,37.2783333333,-94.8211111111,,Census,City,KS,"Scammon, Kansas",0,0,0,0,0,0,0,0,0,0,748,1549,2233,1694,1093.0,737,561,429.0,457.0,501.0,466.0,496.0,482.0
26,14980,US,114873,38.3555555556,-98.3486111111,,Census,City,KS,"Chase, Kansas",0,0,0,0,0,0,0,0,0,0,358,0,263,286,278.0,825,961,922.0,800.0,753.0,577.0,490.0,477.0
28,10913,US,114964,37.3894444444,-97.6444444444,,Census,City,KS,"Conway Springs, Kansas",0,0,0,0,0,0,0,0,0,0,681,714,1292,1120,981.0,849,816,1057.0,1153.0,1313.0,1384.0,1322.0,1272.0
121,14295,US,114922,37.6605555556,-97.6819444444,"[[y2015,879]]",Census,City,KS,"Garden Plain, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,296,361,336.0,323,323,560.0,678.0,775.0,731.0,797.0,773.0
135,11155,US,114975,39.4705555556,-100.743888889,,Census,City,KS,"Rexford, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,237,375.0,244,304,245.0,231.0,204.0,171.0,157.0,232.0
213,12857,US,114621,39.3933333333,-95.6283333333,,Census,City,KS,"Denison, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,295,240,202.0,176,166,184.0,248.0,231.0,225.0,231.0,187.0
241,14402,US,114472,39.7713888889,-101.800833333,,Census,County seat,KS,"St. Francis, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,492,733,944.0,1041,1892,1594.0,1725.0,1610.0,1495.0,1497.0,1329.0
271,20124,US,114732,38.3830555556,-97.5369444444,,Census,City,KS,"Galva, Kansas",0,0,0,0,0,0,0,0,0,87,255,300,322,350,358.0,463,426,442.0,522.0,651.0,651.0,701.0,870.0
