,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
14,9850,US,115743,30.0488888889,-90.6997222222,,Census,Town,LA,"Lutcher, Louisiana",0,0,0,0,0,0,0,0,0,0,0,0,0,1700,1481.0,2167,2198,3274.0,3911.0,4730.0,3907.0,3735.0,3559.0
89,24228,US,115837,33.0011111111,-93.4613888889,,Census,City,LA,"Springhill, Louisiana",0,0,0,0,0,0,0,0,0,0,0,0,0,748,1546.0,2822,3383,6437.0,6496.0,6516.0,5668.0,5439.0,5269.0
210,30373,US,97717,,,,Census,US County,LA,"Ascension Parish, Louisiana",0,0,2219,3728,5246,6951,10752,11484,11577,16895,19545,24142,23887,22155,18438.0,21215,22387,27927.0,37086.0,50068.0,58214.0,76627.0,107215.0
388,10652,US,115813,30.0044444444,-92.2858333333,,Census,City,LA,"Kaplan, Louisiana",0,0,0,0,0,0,0,0,0,0,0,0,315,876,1653.0,2838,4562,5267.0,5540.0,5016.0,4535.0,5177.0,4600.0
412,11451,US,115673,32.0205555556,-92.9122222222,,Census,Village,LA,"Goldonna, Louisiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.0,256,364,292.0,337.0,526.0,417.0,457.0,430.0
512,11654,US,115571,30.5708333333,-92.3191666667,,Census,Village,LA,"Chataignier, Louisiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,431.0,281.0,383.0,364.0
648,26467,US,115538,32.79,-93.0586111111,,Census,Town,LA,"Homer, Louisiana",0,0,0,0,0,0,418,1451,80,718,1132,1157,1855,3305,2909.0,3497,4749,4665.0,4483.0,4307.0,4152.0,3788.0,3237.0
665,20179,US,115806,32.7736111111,-92.4041666667,,Census,Town,LA,"Farmerville, Louisiana",0,0,0,0,0,0,0,0,272,712,472,458,598,632,1137.0,1428,2173,2727.0,3416.0,3768.0,3334.0,3808.0,3860.0
667,8487,US,115495,32.4438888889,-92.9897222222,,Census,Village,LA,"Bryceland, Louisiana",0,0,0,0,0,0,0,0,0,0,0,0,0,243,176.0,139,123,89.0,65.0,122.0,103.0,114.0,108.0
741,9537,US,115528,32.0263888889,-92.1394444444,,Census,Village,LA,"Clarks, Louisiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,940.0,889.0,931.0,650.0,1071.0,1017.0
776,33461,US,97708,,,,Census,US County,LA,"Cameron Parish, Louisiana",0,0,0,0,0,0,0,0,1591,2416,2828,3952,4288,3952,6054.0,7203,6244,6909.0,8194.0,9336.0,9260.0,9991.0,6839.0
963,8735,US,115740,30.6797222222,-90.6547222222,,Census,Village,LA,"Montpelier, Louisiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,197.0,211.0,219.0,247.0,214.0,266.0
