,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
226,14604,US,116888,41.9911111111,-70.8625,,USA,Town,MA,"Halifax, Massachusetts",0,0,0,0,0,0,784,766,619,542,562,522,550,563,728.0,867,944,1599.0,3537.0,5513.0,6526.0,7500.0,7518.0
333,68479,US,116713,41.7013888889,-71.1555555556,"[[y2016,88930]]", USA,City,MA,"Fall River, Massachusetts",0,0,1296,1594,4158,6738,11524,14026,26766,48961,74398,104863,110295,120485,115274.0,115428,111963,99942.0,96898.0,92574.0,92703.0,91938.0,88857.0
358,54045,US,76200,41.99,-70.74,,Census,US County,MA,"Plymouth County, Massachusetts",29512,30073,35169,38136,43044,47373,55697,64768,65365,74018,92700,113985,144337,156968,162311.0,168824,189468,248449.0,333314.0,405437.0,435276.0,472822.0,494919.0
690,15939,US,116930,42.0541666667,-71.74,,USA,Town,MA,"Douglas, Massachusetts",0,0,0,0,0,0,1878,2442,2182,2241,1908,2113,2152,2181,2195.0,2617,2624,2559.0,2947.0,3730.0,5438.0,7045.0,8471.0
716,45810,US,76188,41.75,-71.09,,Census,US County,MA,"Bristol County, Massachusetts",31696,33880,37168,40908,49592,60164,76192,93794,102886,139040,186465,252029,318573,359005,364590.0,364637,381569,398488.0,444301.0,474641.0,506325.0,534678.0,548285.0
726,43165,US,255860,42.4472222222,-71.225,,USA,Town,MA,"Lexington, Massachusetts",0,0,0,0,0,0,1893,2329,2277,2460,3197,3831,4918,6350,9467.0,13187,17335,27691.0,31886.0,29479.0,28974.0,30355.0,31394.0
990,18992,US,116760,42.6042083333,-70.8868277778,,USA,Town,MA,"Wenham, Massachusetts",0,0,0,0,0,0,977,1105,985,889,886,847,1010,1090,1119.0,1220,1644,2798.0,3849.0,3897.0,4212.0,4440.0,4875.0
1023,12966,US,116779,42.5041666667,-72.3325,,USA,Town,MA,"New Salem, Massachusetts",0,0,0,0,0,1275,1253,957,987,869,856,807,639,512,414.0,357,392,397.0,474.0,688.0,802.0,929.0,990.0
1354,12274,US,116946,42.0277777778,-71.5813888889,,USA,Town,MA,"Millville, Massachusetts",0,0,0,0,0,0,0,0,0,0,0,0,0,2224,2111.0,1722,1692,1567.0,1764.0,1693.0,2236.0,2724.0,3190.0
1438,15432,US,259498,42.1305555556,-71.5416666667,,USA,Town,MA,"Hopedale, Massachusetts",0,0,0,0,0,0,0,0,0,0,1176,2087,2188,2777,2973.0,3113,3479,3987.0,4292.0,3905.0,5666.0,5907.0,5911.0
1463,9807,US,116830,42.6777777778,-71.8208333333,,USA,Town,MA,"Ashby, Massachusetts",0,0,0,0,0,0,1208,1091,994,914,825,876,885,834,982.0,1026,1464,1883.0,2274.0,2311.0,2717.0,2845.0,3074.0
1634,16289,US,116715,42.0333333333,-71.2194444444,,USA,Town,MA,"Mansfield, Massachusetts",0,0,0,0,0,0,1789,2114,2432,2765,3432,4006,5183,6255,6364.0,6530,7184,7773.0,9939.0,13453.0,16568.0,22414.0,23184.0
1686,29067,US,116699,42.2875,-73.3208333333,,USA,Town,MA,"Stockbridge, Massachusetts",0,0,0,0,0,0,1941,2136,2003,2357,2132,2081,1933,1764,1762.0,1815,2311,2161.0,2312.0,2328.0,2408.0,2276.0,1947.0
2094,24408,US,116846,42.5375,-71.5125,,USA,Town,MA,"Littleton, Massachusetts",0,0,0,0,0,0,987,1063,986,994,1025,1179,1229,1277,1447.0,1651,2349,5109.0,6380.0,6970.0,7051.0,8184.0,8924.0
2119,13429,US,259521,42.05,-71.8805555556,,USA,Town,MA,"Webster, Massachusetts",0,0,0,0,0,0,2371,2912,4763,5696,7031,8804,11509,13258,12992.0,0,13194,13680.0,14917.0,14480.0,16196.0,16415.0,16767.0
2130,71522,US,116799,42.2041666667,-72.6166666667,"[[y2016,40280]]", USA,Unknown,MA,"Holyoke, Massachusetts",0,0,0,0,0,0,3245,4997,10733,21915,35637,45712,57730,60203,56537.0,53750,54661,52689.0,50112.0,44678.0,43704.0,39838.0,39880.0
2154,32603,US,116850,42.3458333333,-71.5527777778,"[[y2016,39697]]", USA,City,MA,"Marlborough, Massachusetts",1554,1735,1674,1952,2077,2101,2941,5911,8474,10127,13805,13609,14579,15028,15587.0,15154,15756,18819.0,27936.0,30617.0,31813.0,36255.0,38499.0
2219,65468,US,116965,42.0772222222,-71.63,"[[y2015,13892]]",USA,Town,MA,"Uxbridge, Massachusetts",0,0,0,0,0,0,2457,3133,3058,3111,3408,3599,4671,5384,6285.0,6417,7007,7789.0,8253.0,8374.0,10415.0,11156.0,13457.0
2235,16062,US,116647,41.83,-69.9744444444,,USA,Town,MA,"Eastham, Massachusetts",0,0,0,0,0,0,845,779,668,692,602,502,518,430,543.0,582,860,1200.0,2043.0,3472.0,4462.0,5453.0,4956.0
2443,32617,US,76201,42.35892,-71.05781,,Census,US County,MA,"Suffolk County, Massachusetts",44865,28015,34381,43940,62163,95773,144517,192700,270802,387927,484780,611417,731388,835522,879536.0,863248,896615,791329.0,735190.0,650142.0,663906.0,689807.0,722023.0
2461,47128,US,116838,42.4602777778,-71.3494444444,,USA,Town,MA,"Concord, Massachusetts",0,0,0,0,0,0,2249,2246,2412,3922,4427,5652,6421,6461,7477.0,7972,8623,12517.0,16148.0,16293.0,17076.0,16993.0,17668.0
2479,45882,US,116744,42.6158333333,-70.6625,"[[y2016,29798]]", USA,City,MA,"Gloucester, Massachusetts",5317,5313,5943,6384,7510,6350,7786,10904,15389,19329,24651,26121,24398,22947,24204.0,24046,25167,25789.0,27941.0,27768.0,28716.0,30273.0,28789.0
2486,12071,US,314554,42.3708333333,-72.5986111111,,USA,Town,MA,"Hatfield, Massachusetts",0,0,0,0,0,0,1073,1337,1594,1495,1246,1500,1986,2651,2476.0,2216,2179,2350.0,2825.0,3045.0,3184.0,3249.0,3279.0
2540,15122,US,18182,42.05,-72.5833333333,,Census,Town,MA,"Longmeadow, Massachusetts",0,0,0,0,0,0,1252,1376,1342,1401,2183,811,1084,2618,4437.0,5790,6508,10565.0,15630.0,16301.0,15467.0,15633.0,15784.0
2580,18171,US,116936,42.2069444444,-71.6861111111,,USA,Town,MA,"Grafton, Massachusetts",0,0,0,0,0,0,3904,4317,4594,4030,5002,4869,5705,6887,7030.0,7457,8281,10627.0,11659.0,11238.0,13035.0,14894.0,17765.0
