,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
1,17447,US,116486,39.0366666667,-77.1202777778,,Census,Census-designated place,MD,"North Bethesda, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,22671.0,29656.0,38610.0,43828.0
41,12865,US,116464,39.2219444444,-77.3777777778,,Census,Town,MD,"Barnesville, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,154,149,110.0,121,130,145.0,162.0,141.0,170.0,161.0,172.0
168,10775,US,116595,38.66,-76.0580555556,,Census,Town,MD,"Trappe, Maryland",0,0,0,0,0,0,0,305,272,301,261,279,273,236,226.0,296,325,358.0,426.0,739.0,974.0,1146.0,1077.0
203,11343,US,116316,38.9319444444,-76.4663888889,,Census,Town,MD,"Highland Beach, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,5,5.0,6.0,8.0,102.0,109.0,96.0
400,14828,US,116421,39.3138888889,-77.6266666667,,Census,City,MD,"Brunswick, Maryland",0,0,0,0,0,0,0,0,0,0,0,2471,3721,3905,3671.0,3856,3752,3555.0,3566.0,4572.0,5117.0,4894.0,5870.0
476,6075,US,116323,38.9830555556,-76.4897222222,,Census,Census-designated place,MD,"Naval Academy, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,5367.0,5420.0,4264.0,4802.0
551,16966,US,116490,39.1405555556,-77.4083333333,,Census,Town,MD,"Poolesville, Maryland",0,0,0,0,0,0,0,0,0,0,0,236,174,325,197.0,204,161,298.0,349.0,3428.0,3796.0,5151.0,4883.0
657,23249,US,116460,39.2194444444,-76.0683333333,,Census,Town,MD,"Chestertown, Maryland",0,0,0,0,0,0,0,1539,1871,2359,2632,3008,2735,2537,2809.0,2760,3143,3602.0,3476.0,3300.0,4005.0,4746.0,5252.0
976,37439,US,59180,38.8666666667,-75.8166666667,,Census,US County,MD,"Caroline County, Maryland",9506,9226,9453,10108,9070,7806,9692,11129,12101,13766,13903,16248,19216,18652,17387.0,17549,18234,19462.0,19781.0,23143.0,27035.0,29772.0,33066.0
1066,18321,US,116388,39.3711111111,-76.9725,,Census,Town,MD,"Sykesville, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,565,610,661.0,806,941,1196.0,1399.0,1712.0,2303.0,4197.0,4436.0
