,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
39,35469,US,95483,43.41,-70.67,,Census,US County,ME,"York County, Maine",29078,37896,41877,46283,51722,54034,60098,62107,60174,62257,62829,64885,68526,70696,72934.0,82550,93541,99402.0,111576.0,139666.0,164587.0,186742.0,197131.0
177,4279,US,152204,44.6291666667,-69.4283333333,,Census,Plantation,ME,"Unity, Kennebec County, Maine",0,0,0,0,0,0,0,54,68,61,62,50,56,46,34.0,52,44,53.0,45.0,37.0,36.0,31.0,43.0
218,12529,US,115882,47.2852777778,-68.3872222222,,Census,Town,ME,"Frenchville, Maine",0,0,0,0,0,0,0,0,1851,2288,2560,1316,1414,1586,1525.0,1566,1528,1421.0,1375.0,1450.0,1338.0,1225.0,1087.0
477,11667,US,116251,44.9761111111,-67.0936111111,,Census,Town,ME,"Perry, Maine",0,0,0,407,735,1008,1324,1195,1149,1047,945,1245,1153,1046,992.0,713,613,564.0,878.0,737.0,758.0,847.0,889.0
498,13960,US,115977,44.2752777778,-68.5594444444,,Census,Town,ME,"Brooklin, Maine",0,0,0,0,0,0,1002,1043,966,977,1046,936,936,856,782.0,656,546,525.0,598.0,619.0,785.0,841.0,824.0
555,9466,US,116108,45.4205555556,-68.5216666667,,Census,Town,ME,"Chester, Maine",0,0,0,0,0,277,340,318,350,362,368,363,349,285,253.0,258,256,261.0,255.0,434.0,442.0,525.0,546.0
599,14651,US,116034,43.9836111111,-69.3388888889,,Census,Town,ME,"Friendship, Maine",0,0,480,587,634,725,691,770,890,938,877,814,776,696,742.0,747,772,806.0,834.0,1000.0,1099.0,1204.0,1152.0
618,29111,US,116239,44.9136111111,-67.0038888889,,Census,City,ME,"Eastport, Maine",0,562,1511,1937,2450,2876,4125,3850,3736,4006,4908,5311,4961,4494,3406.0,3346,3123,2537.0,1989.0,1982.0,797.0,1640.0,1331.0
697,11593,US,115990,44.4911111111,-68.3191666667,,Census,Town,ME,"Lamoine, Maine",0,0,0,0,0,0,0,0,612,749,726,594,482,327,354.0,454,443,484.0,615.0,953.0,1311.0,1495.0,1602.0
703,9468,US,115892,46.0697222222,-67.9522222222,,Census,Town,ME,"Linneus, Maine",0,0,0,0,0,311,561,785,1008,917,965,834,809,706,753.0,755,777,607.0,608.0,752.0,810.0,892.0,984.0
762,29262,US,95495,44.41,-69.77,,Census,US County,ME,"Kennebec County, Maine",0,24571,32564,42623,52485,55823,62521,55655,53203,53058,57012,59117,62863,63844,70691.0,77231,83881,89150.0,95247.0,109889.0,115904.0,117114.0,122151.0
874,13843,US,116064,43.8972222222,-69.5647222222,,Census,Town,ME,"South Bristol, Maine",0,0,0,0,0,0,0,0,0,0,0,0,0,581,563.0,582,631,610.0,664.0,800.0,825.0,897.0,892.0
930,21030,US,259363,43.3855555556,-70.5469444444,,Census,Town,ME,"Kennebunk, Maine",0,0,0,2145,2233,2323,2650,2679,2603,2852,3172,3228,3099,3138,3302.0,3698,4273,4551.0,5646.0,6621.0,8004.0,10476.0,10798.0
1030,13722,US,43537323,44.8366666667,-69.2725,,Census,Town,ME,"Newport, Maine",0,0,0,510,897,1138,1210,1403,1559,1451,1188,1533,1747,1709,1731.0,2052,2190,2322.0,2260.0,2755.0,3036.0,3017.0,3275.0
