,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
29,10244,US,118182,42.0591666667,-83.3908333333,,Census,Village,MI,"Carleton, Michigan",0,0,0,0,0,0,0,0,0,434,386,0,0,498,837.0,864,1039,1379.0,1503.0,2786.0,2770.0,2562.0,2345.0
75,10474,US,117536,44.5841666667,-85.5372222222,,Census,Village,MI,"Kingsley, Michigan",0,0,0,0,0,0,0,0,0,0,0,419,497,350,302.0,385,425,586.0,632.0,664.0,738.0,1469.0,1480.0
179,11765,US,118342,42.6080555556,-83.3438888889,,Census,City,MI,"Keego Harbor, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2761.0,3092.0,3083.0,2932.0,2769.0,2970.0
202,12475,US,116972,44.555,-83.3347222222,,Census,Township,MI,"Greenbush Township, Alcona County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,536.0,760.0,1292.0,1371.0,1499.0,1409.0
283,33807,US,95100,42.59,-84.85,,Census,US County,MI,"Eaton County, Michigan",0,0,0,0,0,2379,7058,16476,25171,31225,32094,31668,30499,29377,31728.0,34124,40023,49684.0,68892.0,88337.0,92879.0,103655.0,107759.0
290,10533,US,117223,42.1280555556,-84.7969444444,,Census,Township,MI,"Homer Township, Calhoun County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2614.0,2714.0,3041.0,2875.0,3010.0,3015.0
338,10000,US,117938,41.8636111111,-84.2352777778,,Census,Village,MI,"Clayton, Michigan",0,0,0,0,0,0,0,0,0,368,0,370,372,306,372.0,375,467,470.0,505.0,396.0,384.0,326.0,344.0
364,9775,US,117720,44.2319444444,-83.8044444444,,Census,City,MI,"Whittemore, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,218,232,361.0,420,452,460.0,460.0,438.0,463.0,476.0,384.0
371,10420,US,118159,43.6727777778,-84.3805555556,,Census,Village,MI,"Sanford, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,818.0,864.0,889.0,943.0,859.0
414,12766,US,119275,42.175,-83.1883333333,,Census,City,MI,"Riverview, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.0,804,1432,7237.0,11342.0,14569.0,13894.0,13272.0,12486.0
