,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
32,11130,US,119540,44.1063888889,-94.2180555556,,Census,City,MN,"Lake Crystal, Minnesota",0,0,0,0,0,0,0,0,360,483,824,1215,1055,1204,1173.0,1319,1430,1652.0,1807.0,2078.0,2084.0,2420.0,2549.0
43,9598,US,122103,46.4366666667,-96.6855555556,,Census,City,MN,"Kent, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,238,150,137.0,146,178,134.0,139.0,121.0,131.0,120.0,81.0
84,6076,US,7842450,,,,Census,Neighborhood,MN,"Sumner-Glenwood, Minneapolis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,2095.0,3336.0,144.0,1475.0
108,9615,US,120609,44.2155555556,-95.7597222222,,Census,City,MN,"Garvin, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,264,205.0,201.0,172.0,149.0,159.0,135.0
133,10599,US,119981,43.7655555556,-93.9016666667,,Census,City,MN,"Easton, Minnesota",0,0,0,0,0,0,0,0,0,68,180,318,262,326,297.0,332,379,411.0,352.0,283.0,229.0,214.0,199.0
137,10899,US,120315,47.335,-93.7941666667,,Census,City,MN,"Deer River, Minnesota",0,0,0,0,0,0,0,0,0,0,0,251,900,1044,832.0,987,1033,992.0,815.0,907.0,838.0,903.0,930.0
139,8333,US,119553,44.0077777778,-93.7830555556,,Census,City,MN,"Pemberton, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,152,177.0,128.0,208.0,228.0,246.0,247.0
142,11076,US,122026,44.1177777778,-93.7080555556,,Census,City,MN,"Janesville, Minnesota",0,0,0,0,0,0,0,0,0,1021,921,1254,1173,1261,1184.0,1296,1287,1426.0,1557.0,1897.0,1969.0,2109.0,2256.0
171,10480,US,120880,43.5669444444,-92.7186111111,,Census,City,MN,"Adams, Minnesota",0,0,0,0,0,0,0,0,0,96,216,573,576,609,574.0,674,663,806.0,771.0,797.0,756.0,800.0,787.0
194,28259,US,119765,46.8738888889,-96.7672222222,,Census,City,MN,"Moorhead, Minnesota",0,0,0,0,0,0,0,0,0,1500,2088,3730,4540,5720,7651.0,9491,14870,22934.0,29687.0,29998.0,32295.0,32177.0,38065.0
258,13825,US,120499,47.8730555556,-94.2788888889,,Census,City,MN,"Northome, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,206,270,258.0,343,349,291.0,351.0,312.0,283.0,230.0,200.0
279,21367,US,150644,45.0697222222,-93.0111111111,,Census,City,MN,"White Bear Lake, Minnesota",0,0,0,0,0,0,0,0,0,435,1356,1288,1505,2022,2600.0,2858,3646,12849.0,23313.0,22538.0,24704.0,24325.0,23797.0
289,10254,US,121036,43.9730555556,-92.1377777778,,Census,City,MN,"Dover, Minnesota",0,0,0,0,0,0,0,0,0,231,0,0,233,266,272.0,269,263,312.0,321.0,312.0,416.0,438.0,735.0
293,4264,US,2724764,,,,Census,Neighborhood,MN,"West Calhoun, Minneapolis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1595.0,1874.0,1865.0,1740.0
318,4937,US,2723743,,,,Census,Community,MN,"Calhoun Isles, Minneapolis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,30779.0,30322.0,30430.0,29913.0
322,9228,US,119884,46.5063888889,-94.0175,,Census,City,MN,"Trommald, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,301,242.0,166,117,101.0,82.0,84.0,80.0,125.0,98.0
411,8971,US,121436,45.6480555556,-95.43,,Census,City,MN,"Long Beach, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,119,181,236.0,219.0,263.0,204.0,271.0,335.0
415,9438,US,119961,46.0447222222,-95.2938888889,,Census,City,MN,"Miltona, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,116,150,163.0,172.0,187.0,181.0,279.0,424.0
439,4811,US,7053170,,,,Census,Neighborhood,MN,"Bryn Mawr, Minneapolis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,2777.0,2845.0,2663.0,2651.0
449,10955,US,120417,45.1363888889,-94.7794444444,,Census,City,MN,"Atwater, Minnesota",0,0,0,0,0,0,0,0,0,302,429,588,600,735,694.0,815,880,899.0,956.0,1128.0,1053.0,1079.0,1133.0
454,11971,US,119365,45.27,-93.0605555556,,Census,City,MN,"Columbus, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3914.0
510,11841,US,121881,45.4966666667,-95.7941666667,,Census,City,MN,"Hancock, Minnesota",0,0,0,0,0,0,0,0,0,91,218,415,524,763,798.0,827,852,942.0,806.0,877.0,723.0,717.0,765.0
570,11017,US,121496,44.4180555556,-95.5533333333,,Census,City,MN,"Milroy, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,137,177,157.0,261,268,268.0,247.0,242.0,297.0,271.0,251.0
579,17473,US,121753,46.8013888889,-92.2225,,Census,City,MN,"Hermantown, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,6759.0,6761.0,7448.0,9414.0
598,8904,US,120770,44.7730555556,-94.0386111111,,Census,City,MN,"Plato, Minnesota",0,0,0,0,0,0,0,0,0,49,130,232,238,251,242.0,283,263,280.0,303.0,390.0,355.0,336.0,320.0
606,24415,US,94879,44.72,-95.86,,Census,US County,MN,"Yellow Medicine County, Minnesota",0,0,0,0,0,0,0,0,0,5884,9854,14602,15406,16550,16625.0,16917,16279,15523.0,14418.0,13653.0,11684.0,11080.0,10438.0
