,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
67,9983,US,123035,39.3447222222,-91.3425,,Census,City,MO,"Curryville, Missouri",0,0,0,0,0,0,0,0,0,273,302,271,238,285,236.0,266,258,287.0,337.0,323.0,261.0,251.0,225.0
69,9059,US,124764,40.33,-93.7975,,Census,Village,MO,"Mount Moriah, Missouri",0,0,0,0,0,0,0,0,0,103,0,412,350,331,275.0,276,260,225.0,165.0,162.0,104.0,143.0,87.0
118,9649,US,123290,38.0191666667,-94.1166666667,,Census,City,MO,"Schell City, Missouri",0,0,0,0,0,0,0,0,0,676,847,668,562,596,413.0,454,400,343.0,367.0,327.0,292.0,286.0,249.0
129,16107,US,122663,37.6436111111,-93.0944444444,,Census,City,MO,"Buffalo, Missouri",0,0,0,0,0,0,0,0,278,437,861,757,820,915,835.0,920,1213,1477.0,1915.0,2217.0,2414.0,2781.0,3084.0
131,7282,US,123225,38.5291666667,-90.375,,USA,Cdp,MO,"Sappington, Missouri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,7287.0,7580.0
152,10388,US,122565,37.2522222222,-89.6580555556,,Census,Village,MO,"Dutchtown, Missouri",0,0,0,0,0,0,0,0,0,68,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,99.0,94.0
157,88863,US,94675,36.94,-90.97,,Census,US County,MO,"Carter County, Missouri",0,0,0,0,0,0,0,1235,1455,2168,4659,6706,5504,7482,5503.0,6226,4777,3973.0,3878.0,5428.0,5515.0,5941.0,6265.0
209,16684,US,122766,39.0086111111,-94.2075,,Census,City,MO,"Grain Valley, Missouri",0,0,0,0,0,0,0,0,0,80,193,0,133,354,358.0,362,348,552.0,709.0,1327.0,1898.0,5160.0,12854.0
273,11171,US,123174,38.7272222222,-90.3061111111,,Census,City,MO,"Cool Valley, Missouri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1492.0,2059.0,2084.0,1407.0,1081.0,1196.0
314,9642,US,123071,39.5080555556,-91.5288888889,,Census,City,MO,"Center, Missouri",0,0,0,0,0,0,0,0,0,55,155,300,540,575,516.0,488,415,484.0,588.0,669.0,552.0,644.0,508.0
379,12323,US,122555,38.9494444444,-91.9369444444,,Census,Village,MO,"Kingdom City, Missouri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,53.0,146.0,112.0,121.0,128.0
452,9958,US,122792,37.1902777778,-94.4672222222,,Census,City,MO,"Oronogo, Missouri",0,0,0,0,0,0,0,0,0,700,0,2073,1912,981,551.0,593,519,513.0,492.0,525.0,595.0,976.0,2381.0
