,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
53,7098,US,122394,31.2041666667,-89.0319444444,,Census,Town,MS,"New Augusta, Mississippi",0,0,0,0,0,0,0,0,80,0,0,0,0,0,0.0,0,0,275.0,511.0,589.0,668.0,715.0,644.0
242,8842,US,124697,34.0686111111,-88.3955555556,,Census,Town,MS,"Smithville, Mississippi",0,0,0,0,0,0,0,0,0,0,0,150,179,138,401.0,402,419,489.0,552.0,866.0,871.0,882.0,942.0
355,8451,US,122440,33.9469444444,-90.3452777778,,Census,Town,MS,"Webb, Mississippi",0,0,0,0,0,0,0,0,0,0,0,128,292,553,531.0,606,680,686.0,751.0,782.0,605.0,587.0,565.0
372,14337,US,122212,31.1608333333,-90.8038888889,,Census,Town,MS,"Liberty, Mississippi",0,0,0,0,0,0,0,0,0,0,0,392,556,515,551.0,665,683,642.0,612.0,669.0,624.0,633.0,728.0
401,6486,US,122398,31.0072222222,-90.4711111111,,Census,Town,MS,"Osyka, Mississippi",0,0,0,0,0,0,0,0,0,542,742,784,824,704,750.0,769,724,712.0,628.0,581.0,483.0,481.0,440.0
521,8242,US,124689,31.6047222222,-90.0016666667,,Census,Town,MS,"Silver Creek, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,544,252,341.0,278,275,229.0,257.0,272.0,190.0,209.0,210.0
594,12956,US,122295,32.1013888889,-90.2944444444,,Census,Town,MS,"Terry, Mississippi",0,0,0,0,0,0,0,0,0,198,0,481,473,392,412.0,401,497,585.0,546.0,655.0,613.0,664.0,1063.0
689,8466,US,124676,34.3308333333,-88.4933333333,,Census,Town,MS,"Mantachie, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,161,195,188.0,238,178,246.0,534.0,732.0,651.0,1107.0,1144.0
791,8221,US,150684,31.2788888889,-91.0613888889,,Census,Town,MS,"Crosby, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1489,1152,705.0,491.0,349.0,465.0,360.0,318.0
800,36995,US,122205,31.5544444444,-91.3875,,Census,Sole incorporated city,MS,"Natchez, Mississippi",0,0,1511,2184,2789,3612,4434,6612,9057,7058,10101,12210,11791,12608,13422.0,15296,22740,23791.0,19704.0,22015.0,19535.0,18464.0,15792.0
872,9303,US,124716,31.1161111111,-90.1427777778,,Census,Town,MS,"Tylertown, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,795,1116,1102.0,1376,1331,1532.0,1736.0,1976.0,1938.0,1910.0,1609.0
934,32862,US,94814,,,,Census,US County,MS,"Jones County, Mississippi",0,0,0,0,1471,1258,2164,3323,3313,3828,8333,17846,29885,32919,41492.0,49227,57235,59542.0,56357.0,61912.0,62031.0,64958.0,67761.0
