,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
92,25738,US,93257,35.71,-79.81,,Census,US County,NC,"Randolph County, North Carolina",7318,9234,10112,11331,12406,12875,15832,16793,17551,20836,25195,28232,29491,30856,36259.0,44554,50804,61497.0,76358.0,91728.0,106546.0,130454.0,141752.0
120,6986,US,127879,35.8172222222,-77.4580555556,,Census,Town,NC,"Conetoe, North Carolina",0,0,0,0,0,0,0,0,0,0,88,132,158,160,196.0,194,172,147.0,160.0,215.0,292.0,365.0,294.0
151,11799,US,127715,33.8686111111,-78.5069444444,,Census,Seaside town,NC,"Sunset Beach, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,108.0,304.0,311.0,1824.0,3572.0
165,17298,US,127801,35.1733333333,-81.4483333333,,Census,Town,NC,"Grover, North Carolina",0,0,0,0,0,0,0,0,0,0,126,174,209,296,435.0,469,535,538.0,555.0,597.0,516.0,698.0,708.0
234,18485,US,127701,33.9036111111,-78.0605555556,,Census,Seaside town,NC,"Caswell Beach, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,110.0,175.0,370.0,398.0
311,8653,US,127924,35.5952777778,-77.6977777778,,Census,Town,NC,"Walstonburg, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,127,158,178.0,198,177,191.0,176.0,181.0,188.0,224.0,219.0
313,22633,US,93303,35.49,-77.68,,Census,US County,NC,"Greene County, North Carolina",0,4218,4867,4533,6413,6595,6619,7925,8687,10037,10039,12038,13083,16212,18656.0,18548,18024,16741.0,14967.0,16117.0,15384.0,18974.0,21362.0
337,7343,US,128402,35.76,-78.0588888889,,Census,Town,NC,"Sims, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,173,207,205.0,205.0,192.0,124.0,128.0,282.0
342,8197,US,128075,34.0366666667,-77.8969444444,,Census,Town,NC,"Carolina Beach, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,637,1080,1192.0,1663.0,2000.0,3630.0,4701.0,5706.0
433,7482,US,127709,33.97703,-78.392517,,Census,"&quot;gr1&quot;&gt;publisher=[[united states census bureau|accessdate=2011-04-23|date=2011-02-12|title=us gazetteer files: 2010, 2000, and 1990}}",NC,"Shallotte, North Carolina",0,0,0,0,0,0,0,0,0,0,0,149,139,174,214.0,381,493,480.0,597.0,680.0,965.0,1381.0,3675.0
471,7930,US,128250,35.4047222222,-80.1158333333,,Census,Town,NC,"Badin, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2126,1905.0,1626.0,1514.0,1481.0,1154.0,1974.0
545,10283,US,127637,35.9216666667,-81.1763888889,,Census,Town,NC,"Taylorsville, North Carolina",0,0,0,0,0,0,0,0,169,180,0,413,662,1122,926.0,1122,1310,1470.0,1231.0,1103.0,1566.0,1799.0,2098.0
638,8602,US,128153,35.8736111111,-80.0102777778,,Census,City,NC,"Trinity, North Carolina",0,0,0,0,0,0,0,0,0,240,380,274,332,400,554.0,0,0,0.0,0.0,6878.0,5469.0,6690.0,6614.0
650,6696,US,128233,34.9930555556,-78.1841666667,,Census,Town,NC,"Turkey, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,146,213.0,188,223,199.0,329.0,417.0,234.0,262.0,292.0
