,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
44,8593,US,128495,46.9491666667,-96.8025,,Census,City,ND,"North River, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,65.0,68.0,65.0,56.0
73,9698,US,128537,46.4841666667,-100.278888889,,Census,City,ND,"Hazelton, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,382,446.0,500,453,451.0,374.0,266.0,240.0,237.0,235.0
95,9633,US,128686,46.5869444444,-97.4925,,Census,City,ND,"Sheldon, North Dakota",0,0,0,0,0,0,0,0,0,0,258,318,358,321,327.0,281,267,221.0,192.0,173.0,149.0,135.0,116.0
270,13261,US,128641,46.8430555556,-101.411944444,,Census,Town,ND,"New Salem, North Dakota",0,0,0,0,0,0,0,0,0,0,0,229,621,711,804.0,875,942,986.0,943.0,1081.0,909.0,938.0,946.0
534,13816,US,128598,48.3452777778,-100.406111111,,Census,City,ND,"Towner, North Dakota",0,0,0,0,0,0,0,0,0,0,211,331,691,610,622.0,918,955,948.0,870.0,867.0,669.0,574.0,533.0
548,17284,US,128554,47.9083333333,-97.6277777778,,Census,City,ND,"Larimore, North Dakota",0,0,0,0,0,0,0,0,0,0,553,1235,1224,1089,979.0,1222,1374,1714.0,1469.0,1524.0,1464.0,1433.0,1346.0
589,13498,US,128696,46.5738888889,-96.8055555556,,Census,City,ND,"Christine, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,89.0,147.0,140.0,153.0,150.0
628,9191,US,128790,46.8638888889,-102.992222222,,Census,City,ND,"South Heart, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,132.0,294.0,322.0,307.0,301.0
825,13575,US,150859,46.6225,-97.6,,Census,City,ND,"Enderlin, North Dakota",0,0,0,0,0,0,0,0,0,0,0,636,1540,1919,1839.0,1593,1504,1596.0,1343.0,1151.0,997.0,947.0,886.0
878,9045,US,128645,48.0247222222,-101.960555556,,Census,City,ND,"Plaza, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,224,345,408.0,360,389,385.0,291.0,222.0,193.0,167.0,171.0
888,11621,US,128493,46.89,-97.0522222222,,Census,City,ND,"Mapleton, North Dakota",0,0,0,0,0,0,0,0,0,0,119,322,207,198,195.0,180,169,180.0,219.0,306.0,682.0,606.0,762.0
889,9208,US,128660,48.6877777778,-97.6672222222,,Census,City,ND,"Canton City, North Dakota",0,0,0,0,0,0,0,0,0,0,0,98,115,101,125.0,148,139,130.0,81.0,68.0,64.0,42.0,45.0
1113,9115,US,128694,46.2675,-97.0002777778,,Census,City,ND,"Barney, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,115.0,81.0,70.0,79.0,69.0,52.0
1244,14784,US,128602,46.035,-99.3736111111,,Census,City,ND,"Ashley, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,682,1009,1033.0,1345,1423,1419.0,1236.0,1192.0,1052.0,882.0,749.0
1264,8631,US,128416,45.9736111111,-102.471944444,,Census,City,ND,"Haynes, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,113,167.0,210,145,111.0,53.0,58.0,37.0,19.0,23.0
1289,3253,US,12827126,48.3463888889,-101.934166667,,Census,Unknown,ND,"Tagus, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,105,133,136.0,140,101,72.0,14.0,0.0,0.0,0.0,0.0
1423,9016,US,128692,48.7294444444,-101.826944444,,Census,City,ND,"Tolley, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,250,325,225.0,177,248,189.0,163.0,103.0,79.0,63.0,47.0
1429,12491,US,128491,46.6480555556,-97.0163888889,,Census,City,ND,"Kindred, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,334,429.0,450,504,580.0,495.0,568.0,569.0,614.0,692.0
1587,11975,US,128462,46.2341666667,-103.654722222,,Census,City,ND,"Rhame, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,302,356.0,283,340,254.0,206.0,222.0,186.0,189.0,169.0
1604,10653,US,150857,46.9233333333,-97.675,,Census,City,ND,"Tower City, North Dakota",0,0,0,0,0,0,0,0,0,159,309,468,452,447,435.0,364,292,300.0,289.0,293.0,233.0,252.0,253.0
1629,9704,US,128847,47.8577777778,-101.502222222,,Census,City,ND,"Douglas, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,171,284,288.0,313,236,210.0,144.0,112.0,93.0,64.0,64.0
1746,21432,US,93167,46.45,-103.46,,Census,US County,ND,"Slope County, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,4940,4150.0,2932,2315,1893.0,1484.0,1157.0,907.0,767.0,727.0
1835,11019,US,128425,46.6536111111,-98.1905555556,,Census,City,ND,"Litchville, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,484,528,410.0,430,408,345.0,294.0,251.0,205.0,191.0,172.0
1877,9782,US,128631,47.3194444444,-101.3825,,Census,City,ND,"Stanton, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,325,358.0,370,571,409.0,517.0,623.0,517.0,345.0,366.0
1954,9930,US,128856,47.4702777778,-99.7086111111,,Census,City,ND,"Bowdon, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,302,306,303.0,348,348,259.0,229.0,220.0,196.0,139.0,131.0
1965,1949,US,46591361,48.7391666667,-99.9316666667,,Census,Unincorporated Community,ND,"Thorne, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,105,78,38.0,45,37,0.0,0.0,0.0,0.0,0.0,0.0
1999,8938,US,128603,45.9972222222,-99.5497222222,,Census,City,ND,"Venturia, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,207,233.0,257,190,148.0,77.0,40.0,30.0,23.0,10.0
2054,10510,US,128531,47.3533333333,-102.336666667,,Census,City,ND,"Halliday, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,289,305.0,395,477,509.0,413.0,355.0,288.0,227.0,188.0
2072,6778,US,128610,47.9822222222,-102.578888889,,Census,Cdp,ND,"Four Bears Village, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,309.0,364.0,517.0
2123,10824,US,128827,48.4213888889,-98.0741666667,,Census,City,ND,"Adams, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,338,404,345.0,355,411,360.0,284.0,303.0,248.0,203.0,127.0
2139,6071,US,27835770,47.4483333333,-97.6547222222,,Census,Township,ND,"Finley Township, Steele County, North Dakota",0,0,0,0,0,0,0,0,0,0,92,350,267,275,283.0,211,151,150.0,79.0,81.0,65.0,64.0,0.0
2259,24022,US,93206,47.36,-102.62,,Census,US County,ND,"Dunn County, North Dakota",0,0,0,0,0,0,0,0,0,0,159,0,5302,8828,9566.0,8376,7212,6350.0,4895.0,4627.0,4005.0,3600.0,3536.0
2393,25638,US,93146,48.35,-103.48,,Census,US County,ND,"Williams County, North Dakota",0,0,0,0,0,0,0,0,0,14,109,1530,14234,17980,19553.0,16315,16442,22051.0,19301.0,22237.0,21129.0,19761.0,22398.0
2468,13340,US,128647,48.3147222222,-102.388333333,,Census,City,ND,"Stanley, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,518,591,936.0,1058,1486,1795.0,1581.0,1631.0,1371.0,1279.0,1458.0
2778,11070,US,128547,47.9216666667,-97.3641666667,,Census,City,ND,"Emerado, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,328.0,515.0,596.0,483.0,510.0,414.0
2794,10577,US,128497,47.1580555556,-97.5702777778,,Census,City,ND,"Page, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,479,452,443.0,428,482,432.0,367.0,329.0,266.0,225.0,232.0
2827,9278,US,128590,48.0027777778,-100.716666667,,Census,City,ND,"Bergen, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,67,51,52.0,24.0,24.0,15.0,11.0,7.0
