,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
2,11966,US,124741,43.0030555556,-71.9244444444,Census,Town,NH,"Bennington, New Hampshire",0,0,0,0,0,0,541,450,401,443,542,667,690,568,552.0,655,593,591.0,639.0,890,1236,1401.0,1476.0
28,37768,US,94251,43.0755555556,-70.7605555556,Census,City,NH,"Portsmouth, New Hampshire",4720,5339,6934,7327,8026,7887,9738,9335,9211,9690,9827,10637,11269,13569,14495.0,14821,18830,26900.0,25717.0,26254,25925,20784.0,21233.0
30,12841,US,124868,43.3438888889,-71.9411111111,Census,Town,NH,"Sutton, New Hampshire",520,878,1328,1573,1424,1361,1387,1431,1155,993,849,776,698,632,512.0,675,554,487.0,642.0,1091,1457,1544.0,1837.0
31,12638,US,124943,43.5341666667,-72.3561111111,Census,town,NH,"Plainfield, New Hampshire",1024,1435,1463,1460,1581,1552,1392,1620,1589,1372,1173,1114,987,853,858.0,970,1011,1071.0,1323.0,1749,2056,2241.0,2364.0
58,9079,US,124898,42.9125,-71.1244444444,Census,town,NH,"Danville, New Hampshire",0,0,0,0,0,538,614,629,548,613,666,615,517,463,406.0,457,508,605.0,924.0,1318,2534,4023.0,4387.0
163,12693,US,124771,42.7436111111,-71.7688888889,Census,Town,NH,"Mason, New Hampshire",922,1179,1077,1313,1403,1275,1626,1559,1364,645,629,459,325,278,254.0,249,288,349.0,518.0,792,1212,1147.0,1382.0
195,3610,US,124606,44.3258333333,-71.3627777778,Census,Unknown,NH,"Low and Burbank's Grant, New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1,0,0.0,0.0
401,14810,US,124929,43.4097222222,-70.9883333333,Census,Town,NH,"Milton, New Hampshire",0,0,1005,1232,1273,1322,1629,1862,1598,1516,1640,1625,1542,1428,1206.0,1279,1510,1418.0,1859.0,2438,3691,3910.0,4598.0
421,12742,US,124532,43.5683333333,-71.0297222222,Census,Town,NH,"Wakefield, New Hampshire",646,835,1166,1518,1470,1596,1405,1478,1185,1392,1528,1645,1543,1335,1186.0,1158,1267,1223.0,1420.0,2237,3057,4252.0,5078.0
457,10754,US,124543,43.0483333333,-72.2627777778,Census,Town,NH,"Gilsum, New Hampshire",298,484,513,601,412,656,668,676,590,663,643,590,470,439,506.0,491,578,528.0,570.0,652,745,777.0,813.0
837,11942,US,124614,44.5633333333,-71.5586111111,Census,Town,NH,"Northumberland, New Hampshire",117,205,281,205,342,399,429,736,955,1062,1356,1977,2184,2567,2360.0,2740,2779,2586.0,2493.0,2520,2492,2438.0,2288.0
944,14324,US,124834,43.4441666667,-71.6475,Census,City,NH,"Franklin, New Hampshire",0,0,0,0,1370,1281,1251,1600,2301,3265,4085,5846,6132,6318,6576.0,6749,6552,6742.0,7292.0,7901,8304,8405.0,8477.0
1162,12570,US,124643,43.695,-71.6316666667,Census,Town,NH,"Ashland, New Hampshire",0,0,0,0,0,0,0,0,885,960,1193,1289,1412,1325,1375.0,1460,1599,1473.0,1599.0,1807,1915,1955.0,2076.0
1518,12940,US,124539,42.7805555556,-72.1416666667,Census,Town,NH,"Fitzwilliam, New Hampshire",1038,1240,1301,1167,1229,1366,1482,1294,1140,1187,1122,987,1148,962,850.0,824,872,966.0,1362.0,1795,2011,2141.0,2396.0
1884,15706,US,124852,43.4375,-71.5930555556,Census,Town,NH,"Northfield, New Hampshire",606,925,1057,1304,1169,1413,1332,1051,833,918,1115,1227,1474,1522,1336.0,1543,1561,1784.0,2193.0,3051,4263,4548.0,4829.0
2087,3703,US,124601,44.3005555556,-71.2219444444,Census,Unknown,NH,"Green's Grant, New Hampshire",0,0,0,0,0,0,0,14,71,8,30,13,4,5,4.0,3,0,2.0,0.0,0,0,0.0,1.0
2521,22771,US,124754,43.0202777778,-71.6002777778,Census,Town,NH,"Goffstown, New Hampshire",1275,1612,2000,2173,2218,2366,2270,1740,1656,1690,1981,2528,2579,2391,3839.0,4247,5638,7230.0,9284.0,11315,14621,16929.0,17651.0
2558,7855,US,124559,43.0177777778,-72.3211111111,Census,Town,NH,"Surry, New Hampshire",448,569,564,570,539,481,556,389,318,326,270,250,213,200,198.0,236,291,362.0,507.0,656,667,673.0,732.0
2650,13564,US,124486,43.4427777778,-71.4825,Census,Town,NH,"Belmont, New Hampshire",0,0,0,0,0,0,0,1189,1165,1226,1142,1294,1390,1194,1299.0,1374,1611,1953.0,2493.0,4026,5796,6716.0,7356.0
2985,7395,US,124799,43.1425,-72.0258333333,Census,Town,NH,"Windsor, New Hampshire",120,249,238,237,226,177,172,136,81,420,62,38,24,21,22.0,29,27,35.0,43.0,72,107,201.0,224.0
3195,3331,US,124574,44.2669444444,-71.3636111111,Census,Unknown,NH,"Chandler's Purchase, New Hampshire",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
3262,13168,US,124536,42.8872222222,-72.4702777778,Census,Town,NH,"Chesterfield, New Hampshire",1905,2161,1839,2110,2040,1765,1680,1434,1289,1173,1046,981,770,601,704.0,591,970,1405.0,1817.0,2561,3112,3542.0,3604.0
3437,39639,US,124931,43.3019444444,-70.9730555556,Census,City,NH,"Rochester, New Hampshire",2857,2646,2118,2471,2155,2431,3006,3384,4103,5784,7396,8466,8868,9673,10209.0,12012,13776,15927.0,17938.0,21560,26630,28461.0,29752.0
