,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
37,66036,US,136920,39.864269,-74.822471,,Census,Township,NJ,"Medford, New Jersey",0,0,0,0,0,0,3022,2136,2189,1980,1864,1969,1903,1891,2021.0,2237,2836,4844.0,8292.0,17622.0,20526.0,22253.0,23033.0
58,36083,US,125765,40.912976,-74.702914,,Census,Borough,NJ,"Stanhope, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,1031,1031,1089.0,1100,1351,1814.0,3040.0,3638.0,3393.0,3584.0,3610.0
61,89972,US,125435,40.404632,-74.308537,,Census,Township,NJ,"Old Bridge Township, New Jersey",0,0,0,0,0,0,0,0,1870,1662,1520,1671,1621,1808,2566.0,3803,7366,22772.0,48715.0,51515.0,56475.0,60456.0,65375.0
63,9893,US,3535729,39.652074,-75.509256,,Census,Census-designated place,NJ,"Pennsville (CDP), New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,11014.0,12467.0,12218.0,11657.0,11888.0
65,50773,US,125428,40.450239,-74.434786,,Census,Borough,NJ,"Milltown, New Jersey",0,0,0,0,0,0,0,0,0,0,0,561,1584,2573,2994.0,3515,3786,5435.0,6470.0,7136.0,6968.0,7000.0,6893.0
106,45031,US,125103,39.743875,-74.823594,,Census,Township,NJ,"Waterford Township, New Jersey",0,1629,2105,2447,3088,3467,1638,1955,2071,2149,2421,2161,1484,1917,2421.0,2750,2997,3809.0,4073.0,8126.0,10940.0,10494.0,10649.0
153,17175,US,125393,40.323294,-74.621157,,Census,Census-designated place,NJ,"Princeton Junction, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2362.0,2382.0,2465.0
156,8991,US,125622,40.037777,-74.168192,,Census,Census-designated place,NJ,"Leisure Village East, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1989.0,4597.0,4217.0
195,47559,US,125657,40.956957,-74.158561,,Census,Borough,NJ,"Hawthorne, New Jersey",0,0,0,0,0,0,0,0,0,0,0,2096,3400,5135,11868.0,12610,14816,17735.0,19173.0,18200.0,17084.0,18218.0,18791.0
201,71335,US,124976,40.97289,-73.960315,,Census,Borough,NJ,"Closter, New Jersey",0,0,0,0,0,0,0,0,0,0,513,1057,1483,1840,2502.0,2603,3376,7767.0,8604.0,8164.0,8094.0,8383.0,8373.0
260,41111,US,125131,39.228399,-74.809726,,Census,Borough,NJ,"Woodbine, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,2399,1406,2164.0,2111,2417,2823.0,2625.0,2809.0,2678.0,2716.0,2472.0
308,85807,US,125241,40.781958,-74.067649,,Census,Town,NJ,"Secaucus, New Jersey",0,0,0,0,0,0,0,0,0,0,0,1625,4740,5423,8950.0,9754,9750,12154.0,13228.0,13719.0,14061.0,15931.0,16264.0
319,41398,US,125449,40.574413,-74.4148,,Census,Borough,NJ,"South Plainfield, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5047.0,5379,8008,17879.0,21142.0,20512.0,20489.0,21810.0,23385.0
434,9480,US,17268150,39.569375,-74.707921,,Census,Census-designated place,NJ,"Elwood, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1487.0,1392.0,1437.0
469,3672,US,9618208,39.8434,-74.0887,,Census,Borough,NJ,"Island Beach, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,31,13,11.0,0.0,0.0,0.0,0.0,0.0
489,9045,US,125407,40.313448,-74.520224,,Census,Census-designated place,NJ,"Cranbury (CDP), New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,2008.0,2181.0
528,16493,US,125607,39.796991,-74.104637,,Census,Census-designated place,NJ,"Forked River, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4243.0,4914.0,5244.0
552,42631,US,125555,40.769739,-74.598813,,Census,Borough,NJ,"Mendham Borough, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,1129,969,1278.0,1343,1724,2371.0,3729.0,4899.0,4890.0,5097.0,4981.0
580,37461,US,125411,40.590231,-74.465595,,Census,Borough,NJ,"Dunellen, New Jersey",0,0,0,0,0,0,0,0,0,817,1060,1239,1990,3394,5148.0,5360,6291,6840.0,7072.0,6593.0,6528.0,6823.0,7227.0
678,65044,US,125444,40.467357,-74.319351,,Census,Borough,NJ,"Sayreville, New Jersey",0,0,0,0,0,0,0,0,0,1930,3509,4155,5783,7181,8658.0,8186,10338,22553.0,32508.0,29969.0,34986.0,40377.0,42704.0
708,51781,US,136887,40.961713,-73.997437,,Census,Borough,NJ,"Haworth, New Jersey",0,0,0,0,0,0,0,0,0,0,0,418,588,748,1042.0,1419,1612,3215.0,3760.0,3509.0,3384.0,3390.0,3382.0
725,37032,US,125207,39.660293,-74.972747,,Census,Township,NJ,"Monroe Township, Gloucester County, New Jersey",0,0,0,0,0,0,0,1417,1663,1858,1945,2402,3015,3292,4064.0,4310,5531,9396.0,14071.0,21639.0,26703.0,28967.0,36129.0
