,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
144,10263,US,126045,36.7063888889,-105.405277778,,Census,Town,NM,"Red River, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,332.0,387.0,484.0,477.0
208,10053,US,125910,32.1122222222,-103.193055556,,Census,City,NM,"Jal, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.0,1157,2047,3051.0,2602.0,2675.0,2156.0,1996.0,2047.0
325,22637,US,93409,34.86,-104.78,,Census,US County,NM,"Guadalupe County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,10927,8015,7027.0,8646,6772,5610.0,4969.0,4496.0,4156.0,4680.0,4687.0
871,22572,US,126039,34.0616666667,-106.899444444,,Census,City,NM,"Socorro, New Mexico",0,0,0,0,0,0,0,0,0,1272,2295,1512,1560,1256,2058.0,3712,4334,5271.0,5849.0,7173.0,8159.0,8877.0,9051.0
1120,7946,US,125953,35.3613888889,-103.447777778,,Census,Village,NM,"Logan, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,386.0,735.0,870.0,1094.0,1042.0
1395,6788,US,126058,34.5963888889,-106.033055556,,Census,Village,NM,"Willard, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,421,482.0,462,296,294.0,209.0,166.0,183.0,240.0,253.0
1472,23658,US,93405,33.74,-105.46,,Census,US County,NM,"Lincoln County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,7822,7823,7198.0,8557,7409,7744.0,7560.0,10997.0,12219.0,19411.0,20497.0
1635,7392,US,125866,34.4280555556,-103.628055556,,Census,Village,NM,"Melrose, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,364,655.0,851,936,698.0,636.0,649.0,662.0,736.0,651.0
1682,16999,US,126033,33.1336111111,-107.252777778,,Census,City,NM,"Truth or Consequences, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,455,1336.0,2940,4700,5000.0,4656.0,5219.0,6221.0,7289.0,6475.0
1684,7581,US,125904,32.44,-103.1625,,Census,City,NM,"Eunice, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1227,2352,3531.0,2641.0,2970.0,2676.0,2562.0,2922.0
2254,29781,US,93419,33.92,-108.42,,Census,US County,NM,"Catron County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3282.0,4881,3533,2773.0,2198.0,2720.0,2563.0,3543.0,3725.0
2410,7037,US,125901,35.9438888889,-104.193055556,,Census,Village,NM,"Roy, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,564,713.0,1138,1074,633.0,476.0,381.0,362.0,304.0,234.0
2510,21939,US,93398,35.11,-103.55,,Census,US County,NM,"Quay County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,14912,10444,10828.0,12111,13971,12279.0,10903.0,10577.0,10823.0,10155.0,9041.0
2521,7235,US,126072,34.8263888889,-106.688888889,,Census,Town,NM,"Peralta, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3660.0
2894,19961,US,93408,35.86,-103.82,,Census,US County,NM,"Harding County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4421.0,4374,3013,1874.0,1348.0,1090.0,987.0,810.0,695.0
3093,8330,US,125972,36.7397222222,-108.345,,Census,Town,NM,"Kirtland, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3113,7967,US,125984,35.5808333333,-105.678611111,,Census,Village,NM,"Pecos, New Mexico",0,0,0,0,0,0,0,0,0,241,0,0,0,0,0.0,0,0,584.0,598.0,885.0,1012.0,1441.0,1392.0
3531,13454,US,126069,34.8094444444,-106.735277778,,Census,Village,NM,"Los Lunas, New Mexico",0,0,0,0,0,0,0,0,0,876,0,0,0,0,513.0,686,889,1186.0,973.0,3525.0,6013.0,10034.0,14835.0
