,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
420,19853,US,124383,36.2286111111,-115.146666667,,Census,City,NV,"North Las Vegas, Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3875,3875,18422.0,36216.0,42739.0,47707.0,115488.0,216961.0
560,18588,US,124355,39.4727777778,-118.778888889,,Census,City,NV,"Fallon, Nevada",0,0,0,0,0,0,0,0,0,0,0,741,1753,1758,1911.0,2400,2734,2959.0,4262.0,6438.0,7536.0,8606.0,8606.0
1183,23771,US,93596,39.45,-119.53,,Census,US County,NV,"Storey County, Nevada",0,0,0,0,0,0,0,0,11359,16115,8806,3673,3045,1469,667.0,1216,671,568.0,695.0,1503.0,2526.0,3399.0,4010.0
1555,35716,US,93597,,,,Census,US County,NV,"Nye County, Nevada",0,0,0,0,0,0,0,0,1087,1875,1290,1140,7513,6504,3989.0,3606,3101,4374.0,5599.0,9048.0,17781.0,32485.0,43946.0
1960,14577,US,124361,36.0313888889,-115.198055556,,Census,Unincorporated township,NV,"Enterprise, Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14676.0,108481.0
2434,21291,US,93595,40.45,-118.4,,Census,US County,NV,"Pershing County, Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,2803,2652.0,2713,3103,3199.0,2670.0,3408.0,4336.0,6693.0,6753.0
3847,33267,US,93593,40.63,-119.68,,Census,US County,NV,"Washoe County, Nevada",0,0,0,0,0,0,0,0,3091,5664,6437,9141,17434,18627,27158.0,32476,50205,84743.0,121068.0,193623.0,254667.0,339486.0,421407.0
4130,123888,US,21216,,,,Census,US State,NV,Nevada,0,0,0,0,0,0,0,6857,42941,62266,47355,42335,81875,77407,91058.0,110247,160083,285278.0,488738.0,800493.0,1201833.0,1998257.0,2700551.0
4279,25045,US,124454,40.18,-118.476666667,,Census,Incorporated city,NV,"Lovelock, Nevada",0,0,0,0,0,0,0,0,0,0,0,0,1104,1263,1294.0,1604,1948,1571.0,1680.0,2069.0,2003.0,1894.0,2236.0
4436,11084,US,124413,40.7141666667,-116.113055556,,Census,City,NV,"Carlin, Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,825.0,832,1203,1023.0,1313.0,1232.0,2220.0,2161.0,2368.0
6277,32722,US,93605,41.13,-115.35,,Census,US County,NV,"Elko County, Nevada",0,0,0,0,0,0,0,0,3447,5716,4794,5688,8133,8083,9960.0,10912,11654,12011.0,13958.0,17269.0,33530.0,45291.0,48818.0
6399,6278,US,124404,39.0375,-119.73,,Census,Census-designated place,NV,"Johnson Lane, Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2551.0,4857.0,6490.0
6462,28356,US,87960,38.92,-119.61,,Census,US County,NV,"Douglas County, Nevada",0,0,0,0,0,0,0,0,1215,1581,1551,1534,1895,1825,1840.0,2056,2029,3481.0,6882.0,19421.0,27637.0,41259.0,46997.0
