,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
6,12002,US,259793,43.0547222222,-74.1927777778,,Census,Town,NY,"Broadalbin, New York",0,0,0,2428,2657,2738,2476,2534,2492,2175,2021,1946,1845,1949,2226.0,2300,2543,2945.0,3542.0,4074.0,4397.0,5066.0,5260.0
60,6772,US,127408,41.5297222222,-74.8972222222,,Census,Unknown,NY,"Highland, Sullivan County, New York",0,0,0,0,0,0,0,993,958,1013,979,964,1031,875,880.0,1038,1140,1138.0,1377.0,1878.0,2147.0,2407.0,2530.0
77,6909,US,126785,40.7811111111,-73.725,,Census,Village,NY,"Russell Gardens, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,556,912,1156.0,1207.0,1263.0,1027.0,1074.0,945.0
88,14959,US,259935,42.9466666667,-76.4283333333,,Census,Town,NY,"Skaneateles (town), New York",0,0,0,0,3812,3981,4081,4335,4524,4866,4662,4205,4274,4247,4795.0,4639,5193,6603.0,7825.0,7795.0,7526.0,7323.0,7209.0
90,12098,US,126239,42.4716666667,-79.1741666667,,Census,Hamlet,NY,"Forestville, New York",0,0,0,0,0,0,0,574,722,724,788,623,721,620,677.0,692,786,905.0,908.0,804.0,738.0,770.0,697.0
134,24240,US,259954,41.4019444444,-74.3230555556,,Census,Village,NY,"Goshen (village), New York",0,0,0,0,0,0,0,0,2205,2557,2907,2826,3081,2843,2891.0,3073,3311,3906.0,4342.0,4874.0,5255.0,5676.0,5454.0
154,15297,US,259974,43.4558333333,-76.2055555556,,Census,Town,NY,"Mexico, New York",0,0,0,2728,2671,3729,4221,4074,3802,3687,3404,3091,2982,2824,2720.0,2710,3035,3435.0,4174.0,4790.0,5050.0,5181.0,5197.0
173,22156,US,127479,41.8469444444,-74.0761111111,,Census,Town,NY,"Rosendale, New York",0,0,0,0,0,0,2418,2826,3625,4724,6063,6278,3717,1959,2192.0,2548,2950,4228.0,5422.0,5933.0,6220.0,6352.0,6075.0
174,11011,US,126841,43.2252777778,-75.3316666667,,Census,Town,NY,"Floyd, New York",0,767,970,1488,1699,1742,1419,1440,1209,1115,920,785,697,663,752.0,828,1014,2234.0,3620.0,3863.0,3856.0,3869.0,3819.0
193,8857,US,126686,40.8777777778,-73.4972222222,,Census,Village,NY,"Cove Neck, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.0,130,200,299.0,344.0,331.0,332.0,300.0,286.0
228,58903,US,56950,,,,Census,US County,NY,"Wayne County, New York",0,0,0,0,33643,42057,44953,47762,47710,51700,49729,48660,50179,48827,49995.0,52747,57323,67989.0,79404.0,84581.0,89123.0,93765.0,93772.0
244,9333,US,126487,42.9966666667,-78.0875,,Census,Town,NY,"Stafford, New York",0,0,0,2069,2367,2561,1974,2077,1847,1808,1625,1338,1288,1057,1231.0,1246,1355,2005.0,2461.0,2508.0,2593.0,2409.0,2459.0
246,10136,US,126264,42.0225,-76.7394444444,,Census,Town,NY,"Ashland, Chemung County, New York",0,0,0,0,0,0,0,0,1558,1149,983,954,769,834,948.0,951,1188,1273.0,1726.0,1967.0,1966.0,1951.0,1695.0
247,23435,US,259891,42.95,-74.1833333333,,Census,City,NY,"Amsterdam (city), New York",0,0,0,0,0,1700,2000,2044,5426,9466,17336,20929,31267,33524,34817.0,33329,32240,28772.0,25524.0,21872.0,20714.0,18355.0,18620.0
250,12113,US,127369,40.6375,-73.1966666667,,Census,Village,NY,"Saltaire, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,12,64.0,22,21,28.0,37.0,35.0,38.0,43.0,37.0
282,12035,US,260039,42.6133333333,-76.8241666667,,Census,Town,NY,"Lodi, New York",0,0,0,0,1786,2236,2269,2067,1825,1947,1694,1636,1408,1137,1044.0,1051,1118,1267.0,1287.0,1184.0,1429.0,1476.0,1550.0
288,7471,US,259835,44.2,-75.6166666667,,Census,Village,NY,"Antwerp (village), New York",0,0,0,0,0,300,250,621,773,731,912,929,974,1012,868.0,817,846,881.0,872.0,749.0,739.0,716.0,686.0
296,21946,US,259625,42.2561111111,-77.7897222222,,Census,Town,NY,"Alfred, New York",0,0,0,1701,1416,1630,2679,1367,1555,1526,1699,1615,1590,1269,1404.0,1410,2862,3730.0,4875.0,6191.0,5791.0,5140.0,5237.0
300,12944,US,126424,42.5563888889,-78.5311111111,,Census,Town,NY,"Sardinia, New York",0,0,0,0,1414,1743,1761,1942,1704,1767,1728,1548,1644,1518,1518.0,1700,1778,2145.0,2505.0,2792.0,2667.0,2692.0,2775.0
335,20530,US,126379,41.9777777778,-73.7805555556,,Census,Town,NY,"Milan, New York",0,0,0,1797,1886,1725,1764,1522,1474,1275,1026,950,893,704,622.0,695,806,944.0,1322.0,1668.0,1895.0,2356.0,2370.0
343,37184,US,47739945,42.9986111111,-78.1841666667,,Census,City,NY,"Batavia, New York",0,0,100,0,1671,2000,3000,2868,3890,4845,7221,9180,11613,13541,17375.0,17267,17799,18210.0,17338.0,16703.0,16310.0,16256.0,15465.0
376,8158,US,126566,43.9736111111,-75.6213888889,,Census,Village,NY,"West Carthage, New York",0,0,0,0,0,0,0,0,0,807,932,1135,1393,1666,1722.0,1767,2000,2167.0,2047.0,1824.0,2166.0,2102.0,2012.0
377,14127,US,259720,42.4180555556,-73.5763888889,,Census,Town,NY,"Chatham (town), New York",0,0,0,3372,3538,3662,3839,4163,4372,4574,4019,3537,3396,2705,2908.0,2873,3188,3402.0,3770.0,4294.0,4413.0,4249.0,4128.0
392,15922,US,126265,42.0997222222,-76.6925,,Census,Unknown,NY,"Baldwin, Chemung County, New York",0,0,0,0,0,0,0,918,969,968,733,664,476,503,483.0,457,557,735.0,889.0,892.0,829.0,853.0,832.0
421,10089,US,127217,42.1377777778,-77.6777777778,,Census,Town,NY,"Greenwood, New York",0,0,0,0,852,1138,1185,1306,1394,1386,1312,1129,1111,941,968.0,914,872,839.0,845.0,883.0,898.0,849.0,801.0
426,9701,US,127206,44.7597222222,-74.8530555556,,Census,Town,NY,"Stockholm, New York",0,0,0,822,1944,2995,3661,4074,3819,3441,2999,2826,2614,2437,2253.0,2406,2558,3465.0,3597.0,3676.0,3533.0,3592.0,3665.0
443,10693,US,126901,42.8327777778,-76.3016666667,,Census,Town,NY,"Spafford, New York",0,0,0,1294,2647,1873,1903,1814,1595,1450,1227,1159,1064,875,767.0,742,829,974.0,1148.0,1596.0,1675.0,1661.0,1686.0
458,9323,US,28071446,42.5869444444,-76.365,,Census,Village,NY,"Groton (village), New York",0,0,0,0,0,0,0,0,863,923,1280,1344,1260,2235,2004.0,2087,2150,2123.0,2112.0,2313.0,2398.0,2470.0,2363.0
496,15886,US,127166,42.85,-76.8666666667,,Census,Town,NY,"Fayette, New York",0,0,0,2869,3216,3731,3786,3742,3364,3316,2912,2711,2593,2215,2396.0,2383,2557,2825.0,2997.0,3561.0,3636.0,3643.0,3929.0
501,9840,US,150812,40.8744444444,-72.4316666667,,Census,Indian reservation,NY,Shinnecock Reservation,0,0,0,0,0,0,0,0,0,0,0,0,171,112,194.0,156,183,234.0,174.0,297.0,375.0,504.0,662.0
503,11355,US,126541,44.0672222222,-76.1338888889,,Census,Village,NY,"Chaumont, New York",0,0,0,0,0,0,0,0,370,479,623,738,708,595,596.0,534,513,523.0,567.0,620.0,593.0,592.0,624.0
549,50906,US,260007,41.1963888889,-73.9669444444,,Census,Village,NY,"Haverstraw (village), New York",0,0,0,0,0,0,0,0,0,3506,5070,5935,5669,5226,5621.0,5909,5818,5771.0,8198.0,8800.0,9438.0,10117.0,11910.0
564,8056,US,260068,42.4105555556,-77.4202777778,,Census,Village,NY,"Avoca (village), New York",0,0,0,0,0,200,300,301,492,547,953,1006,1057,1019,940.0,1006,951,1086.0,1153.0,1144.0,1033.0,1008.0,946.0
600,29572,US,54167,42.2,-74.96,,Census,US County,NY,"Delaware County, New York",0,10228,20303,26587,33024,35396,39834,42465,42972,42721,45496,46413,45575,42774,41163.0,40989,44420,43540.0,44718.0,46824.0,47225.0,48055.0,47980.0
