,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
11,17625,US,128911,39.2288888889,-82.2002777778,,Census,Village,OH,"Albany, Ohio",0,0,0,0,0,0,0,0,480,469,471,548,546,465,471.0,551,525,629.0,899.0,905.0,795.0,808.0,828.0
16,9630,US,129142,40.3222222222,-84.5683333333,,Census,Village,OH,"North Star, Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,166,169.0,296.0,254.0,246.0,209.0,236.0
110,33405,US,93056,41.68,-83.5,,Census,US County,OH,"Lucas County, Ohio",0,0,0,0,0,9382,12363,25831,46722,67377,102296,153559,192728,275721,347709.0,344333,395551,456931.0,484370.0,471741.0,462361.0,455054.0,441815.0
162,32131,US,129042,40.6286111111,-80.5691666667,,Census,City,OH,"East Liverpool, Ohio",0,0,0,0,136,503,987,1308,2105,5568,10956,16485,20387,21411,23329.0,23555,24217,22306.0,26243.0,16517.0,13654.0,13089.0,11195.0
163,14024,US,128982,40.0744444444,-83.5577777778,,Census,Village,OH,"Mechanicsburg, Ohio",0,0,0,0,0,0,682,735,940,1522,1459,1617,1446,1470,1424.0,1653,1920,1810.0,1686.0,1792.0,1803.0,1744.0,1644.0
166,13363,US,129560,41.6194444444,-83.7097222222,,Census,Village,OH,"Holland, Ohio",0,0,0,0,0,0,0,0,0,95,0,0,0,0,503.0,607,714,924.0,1108.0,1048.0,1210.0,1306.0,1764.0
225,34462,US,93140,39.33,-82.05,,Census,US County,OH,"Athens County, Ohio",0,0,2791,6338,9787,19109,18215,21364,23768,28411,35194,38730,47798,50430,44175.0,46166,45839,46998.0,54889.0,56399.0,59549.0,62223.0,64757.0
274,19120,US,129430,39.3516666667,-83.3863888889,,Census,Village,OH,"Greenfield, Ohio",0,0,0,0,0,0,1011,1500,1712,2104,2460,3979,4228,4344,3871.0,4228,4862,5422.0,4780.0,5150.0,5172.0,4906.0,4639.0
287,9465,US,129859,41.3383333333,-81.4,,Census,Village,OH,"Reminderville, Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,217.0,215.0,1960.0,2163.0,2347.0,3404.0
307,9609,US,130000,40.9502777778,-83.1708333333,,Census,Village,OH,"Sycamore, Ohio",0,0,0,0,0,0,0,0,0,272,722,853,977,839,808.0,816,935,998.0,1096.0,1059.0,919.0,914.0,861.0
340,10145,US,129145,39.9866666667,-84.4875,,Census,Village,OH,"Pitsburg, Ohio",0,0,0,0,0,0,0,0,0,0,0,157,240,302,311.0,305,359,394.0,462.0,460.0,425.0,392.0,388.0
366,11511,US,129910,40.1363888889,-83.3413888889,,Census,Village,OH,"Unionville Center, Ohio",0,0,0,0,0,0,0,0,0,200,231,259,239,193,189.0,233,237,305.0,255.0,272.0,238.0,299.0,233.0
370,9598,US,128904,41.9133333333,-80.675,,Census,Village,OH,"North Kingsville, Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,598,853.0,834,1271,1854.0,2458.0,2939.0,2672.0,2658.0,2923.0
396,174706,United States,55127498,41.4548888889,-81.6143888889,,Unknown,Neighborhoods of cleveland,OH,Union-Miles Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000.0,26548,24948,23010.0,23214.0,19299.0,17338.0,15464.0,19004.0
407,10539,US,129901,40.5972222222,-81.5294444444,,Census,Village,OH,"Strasburg, Ohio",0,0,0,0,0,0,109,114,142,181,0,461,835,917,1305.0,1297,1366,1687.0,1874.0,2091.0,1995.0,2310.0,2608.0
530,9339,US,129495,41.8075,-81.1252777778,,Census,Village,OH,"North Perry, Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.0,318,470,658.0,851.0,897.0,824.0,838.0,893.0
577,15233,US,129078,41.3994444444,-81.8183333333,,Census,City,OH,"Brook Park, Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,861,837.0,1122,2606,12856.0,30774.0,26195.0,22865.0,21218.0,19212.0
617,10398,US,129612,40.6725,-84.5194444444,,Census,Village,OH,"Mendon, Ohio",0,0,0,0,0,0,0,0,164,242,400,599,621,571,502.0,547,614,663.0,672.0,749.0,717.0,697.0,662.0
631,15555,US,129735,41.2838888889,-81.0952777778,,Census,Village,OH,"Garrettsville, Ohio",0,0,0,0,0,0,0,0,658,989,1046,1145,1001,1119,1179.0,1264,1504,1662.0,1718.0,1769.0,2014.0,2262.0,2325.0
649,9943,US,9424625,40.4605555556,-80.9786111111,,Census,Township,OH,"Loudon Township, Carroll County, Ohio",0,0,0,0,0,966,840,866,831,965,929,909,925,852,864.0,974,962,1156.0,1107.0,976.0,933.0,1032.0,1009.0
