,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
21,8613,US,130646,36.9,-95.9263888889,,Census,Town,OK,"Copan, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,307,430,521.0,549,459,617.0,675.0,960.0,809.0,796.0,733.0
101,8258,US,130388,34.9172222222,-97.3161111111,,Census,Town,OK,"Wayne, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,332,429,427.0,401,501,517.0,618.0,621.0,519.0,714.0,688.0
148,6759,US,130386,34.9188888889,-97.185,,Census,Town,OK,"Rosedale, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,112,136,88.0,98.0,97.0,48.0,66.0,68.0
198,30836,US,130529,34.9330555556,-95.7663888889,,Census,City,OK,"McAlester, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,646,11774,10632,11804.0,12401,17878,17419.0,18802.0,17255.0,16370.0,17783.0,18383.0
373,8513,US,130334,35.8602777778,-97.5630555556,,Census,City,OK,"Cedar Valley, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,61.0,58.0,288.0
447,9150,US,130618,34.4525,-97.6683333333,,Census,Town,OK,"Velma, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,611.0,831.0,661.0,771.0,620.0
492,25824,US,92098,35.64,-99.01,,Census,US County,OK,"Custer County, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,12264,23231,18736,27517.0,23068,21097,21040.0,22665.0,25995.0,26897.0,26142.0,27469.0
494,10251,US,130376,36.3925,-95.0486111111,,Census,Town,OK,"Spavinaw, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,255,213,319.0,470.0,623.0,432.0,62.0,437.0
513,108130,US,57848,35.4822222222,-97.535,,Census,State capital,OK,Oklahoma City,0,0,0,0,0,0,0,0,0,0,4151,10037,64205,91295,185389.0,204424,243504,324253.0,368164.0,404014.0,444719.0,506132.0,579999.0
566,13028,US,130083,34.2819444444,-97.0369444444,,Census,Town,OK,"Gene Autry, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,276,378,435,300.0,227,170,110.0,120.0,178.0,97.0,99.0,158.0
610,11635,US,130224,35.295,-97.7855555556,,Census,City,OK,"Tuttle, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,794,590,766.0,940,715,855.0,1640.0,3051.0,2807.0,4294.0,6019.0
687,7388,US,130511,36.1963888889,-96.3605555556,,Census,Town,OK,"Westport, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,146.0,265.0,326.0,264.0,298.0
699,5833,US,130489,36.8347222222,-94.8988888889,,Census,Cdp,OK,"Dotyville, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,17.0,87.0
719,9699,US,130536,34.8730555556,-96.5916666667,,Census,Town,OK,"Francis, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,931,911,607.0,370,271,286.0,283.0,365.0,346.0,332.0,315.0
796,8058,US,130604,35.4180555556,-94.5147222222,,Census,Town,OK,"Roland, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,228,271,212.0,311,443,100.0,827.0,1472.0,2481.0,2842.0,3169.0
901,6350,US,130560,35.6708333333,-99.5994444444,,Census,Town,OK,"Strong City, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,350,353.0,245,107,51.0,40.0,56.0,49.0,396.0,47.0
943,20646,US,92039,36.77,-98.86,,Census,US County,OK,"Woods County, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,17567,15939,17005.0,14915,14526,11932.0,11920.0,10923.0,9103.0,9089.0,8878.0
950,6198,US,130243,36.8125,-99.9333333333,,Census,Town,OK,"Rosston, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,181,185.0,143,85,58.0,56.0,66.0,54.0,66.0,31.0
965,9432,US,130656,35.4205555556,-99.28,,Census,Town,OK,"Canute, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.0,374,355,370.0,420.0,676.0,542.0,524.0,541.0
1078,8625,US,130223,34.7819444444,-97.9555555556,,Census,Town,OK,"Rush Springs, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,518,823,768,1340.0,1422,1402,1303.0,1381.0,1451.0,1229.0,1278.0,1231.0
1104,8937,US,130468,35.61,-95.8611111111,,Census,City,OK,"Morris, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,1926,1706.0,1197,1122,982.0,1119.0,1288.0,1216.0,1294.0,1479.0
1128,8512,US,130055,33.8563888889,-96.5033333333,,Census,Town,OK,"Colbert, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,602,748,671.0,814.0,1122.0,1043.0,1065.0,1140.0
