,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
71,16036,US,130764,44.3908333333,-118.948888889,,Census,City,OR,"Canyon City, Oregon",0,0,0,0,0,0,0,0,250,393,304,345,364,354,268.0,312,508,654.0,600.0,639.0,648.0,669.0,703.0
284,13486,US,130916,45.8958333333,-119.492777778,,Census,City,OR,"Irrigon, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,125,115,65.0,0,75,232.0,261.0,700.0,737.0,1702.0,1826.0
332,31162,US,130789,45.7066666667,-121.521666667,,Census,City,OR,"Hood River, Oregon",0,0,0,0,0,0,0,0,0,200,201,766,2331,3195,2757.0,3280,3701,3657.0,3991.0,4329.0,4632.0,5831.0,7167.0
382,10393,US,130924,45.535,-122.418611111,,Census,City,OR,"Wood Village, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,822.0,1533.0,2253.0,2814.0,2860.0,3878.0
448,13618,US,130877,43.7397222222,-117.070833333,,Census,City,OR,"Adrian, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,162.0,131.0,147.0,177.0
595,15515,US,130995,45.0030555556,-120.753055556,,Census,City,OR,"Shaniko, Oregon",0,0,0,0,0,0,0,0,0,0,0,72,495,124,100.0,55,61,39.0,58.0,30.0,26.0,26.0,36.0
601,11270,US,130813,42.4336111111,-123.054444444,,Census,City,OR,"Gold Hill, Oregon",0,0,0,0,0,0,0,0,0,0,0,385,0,422,502.0,0,619,608.0,603.0,904.0,964.0,1073.0,1220.0
688,16182,US,130753,42.9516666667,-123.365,,Census,City,OR,"Riddle, Oregon",0,0,0,0,0,0,0,0,0,0,0,131,187,268,195.0,214,634,992.0,1042.0,1265.0,1143.0,1014.0,1185.0
714,15234,US,130973,45.2963888889,-117.808055556,,Census,City,OR,"Cove, Oregon",0,0,0,0,0,0,0,0,0,0,223,0,433,399,307.0,321,282,311.0,363.0,451.0,507.0,594.0,552.0
803,23597,US,48964,45.4277777778,-122.778888889,,Census,City,OR,"Tigard, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,6499.0,14799.0,29344.0,42249.0,48035.0
1017,25390,US,91991,44.73,-120.02,,Census,US County,OR,"Wheeler County, Oregon",0,0,0,0,0,0,0,0,0,0,0,2443,2484,2791,2799.0,2974,3313,2722.0,1849.0,1513.0,1396.0,1547.0,1441.0
1136,14334,US,131002,45.5186111111,-123.055277778,,Census,City,OR,"Cornelius, Oregon",0,0,0,0,0,0,0,0,0,0,0,246,459,282,265.0,637,998,1146.0,1903.0,4462.0,6148.0,9652.0,11869.0
1182,9981,US,130783,43.5591666667,-119.083333333,,Census,City,OR,"Hines, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,677,918,1207.0,1407.0,1632.0,1452.0,1664.0,1563.0
1304,16662,US,150989,45.0766666667,-123.485,,Census,City,OR,"Willamina, Oregon",0,0,0,0,0,0,0,0,0,68,0,0,376,247,360.0,677,1082,960.0,1193.0,1749.0,1717.0,1844.0,2025.0
1465,10257,US,130951,45.6133333333,-123.942777778,,Census,City,OR,"Rockaway Beach, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1027,771.0,665.0,906.0,970.0,1267.0,1312.0
1481,14739,US,130705,46.165,-123.924166667,,Census,City,OR,"Warrenton, Oregon",0,0,0,0,0,0,0,0,0,0,0,332,339,730,683.0,1365,1896,1717.0,1825.0,2493.0,2681.0,4096.0,4989.0
1491,16227,US,130738,43.6616666667,-123.314722222,,Census,City,OR,"Drain, Oregon",0,0,0,0,0,0,0,0,0,188,0,193,335,607,497.0,597,1150,1052.0,1204.0,1148.0,1011.0,1021.0,1151.0
1545,21182,US,130841,43.9841666667,-124.103055556,,Census,City,OR,"Florence, Oregon",0,0,0,0,0,0,0,0,0,68,0,222,311,317,339.0,458,1026,1642.0,2246.0,4411.0,5162.0,7263.0,8466.0
1640,15433,US,130853,44.05,-123.3525,,Census,City,OR,"Veneta, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1377.0,2449.0,2519.0,2755.0,4561.0
1775,30217,US,91995,,,,Census,US County,OR,"Umatilla County, Oregon",0,0,0,0,0,0,0,0,2916,9607,13381,18049,20309,25946,24399.0,26030,41703,44352.0,44923.0,58861.0,59249.0,70548.0,75889.0
