,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
13,10431,US,133880,41.9494444444,-75.6083333333,,Census,Borough,PA,"Oakland, Susquehanna County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,955,1003,915,1120,1040.0,964,871,889.0,817.0,734.0,641.0,622.0,616.0
15,15447,US,131050,39.8,-77.2997222222,,Census,Township,PA,"Highland Township, Adams County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,825.0,943.0
19,6786,US,5043058,39.9627777778,-75.1616666667,,Census,Former District,PA,"Spring Garden District, Pennsylvania",0,0,0,3498,11140,27849,58894,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
115,15210,US,134154,40.2444444444,-79.2369444444,,Census,Borough,PA,"Ligonier, Pennsylvania",0,0,0,0,0,294,378,351,317,634,782,1259,1575,1807,1978.0,2111,2160,2276.0,2258.0,1917.0,1638.0,1695.0,1573.0
116,7036,US,131756,41.1341666667,-77.1661111111,,Census,Township,PA,"Burnside Township, Centre County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,410.0,439.0
122,7328,US,132239,41.8166666667,-79.6997222222,,Census,Township,PA,"Sparta Township, Crawford County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1740.0,1832.0
125,12618,US,132639,39.9463888889,-79.9933333333,,Census,Borough,PA,"Rices Landing, Pennsylvania",0,0,0,0,0,0,0,0,0,116,0,0,671,883,977.0,962,796,693.0,473.0,516.0,457.0,443.0,463.0
126,21683,US,132361,40.2783333333,-76.6511111111,,Census,Census-designated place,PA,"Hershey, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,12771.0,14257.0
128,6621,US,133545,40.7583333333,-76.6163888889,,Census,Township,PA,"West Cameron Township, Northumberland County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,541.0
138,7173,US,132505,41.8666666667,-79.7997222222,,Census,Township,PA,"Union Township, Erie County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1663.0,1655.0
143,156380,US,23332,,,,Census,US State,PA,Pennsylvania,434373,602365,810091,1049458,1348233,1724033,2311786,2906215,3521951,4282891,5258113,6302115,7665111,8720017,9631350.0,9900180,10498012,11319366.0,11793909.0,11863895.0,11881643.0,12281054.0,12702379.0
