,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
251,11603,US,654485,18.0063888889,-66.0158333333,"[[y1899,11163]]",USA,Municipality,PR,"Patillas, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,14448,14284,14178.0,17319,18851,17106.0,17828.0,17774.0,19633.0,20152.0,0.0
996,7759,United States of America,453059,18.4563888889,-66.0711111111,,USA,Sector (of santurce),PR,Condado (Santurce),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2470,3336,3371.0,4605.0,5575.0,5582.0,6170.0,0.0
1687,54548,US,149133,18.2011111111,-67.1397222222,,USA,Municipality,PR,"Mayagüez, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,42429,41612,58270.0,76487,87307,83850.0,85857.0,96193.0,100371.0,98434.0,89080.0
4250,22881,US,318909,18.3791666667,-65.9013888889,,Puerto Rico,Municipality,PR,"Canóvanas, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,31880.0,36816.0,43335.0,47648.0
4771,32880,US,369707,18.1627777778,-66.7222222222,,Census,Municipality,PR,"Adjuntas, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,19484,16954,17988,18075.0,22556,22424,19658.0,18691.0,18786.0,19451.0,19143.0,19483.0
5087,5554,US,23745051,18.3372222222,-66.0716666667,"[[y1899,1706],[y1935,3473]]",USA,,PR,"Caimito, San Juan, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,1934,2329,2884.0,3115,4588,6987.0,13268.0,15939.0,19413.0,20832.0,0.0
5974,171725,US,84165,18.0016666667,-66.6066666667,"[[y1765,3314],[y1776,5674],[y1824,9878],[y1828,14927],[y1836,16970],[y1846,21799],[y1857,20205],[y1876,33514],[y1887,42388],[y1897,49000]]",Spain,Municipality,PR,"Ponce, Puerto Rico",0,7234,0,0,0,0,0,28156,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8147,12042,US,654432,18.3636111111,-66.5713888889,,USA,Municipality,PR,"Florida, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1.0,1.0,7232.0,8689.0,12367.0,0.0
8264,10305,US,3074072,18.3997222222,-66.05,"[[y1899,13760]]",Census,Unknown,PR,"Río Piedras, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,18880,24745,40853.0,68290,143989,251384.0,321957.0,323860.0,332865.0,332344.0,0.0
8287,17941,US,214497,18.445,-66.1177777778,,USA,Municipality,PR,"Cataño, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,19865,25208.0,26459.0,26243.0,34587.0,30071.0,0.0
8332,20676,US,654428,18.1758333333,-66.1613888889,"[[y1899,7552]]",Puerto Rico,Municipality,PR,"Cidra, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,10595,14789,19662.0,20392,20491,21891.0,23892.0,28365.0,35601.0,42753.0,43480.0
14564,25007,US,654413,18.3794444444,-67.1883333333,,Puerto Rico,Municipality,PR,"Aguada, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14670.0,17923,20743,23234.0,25658.0,31567.0,35911.0,42042.0,41959.0
14896,25036,US,654496,18.3627777778,-66.0175,"[[y1899,5683]]",Puerto Rico,Municipality,PR,"Trujillo Alto, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,7470,9576.0,11726,13605,18251.0,30351.0,51389.0,61120.0,75728.0,74842.0
16335,1800,US,3748241,18.4616666667,-66.0963888889,"[[y1899,5453],[y1935,13356]]",USA,Unknown,PR,"Puerta de Tierra, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,10836,15716,11936.0,11480,9114,8075.0,6143.0,5522.0,5366.0,4135.0,0.0
16576,14204,US,654483,18.2269444444,-66.3911111111,"[[y1899,14845]]",USA,Municipality,PR,"Orocovis, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,15028,15758,16115.0,19770,21181,20362.0,20201.0,19332.0,21158.0,23844.0,0.0
20058,40093,US,84511,18.43,-67.1544444444,,Census,Municipality,PR,"Aguadilla, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,17830,21419,24287,28319.0,34956,44357,47864.0,51355.0,54606.0,59335.0,64685.0,60949.0
22853,25406,US,647905,18.5130555556,-67.07,,Census,Municipality,PR,"Isabela, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,14888,16852,19809,23008.0,25842,29113,28754.0,30430.0,37435.0,39147.0,44444.0,45631.0
26191,13636,US,654468,18.1808333333,-66.98,"[[y1899,8312]]",USA,Municipality,PR,"Maricao, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,7158,8291,6463.0,7724,7403,6990.0,5991.0,6737.0,6206.0,6449.0,0.0
27232,13370,US,654449,18.1397222222,-67.1275,,USA,Municipality,PR,"Hormigueros, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6916,7153.0,10827.0,14030.0,15212.0,16614.0,0.0
30471,21093,US,218590,18.4588888889,-66.2677777778,"[[y1899,3804]]",USA,Town and municipality,PR,"Dorado, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,4885,5842,7579.0,9481,11749,13460.0,17388.0,25511.0,30759.0,34017.0,0.0
30487,16148,US,654415,18.2569444444,-66.1030555556,,Puerto Rico,Municipality,PR,"Aguas Buenas, Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12885.0,14671,15565,17034.0,18600.0,22429.0,25424.0,29032.0,28659.0
