,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
353,17415,US,134335,41.7833333333,-71.6166666667,Census,Town,RI,"Scituate, Rhode Island",2315,2523,2568,2834,3993,4090,4582,4251,3846,3810,3174,3361,3493,3006,2292.0,2838,3905,5210.0,7489.0,8405,9796,10324.0,10329.0
519,14061,US,91914,41.51,-71.26,Census,US County,RI,"Newport County, Rhode Island",14351,14845,16294,15771,16535,16874,20007,21896,20050,24180,28552,32599,39335,42893,41668.0,46696,61539,81891.0,94559.0,81383,87194,85433.0,82888.0
580,26006,US,134334,41.8758333333,-71.3769444444,Census,City,RI,"Pawtucket, Rhode Island",0,0,0,0,1459,2184,3753,4200,6619,19030,27633,39231,51622,64248,77149.0,75797,81436,81001.0,76984.0,71204,72644,72958.0,71148.0
3430,12239,US,134327,41.8908333333,-71.6905555556,Census,Town,RI,"Glocester, Rhode Island",4025,4009,2310,2504,2521,2304,2872,2427,2385,2250,2095,1402,1404,1389,1693.0,2099,2682,3397.0,5160.0,7550,9227,9948.0,9746.0
4121,12854,US,134331,41.9211111111,-71.435,Census,Town,RI,"Lincoln, Rhode Island",0,0,0,0,0,0,0,0,7889,13765,20355,8937,9825,9543,10421.0,10577,11270,13551.0,16182.0,16949,18045,20898.0,21105.0
4236,20545,US,134323,41.9666666667,-71.4327777778,Census,Town,RI,"Cumberland, Rhode Island",1964,2056,2210,2653,3675,5225,6661,8339,3882,6445,8090,8925,10107,10077,10304.0,10625,12842,18792.0,26605.0,27069,29038,31840.0,33506.0
5798,13577,US,134350,41.5805555556,-71.4538888889,Census,Town,RI,"North Kingstown, Rhode Island",2907,2794,2957,3007,3036,2909,2971,3104,3563,3949,4193,4194,4048,3397,4279.0,4604,14180,18977.0,29793.0,21938,23786,26326.0,26486.0
6797,14562,US,134317,41.5116666667,-71.2866666667,Census,Town,RI,"Middletown, Rhode Island",840,913,976,949,915,891,830,1012,971,1139,1154,1457,1708,2004,2499.0,3379,7382,12675.0,29290.0,17216,19460,17334.0,16150.0
7642,18414,US,134326,41.7969444444,-71.7272222222,Census,Town,RI,"Foster, Rhode Island",2268,2457,2613,2900,2672,2181,1932,1935,1630,1552,1252,1151,1124,905,916.0,1237,1630,2097.0,2626.0,3370,4316,4274.0,4606.0
8009,13781,US,134341,41.3852777778,-71.6680555556,Census,Town,RI,"Charlestown, Rhode Island",2022,1454,1174,1160,1284,923,994,981,1119,1117,915,975,1037,759,1118.0,1199,1598,1966.0,2863.0,4800,6478,7859.0,7827.0
8689,18263,US,134321,41.8916666667,-71.3911111111,Census,City,RI,"Central Falls, Rhode Island",0,0,0,0,0,0,0,0,0,0,0,18167,22754,24174,25808.0,25248,23550,19858.0,18716.0,16995,17637,18928.0,19376.0
8781,18204,US,25439653,41.5858333333,-71.6544444444,Census,US County,RI,"Washington County, Rhode Island",18323,16135,14962,15687,15411,14324,16430,18715,20097,22495,23649,24154,24942,24932,29334.0,32493,48542,59054.0,83586.0,93317,110006,123546.0,126979.0
9942,17557,US,134351,41.5,-71.6666666667,Census,Town,RI,"Richmond, Rhode Island",1760,1368,1330,1423,1363,1361,1784,1964,2064,1949,1669,1596,1633,1301,1535.0,1629,1772,1986.0,2625.0,4018,5351,7222.0,7708.0
10244,14403,US,188188,41.7,-71.5166666667,Census,Town,RI,"West Warwick, Rhode Island",0,0,0,0,0,0,0,0,0,0,0,0,0,15461,17696.0,18188,19096,21414.0,24323.0,27026,29268,29581.0,29191.0
10876,8006,US,134313,41.6294444444,-71.6602777778,Census,Town,RI,"West Greenwich, Rhode Island",2054,1757,1619,1927,1817,1415,1350,1258,1133,1018,798,606,481,367,402.0,526,847,1169.0,1841.0,2738,3492,5085.0,6135.0
11053,20790,US,134325,41.8136111111,-71.37,Census,City,RI,"East Providence, Rhode Island",0,0,0,0,0,0,0,0,2668,5056,8422,12138,15808,21793,29995.0,32165,35871,41955.0,48207.0,50980,50380,48688.0,47037.0
11293,12618,US,134344,,,Census,town,RI,"Hopkinton, Rhode Island",2462,2276,1774,1821,1777,1726,2477,2738,2682,2952,2864,2602,2324,2316,2823.0,3230,3676,4174.0,5392.0,6406,6873,7836.0,8188.0
14472,143870,US,25410,,,Census,US State,RI,Rhode Island,68825,69122,76931,83059,97199,108830,147545,174620,217353,276531,345506,428556,542610,604397,687497.0,713346,791896,859488.0,946725.0,947154,1003464,1048319.0,1052567.0
14884,16100,US,134319,41.6,-71.25,Census,Town,RI,"Portsmouth, Rhode Island",1560,1684,1795,1645,1727,1706,1833,2048,2003,1979,1949,2105,2681,2590,2969.0,3683,6578,8251.0,12521.0,14257,16857,17149.0,17389.0
14902,17201,US,91915,41.68,-71.58,Census,US County,RI,"Kent County, Rhode Island",8851,8487,9834,10228,12789,13083,15068,17303,18595,20588,26754,29976,36378,38269,51390.0,58311,77763,112619.0,142382.0,154163,161135,167090.0,166158.0
