,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
76,29892,US,91891,33.77,-81.97,,Census,US County,SC,"Edgefield County, South Carolina",13289,18130,23160,25119,30509,32852,39262,39887,42486,45844,49259,25478,28281,23928,19326.0,17894,16591,15735.0,15692.0,17528.0,18375.0,24595.0,26985.0
259,6268,US,134613,33.4333333333,-80.9166666667,,Census,Town,SC,"Cordova, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,133,151.0,139,175,209.0,205.0,202.0,135.0,157.0,169.0
281,27602,US,91881,34.34,-80.59,,Census,US County,SC,"Kershaw County, South Carolina",0,7340,9867,12432,13545,12281,14473,13086,11754,21538,22361,24696,27094,29398,32070.0,32913,32287,33585.0,34727.0,39015.0,43599.0,52647.0,61697.0
336,15728,US,134421,32.6086111111,-80.0816666667,,Census,Town,SC,"Kiawah Island, South Carolina",0,0,0,0,0,0,0,0,0,91,0,0,0,0,0.0,0,0,0.0,0.0,0.0,718.0,1163.0,1626.0
381,7097,US,134675,34.9511111111,-82.0986111111,,Census,City,SC,"Wellford, South Carolina",0,0,0,0,0,0,0,0,0,302,0,346,370,180,400.0,454,721,1040.0,1298.0,2143.0,2511.0,2030.0,2378.0
384,9115,US,134473,33.8319444444,-81.8022222222,,Census,Town,SC,"Johnston, South Carolina",0,0,0,0,0,0,0,0,0,463,827,865,943,1101,1072.0,1100,1426,2119.0,2552.0,2624.0,2688.0,2336.0,2362.0
692,23838,US,91906,,,,Census,US County,SC,"Anderson County, South Carolina",0,0,0,0,17169,18493,21475,22873,24049,33612,43696,55728,69568,76349,80949.0,88712,90664,98478.0,105474.0,133235.0,145196.0,165740.0,187126.0
696,6402,US,134601,34.2177777778,-81.7133333333,,Census,Town,SC,"Silverstreet, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,297,221.0,146,201,181.0,156.0,200.0,156.0,216.0,162.0
799,5612,US,134582,34.2825,-79.4736111111,,Census,Town,SC,"Sellers, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,458,483,690.0,681,530,431.0,469.0,388.0,358.0,277.0,219.0
806,12292,US,134420,32.79,-79.7838888889,,Census,City,SC,"Isle of Palms, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1186.0,2657.0,3421.0,3680.0,4583.0,4133.0
862,13125,US,134596,34.1952777778,-81.4138888889,,Census,Town,SC,"Little Mountain, South Carolina",0,0,0,0,0,0,0,0,0,0,0,283,440,399,244.0,251,213,238.0,240.0,282.0,235.0,255.0,291.0
964,6809,US,134485,34.2283333333,-79.7325,,Census,Town,SC,"Quinby, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,788.0,952.0,865.0,842.0,932.0
993,28091,US,134622,33.4969444444,-80.8622222222,,Census,City,SC,"Orangeburg, South Carolina",0,0,0,0,0,0,0,997,246,2140,2964,4455,5906,7290,8776.0,10521,15322,13852.0,13252.0,14933.0,13739.0,12765.0,13964.0
1002,7145,US,134522,32.8136111111,-81.2394444444,,Census,Town,SC,"Luray, South Carolina",0,0,0,0,0,0,0,0,0,0,0,131,194,174,188.0,162,102,102.0,72.0,149.0,102.0,115.0,127.0
1073,9121,US,134589,33.9136111111,-82.2891666667,,Census,Town,SC,"McCormick, South Carolina",0,0,0,0,0,0,0,0,0,0,0,237,613,1284,1304.0,1456,1744,1998.0,1864.0,1725.0,1659.0,1489.0,2783.0
1339,9063,US,134667,34.905,-81.7572222222,,Census,Town,SC,"Pacolet, South Carolina",0,0,0,0,0,0,0,0,0,0,0,365,410,398,309.0,352,455,1252.0,1418.0,1556.0,1736.0,2690.0,2235.0
1462,6591,US,134455,33.0686111111,-80.9577777778,,Census,Town,SC,"Lodge, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,263,315,290.0,242,316,181.0,168.0,145.0,147.0,114.0,120.0
1510,7088,US,134373,32.9575,-81.2377777778,,Census,Town,SC,"Fairfax, South Carolina",0,0,0,0,0,0,0,0,0,0,0,301,499,957,1376.0,1379,1567,1814.0,1937.0,2154.0,2317.0,3206.0,2025.0
1665,6761,US,134398,33.1244444444,-81.3430555556,,Census,Town,SC,"Kline, South Carolina",0,0,0,0,0,0,0,0,0,0,0,93,199,238,214.0,282,230,213.0,305.0,315.0,285.0,238.0,197.0
1668,6779,US,134585,34.58,-79.5433333333,,Census,Town,SC,"Clio, South Carolina",0,0,0,0,0,0,0,0,0,0,0,508,780,1009,808.0,821,837,847.0,936.0,1031.0,882.0,774.0,726.0
1731,21883,US,91858,33.92,-80.38,,Census,US County,SC,"Sumter County, South Carolina",0,3571,19054,25269,28277,27892,33220,23859,25268,37037,43605,51237,38472,43040,45902.0,52463,57634,74941.0,79425.0,88243.0,102637.0,104646.0,107456.0
1840,20236,US,151026,33.0080555556,-80.1827777778,,Census,Town,SC,"Summerville, South Carolina",0,0,0,0,0,0,0,0,0,1371,2219,2420,2355,2550,2579.0,3023,3312,3633.0,3839.0,6492.0,22519.0,27752.0,43392.0
1912,7027,US,134483,33.9363888889,-79.9319444444,,Census,Town,SC,"Olanta, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,230,409,433.0,515,586,568.0,640.0,699.0,687.0,613.0,563.0
2002,31725,US,91903,32.35,-80.69,,Census,US County,SC,"Beaufort County, South Carolina",18753,20428,25887,32199,37032,35794,38805,40053,34359,30176,34119,35495,30355,22269,21815.0,22037,26993,44187.0,51136.0,65364.0,86425.0,120937.0,162233.0
2012,6858,US,134696,34.5916666667,-81.4644444444,,Census,Town,SC,"Carlisle, South Carolina",0,0,0,0,0,0,0,0,0,0,0,358,367,376,382.0,303,405,390.0,670.0,503.0,470.0,496.0,436.0
2075,9089,US,134538,33.6061111111,-78.9730555556,,Census,Town,SC,"Surfside Beach, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1329.0,2522.0,3845.0,4425.0,3837.0
