,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
25,12204,US,134869,44.59,-97.4663888889,,Census,City,SD,"Bryant, South Dakota",0,0,0,0,0,0,0,0,0,0,172,405,645,651,656.0,658,624,522.0,502.0,388.0,374.0,396.0,456.0
91,11397,US,134738,42.9477777778,-97.6580555556,,Census,Town,SD,"Tabor, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,273,428,397.0,391,373,378.0,388.0,460.0,403.0,417.0,423.0
214,24148,US,91821,43.2,-99.18,,Census,US County,SD,"Gregory County, South Dakota",0,0,0,0,0,0,0,0,0,0,295,2211,13061,12700,11420.0,9554,8556,7399.0,6710.0,6015.0,5359.0,4792.0,4271.0
266,9730,US,135036,43.3233333333,-101.037777778,,Census,Cdp,SD,"Parmelee, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,618.0,650.0,562.0
315,12202,US,135032,44.8386111111,-100.072777778,,Census,Town,SD,"Agar, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,142,141,139.0,156.0,139.0,82.0,82.0,76.0
395,11376,US,134776,43.1369444444,-98.4263888889,,Census,Town,SD,"Ravinia, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,81,199,157.0,155,200,164.0,109.0,88.0,79.0,79.0,61.0
416,11486,US,134814,45.3330555556,-97.3041666667,,Census,City,SD,"Waubay, South Dakota",0,0,0,0,0,0,0,0,0,0,0,430,803,979,903.0,882,879,851.0,696.0,675.0,647.0,662.0,576.0
491,13119,US,134956,43.5694444444,-100.746111111,,Census,City,SD,"White River, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,417,471.0,562,465,583.0,617.0,561.0,595.0,598.0,581.0
517,26424,US,91794,43.68,-96.79,,Census,US County,SD,"Minnehaha County, South Dakota",0,0,0,0,0,0,0,0,355,8251,21879,23926,29631,42490,50872.0,57697,70910,86575.0,95209.0,109435.0,123809.0,148281.0,169468.0
627,50201,US,91845,44.41,-98.28,,Census,US County,SD,"Beadle County, South Dakota",0,0,0,0,0,0,0,0,0,1290,9586,8081,15776,19273,22917.0,19648,21082,21682.0,20877.0,19195.0,18253.0,17023.0,17398.0
634,11254,US,134745,44.245,-97.0433333333,,Census,Town,SD,"Sinai, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,216,217.0,182,181,166.0,147.0,129.0,120.0,133.0,120.0
804,11229,US,134802,43.6091666667,-103.594166667,,Census,Town,SD,"Pringle, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,273,193,145.0,86.0,105.0,96.0,125.0,112.0
829,16484,US,134839,43.2994444444,-103.828888889,,Census,City,SD,"Edgemont, South Dakota",0,0,0,0,0,0,0,0,0,0,0,479,816,1254,1103.0,1002,1158,1772.0,1174.0,1468.0,906.0,867.0,774.0
919,14599,US,134828,45.4286111111,-101.074722222,,Census,City,SD,"Timber Lake, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,555,572.0,512,552,624.0,625.0,660.0,517.0,443.0,443.0
933,13609,US,135019,43.2625,-102.347777778,,Census,Cdp,SD,"Porcupine, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,783.0,407.0,1062.0
1004,11094,US,134753,45.3180555556,-98.3041666667,,Census,Town,SD,"Stratford, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,297,262.0,205,164,109.0,106.0,82.0,85.0,96.0,72.0
1167,12662,US,134876,44.5161111111,-99.2016666667,,Census,Town,SD,"Ree Heights, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.0,258,254,188.0,183.0,88.0,91.0,85.0,62.0
1195,16611,US,134977,44.0477777778,-96.5963888889,,Census,City,SD,"Flandreau, South Dakota",0,0,0,0,0,0,0,0,0,471,569,1244,1484,1929,1934.0,2212,2193,2129.0,2027.0,2114.0,2311.0,2376.0,2341.0
1196,11924,US,134999,45.8561111111,-96.9191666667,,Census,Town,SD,"New Effington, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,305,337.0,344,367,280.0,258.0,261.0,219.0,233.0,256.0
