,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
96,12922,US,135306,35.3666666667,-84.2988888889,,Census,Town,TN,"Tellico Plains, Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,0,1220,902.0,899,833,794.0,773.0,698.0,657.0,859.0,880.0
200,11509,US,135331,36.1452777778,-85.2658333333,,Census,Town,TN,"Monterey, Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,1107,1445,1731.0,1742,2043,2069.0,2351.0,2610.0,2559.0,2717.0,2850.0
280,12829,US,135315,36.4966666667,-88.8791666667,,Census,City,TN,"South Fulton, Tennessee",0,0,0,0,0,0,0,0,0,284,623,455,1391,1650,1988.0,2050,2119,2512.0,3122.0,2735.0,2688.0,2517.0,2354.0
348,21491,US,135385,35.4247222222,-89.7827777778,,Census,Town,TN,"Atoka, Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,0,245,222.0,255,334,357.0,446.0,691.0,659.0,3235.0,8387.0
363,15162,US,135335,35.8722222222,-84.525,,Census,City,TN,"Kingston, Tennessee",0,0,0,0,0,0,386,307,739,858,0,548,824,516,827.0,880,1627,2010.0,4142.0,4441.0,4552.0,5264.0,5934.0
365,28257,US,91733,,,,Census,US County,TN,"Hardin County, Tennessee",0,0,0,1462,4868,8245,10328,11214,11768,14793,17698,19246,17521,17291,16213.0,17806,16908,17397.0,18212.0,22280.0,22633.0,25578.0,26026.0
538,12657,US,135082,35.6075,-85.1913888889,,Census,City,TN,"Pikeville, Tennessee",0,0,0,0,0,0,0,0,188,145,0,0,0,488,551.0,759,882,951.0,1454.0,2085.0,1771.0,1781.0,1608.0
568,24065,US,91695,36.43,-84.51,,Census,US County,TN,"Scott County, Tennessee",0,0,0,0,0,0,1905,3519,4054,6021,9794,11077,12947,13411,14080.0,15966,17362,15413.0,14762.0,19259.0,18358.0,21127.0,22228.0
597,7597,US,135402,35.7225,-85.9202777778,,Census,Town,TN,"Centertown, Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,169.0,181.0,300.0,332.0,257.0,243.0
614,11753,US,135429,36.1,-86.1372222222,,Census,Town,TN,"Watertown, Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,517,933,928.0,908,933,919.0,1061.0,1300.0,1250.0,1358.0,1477.0
625,21105,US,91717,35.14,-86.59,,Census,US County,TN,"Lincoln County, Tennessee",0,0,6104,14761,22075,21493,23492,22828,28050,26960,27382,26304,25908,25786,25422.0,27214,25624,23829.0,24318.0,26483.0,28157.0,31340.0,33361.0
