,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
22,6832,US,136153,33.1352777778,-95.8402777778,,Census,City,TX,"Cumby, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,945,646.0,642,504,447.0,628.0,647.0,571.0,616.0,777.0
50,7269,US,51651,26.2230555556,-97.7513888889,,Census,Town,TX,"Primera, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1066.0,902.0,1380.0,2030.0,2723.0,4070.0
68,9975,US,151234,34.7438888889,-101.856944444,,Census,Town,TX,"Happy, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,724.0,576,690,624.0,672.0,674.0,588.0,647.0,678.0
105,19683,US,91443,33.18,-100.25,,Census,US County,TX,"Stonewall County, Texas",0,0,0,0,0,0,0,0,0,104,1024,2183,5320,4086,5667.0,5589,3679,3017.0,2397.0,2406.0,2013.0,1693.0,1490.0
160,25830,US,136008,29.995,-95.265,,Census,City,TX,"Humble, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1371,1388,1711.0,3272.0,6729.0,12060.0,14579.0,15133.0
161,8168,US,136468,32.5394444444,-98.4233333333,,Census,City,TX,"Mingus, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,570,310,253.0,273.0,212.0,215.0,246.0,235.0
199,18054,US,136283,30.1830555556,-96.9347222222,,Census,City,TX,"Giddings, Texas",0,0,0,0,0,0,0,0,0,624,1203,0,0,1650,1835.0,2166,2532,2821.0,2783.0,3950.0,4093.0,5105.0,4881.0
243,11467,US,135912,28.8913888889,-99.095,,Census,City,TX,"Pearsall, Texas",0,0,0,0,0,0,0,0,0,0,766,0,1799,2161,2536.0,1198,2029,3470.0,5545.0,7383.0,6924.0,7157.0,9146.0
323,21643,US,91458,28.01,-97.52,,Census,US County,TX,"San Patricio County, Texas",0,0,0,0,0,0,200,620,602,1010,1312,2372,7307,11386,23836.0,28871,35842,45021.0,47288.0,58013.0,58749.0,67138.0,64804.0
383,15142,US,151246,31.5877777778,-102.890555556,,Census,City,TX,"Monahans, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,816.0,3944,6311,8567.0,8333.0,8397.0,8101.0,6821.0,6953.0
