,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
31,9077,US,137196,37.1194444444,-113.503333333,,Census,City,UT,"Washington, Utah",0,0,0,0,0,0,0,196,463,483,315,529,424,464,435.0,507,435,445.0,750.0,3092.0,4198.0,8186.0,18761.0
52,8028,US,137030,39.3283333333,-112.672222222,,Census,Town,UT,"Hinckley, Utah",0,0,0,0,0,0,0,0,0,0,0,591,324,821,678.0,637,589,397.0,400.0,464.0,658.0,698.0,696.0
136,15499,US,151248,38.9933333333,-110.15,,Census,City,UT,"Green River, Utah",0,0,0,0,0,0,0,0,0,0,375,222,628,645,474.0,470,583,1075.0,1033.0,1048.0,866.0,973.0,952.0
216,10138,US,137187,37.2136111111,-113.266666667,,Census,City,UT,"La Verkin, Utah",0,0,0,0,0,0,0,0,0,0,0,0,120,173,236.0,349,387,365.0,463.0,1174.0,1771.0,3392.0,4060.0
292,9256,US,137020,39.8152777778,-111.856388889,,Census,City,UT,"Mona, Utah",0,0,0,0,0,0,0,0,315,503,469,469,467,408,338.0,357,328,347.0,309.0,536.0,584.0,850.0,1547.0
326,7047,US,137120,40.6258333333,-111.201388889,,Census,Cdp,UT,"Samak, Utah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,161.0,287.0
393,8941,US,137033,39.5316666667,-112.278055556,,Census,Town,UT,"Leamington, Utah",0,0,0,0,0,0,0,0,0,0,169,239,290,336,356.0,279,214,190.0,112.0,113.0,253.0,217.0,226.0
485,13860,US,137105,38.7622222222,-111.989444444,,Census,Town,UT,"Glenwood, Utah",0,0,0,0,0,0,0,0,0,462,496,422,359,564,350.0,385,338,277.0,212.0,447.0,437.0,437.0,464.0
591,7773,US,137195,37.2016666667,-113.189722222,,Census,Town,UT,"Virgin, Utah",0,0,0,0,0,0,0,79,224,254,213,269,136,212,202.0,143,147,124.0,119.0,169.0,229.0,394.0,596.0
658,15741,US,137119,40.7186111111,-111.287777778,,Census,City,UT,"Oakley, Utah",0,0,0,0,0,0,0,0,0,0,0,335,249,365,371.0,305,264,247.0,265.0,470.0,522.0,948.0,1470.0
698,8578,US,137047,41.5227777778,-111.161388889,,Census,Town,UT,"Woodruff, Utah",0,0,0,0,0,0,0,0,0,268,340,487,367,366,404.0,241,175,169.0,173.0,222.0,135.0,194.0,180.0
717,60972,US,71071,40.67,-111.93,,Census,US County,UT,"Salt Lake County, Utah",0,0,0,0,0,0,6157,11295,18337,31977,58457,77725,131426,159282,194102.0,211623,274895,383035.0,458607.0,619066.0,725956.0,898387.0,1029655.0
733,5231,US,16906814,38.2544444444,-112.7125,,Census,Unincorporated community,UT,"Greenville, Utah",0,0,0,0,0,0,0,0,175,214,209,215,252,247,179.0,172,128,0.0,0.0,0.0,0.0,0.0,0.0
795,8223,US,137212,41.1786111111,-112.004166667,,Census,City,UT,"Riverdale, Utah",0,0,0,0,0,0,0,0,0,272,489,282,353,526,659.0,689,871,1848.0,3704.0,6031.0,6419.0,7656.0,8426.0
1050,5541,US,136936,41.8363888889,-112.000277778,,Census,Cdp,UT,"Cache, Utah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,37.0,38.0
1077,13647,US,136953,41.9194444444,-111.810277778,,Census,City,UT,"Richmond, Utah",0,0,0,0,0,0,0,0,817,1198,1232,1111,1562,1396,1140.0,1131,1091,977.0,1000.0,1705.0,1955.0,2051.0,2470.0
1175,8594,US,136946,41.6841666667,-111.817777778,,Census,City,UT,"Millville, Utah",0,0,0,0,0,0,0,0,402,539,679,509,625,409,403.0,439,401,364.0,441.0,848.0,1202.0,1507.0,1829.0
1217,4518,US,12770441,39.5425,-111.649444444,,Census,Unincorporated community,UT,"Freedom, Utah",0,0,0,0,0,0,0,0,0,102,0,0,124,102,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1326,7937,US,137173,40.0136111111,-111.653888889,,Census,City,UT,"Woodland Hills, Utah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,60.0,301.0,941.0,1344.0
1376,11726,US,137161,40.1330555556,-111.580555556,,Census,City,UT,"Mapleton, Utah",0,0,0,0,0,0,0,0,0,0,0,584,534,586,663.0,907,1175,1516.0,1980.0,2726.0,3572.0,5809.0,7979.0
1452,8926,US,136991,40.3538888889,-110.710833333,,Census,Town,UT,"Tabiona, Utah",0,0,0,0,0,0,0,0,0,0,0,0,0,308,277.0,211,160,167.0,125.0,152.0,120.0,149.0,171.0
1517,14673,US,137076,37.6233333333,-109.478888889,,Census,City,UT,"Blanding, Utah",0,0,0,0,0,0,0,0,0,0,0,0,385,1072,1001.0,1438,1177,1805.0,2250.0,3118.0,3162.0,3162.0,3375.0
1542,8178,US,137202,38.3016666667,-111.42,,Census,Town,UT,"Torrey, Utah",0,0,0,0,0,0,0,0,0,0,0,0,142,252,274.0,241,241,128.0,84.0,140.0,122.0,171.0,182.0
1562,7954,US,136986,40.3597222222,-110.286944444,,Census,Town,UT,"Altamont, Utah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,102.0,129.0,247.0,167.0,178.0,225.0
1568,23687,US,71074,40.88,-110.97,,Census,US County,UT,"Summit County, Utah",0,0,0,0,0,0,0,198,2512,4921,7733,9439,8200,7862,9527.0,8714,6745,5673.0,5879.0,10198.0,15518.0,29736.0,36324.0
1575,11476,US,137117,40.6422222222,-111.2775,,Census,City,UT,"Kamas, Utah",0,0,0,0,0,0,0,0,0,0,0,440,418,563,558.0,729,721,749.0,806.0,1064.0,1061.0,1274.0,1811.0
