,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
158,73528,US,91295,39.09,-77.64,,Census,US County,VA,"Loudoun County, Virginia",18962,20523,21338,22702,21939,20431,22079,21774,20929,23634,23274,21948,21167,20577,19852.0,20291,21147,24549.0,37150.0,57427.0,86129.0,169599.0,312311.0
188,31814,US,91369,37.76,-75.76,,Census,US County,VA,"Accomack County, Virginia",13959,15693,15743,15966,16656,17096,17890,18586,20409,24408,27277,32570,36650,34795,35854.0,33030,33832,30635.0,29004.0,31268.0,31703.0,38305.0,33164.0
189,22178,US,137559,38.8494444444,-77.1291666667,,Census,Census-designated place (cdp),VA,"Bailey's Crossroads, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,7295.0,12564.0,19507.0,23166.0,23643.0
473,21990,US,91247,36.72,-77.11,,Census,US County,VA,"Southampton County, Virginia",12864,13925,13497,14170,16074,14525,13521,12915,12285,18012,20078,22848,26302,27555,26870.0,26442,26522,27195.0,18582.0,18731.0,17550.0,17482.0,18570.0
524,10019,US,137576,38.8897222222,-77.2058333333,,Census,Census-designated place,VA,"Idylwood, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,11982.0,14710.0,16005.0,17288.0
679,26100,US,91349,37.01,-78.66,,Census,US County,VA,"Charlotte County, Virginia",10078,11912,13161,13290,15252,14595,13955,14471,14513,16653,15077,15343,15785,17540,16061.0,15861,14057,13368.0,11551.0,12266.0,11688.0,12472.0,12586.0
683,18005,US,137564,38.8425,-77.4425,,Census,Census-designated place (cdp),VA,"Centreville, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,7473.0,26585.0,49789.0,71135.0
685,10161,US,137515,37.5252777778,-79.6833333333,,Census,Town,VA,"Buchanan, Virginia",0,0,0,0,0,0,0,0,0,414,802,716,792,802,825.0,868,1300,1349.0,1326.0,1205.0,1222.0,1233.0,1178.0
722,22915,US,91275,37.3,-75.93,,Census,US County,VA,"Northampton County, Virginia",6889,6763,7474,7705,8641,7715,7498,7832,8046,9152,10313,13770,16672,17852,18565.0,17597,17300,16966.0,14442.0,14625.0,13061.0,13093.0,12389.0
766,56644,US,91261,38.7,-77.48,,Census,US County,VA,"Prince William County, Virginia",11615,12733,11311,9419,9330,8144,8129,8565,7504,9180,9805,11112,12026,13660,13951.0,17738,22612,50164.0,111102.0,144636.0,215686.0,280813.0,402002.0
769,8540,US,137624,36.7647222222,-78.9280555556,,Census,Town,VA,"Halifax, Virginia",0,0,0,0,0,0,0,0,0,621,1285,687,516,411,473.0,536,791,792.0,899.0,772.0,688.0,1389.0,1309.0
1242,98094,US,18940583,38.8047222222,-77.0472222222,,Census,Independent city,VA,"Alexandria, Virginia",2748,4971,7227,8218,8241,8459,8734,12652,13570,13659,14339,14528,15329,18060,24149.0,33523,61787,91023.0,110927.0,103217.0,111183.0,128283.0,139966.0
1261,30383,US,91336,38.49,-77.96,,Census,US County,VA,"Culpeper County, Virginia",22105,18100,18967,20944,24027,11393,12282,12063,12227,13408,13233,14123,13472,13292,13306.0,13365,13242,15088.0,18218.0,22620.0,27791.0,34262.0,46689.0
1324,7798,US,151265,37.7125,-76.3816666667,,Census,Town,VA,"Kilmarnock, Virginia",0,0,0,0,0,0,0,0,0,59,0,0,0,0,0.0,614,689,927.0,841.0,945.0,1109.0,1244.0,1487.0
1347,8261,US,151255,38.2675,-78.825,,Census,Town,VA,"Grottoes, Virginia",0,0,0,0,0,0,0,0,0,0,0,381,456,492,534.0,759,908,969.0,1166.0,1369.0,1455.0,2114.0,2668.0
1391,16682,US,137528,37.1175,-79.2897222222,,Census,Town,VA,"Altavista, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,1206,2367.0,2919,3332,3299.0,2708.0,3849.0,3686.0,3425.0,3450.0
1479,30860,US,91325,38.74,-77.81,,Census,US County,VA,"Fauquier County, Virginia",17892,21329,22689,23103,26086,21897,20868,21706,19690,22993,22590,23374,22526,21869,21071.0,21039,21248,24066.0,26375.0,35889.0,48741.0,55139.0,65203.0
1484,20506,US,81067,38.3,-78.47,,Census,US County,VA,"Greene County, Virginia",0,0,0,0,0,4232,4400,5022,4634,5830,5622,6214,6937,6369,5980.0,5218,4745,4715.0,5248.0,7625.0,10297.0,15244.0,18403.0
1522,8472,US,137597,38.5355555556,-77.8080555556,,Census,Town,VA,"Remington, Virginia",0,0,0,0,0,0,0,0,0,0,0,198,251,267,273.0,226,309,288.0,321.0,425.0,460.0,624.0,598.0
1538,13334,US,137809,36.8816666667,-82.7472222222,,Census,Town,VA,"Big Stone Gap, Virginia",0,0,0,0,0,0,0,0,0,0,0,1617,2590,3009,3908.0,4331,5173,4688.0,4153.0,4748.0,4748.0,4856.0,5643.0
1866,9865,US,137698,37.1872222222,-78.2016666667,,Census,Town,VA,"Burkeville, Virginia",0,0,0,0,0,0,0,0,0,237,404,510,653,514,755.0,658,695,705.0,703.0,606.0,535.0,489.0,432.0
1889,10964,US,137652,38.4119444444,-79.5805555556,,Census,Town,VA,"Monterey, Virginia",0,0,0,0,0,0,0,0,0,154,0,246,240,313,290.0,309,262,270.0,223.0,247.0,222.0,158.0,147.0
2003,61187,US,91265,36.8344444444,-76.3416666667,,Census,Independent city,VA,"Portsmouth, Virginia",0,0,0,0,0,6477,8626,9496,10590,11390,13268,17427,33190,54387,45704.0,50745,80039,114773.0,110963.0,104577.0,103910.0,100565.0,95535.0
2065,19007,US,91257,37.94,-76.72,,Census,US County,VA,"Richmond County, Virginia",6985,13744,6214,5706,6055,5965,6448,6856,6503,7195,7146,7088,7415,7434,6878.0,6634,6189,6375.0,5841.0,6952.0,7273.0,8809.0,9254.0
2167,12408,US,137812,36.9780555556,-82.5769444444,,Census,Town,VA,"Wise, Virginia",0,0,0,0,0,0,0,0,0,128,186,511,806,1071,1112.0,1226,1574,2614.0,2891.0,3894.0,3193.0,3255.0,3286.0
2190,13501,US,137620,36.7155555556,-80.9758333333,,Census,Town,VA,"Fries, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,1775,2029,2205.0,1555,1442,1039.0,885.0,758.0,690.0,614.0,484.0
2196,7820,US,137793,36.9702777778,-76.9883333333,,Census,Town,VA,"Wakefield, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,570,784,881.0,687,949,1015.0,942.0,1355.0,1070.0,1038.0,927.0
2340,6147,US,137625,36.76,-78.7905555556,,Census,Town,VA,"Scottsburg, Virginia",0,0,0,0,0,0,0,0,0,87,297,0,0,0,225.0,239,222,188.0,157.0,335.0,152.0,145.0,119.0
2400,14390,US,137536,36.7588888889,-80.7344444444,,Census,Town,VA,"Hillsville, Virginia",0,0,0,0,0,0,181,0,268,0,0,0,0,0,485.0,656,764,905.0,1149.0,2123.0,2008.0,2607.0,2681.0
2482,12019,US,137774,36.8333333333,-81.5166666667,,Census,Town,VA,"Marion, Virginia",0,0,0,0,0,0,0,445,368,919,1651,2045,2727,3253,4156.0,5177,6982,8385.0,8158.0,7287.0,6858.0,6339.0,5968.0
2485,50770,US,137686,37.23,-80.4177777778,,Census,Town,VA,"Blacksburg, Virginia",0,0,0,0,0,0,0,0,0,688,0,768,875,1095,1406.0,2133,3358,7070.0,9384.0,30638.0,34590.0,39573.0,42620.0
2492,25781,US,91355,37.57,-78.53,,Census,US County,VA,"Buckingham County, Virginia",9779,13389,20059,17569,18351,18786,13837,15212,13371,15540,14383,15266,15204,14885,13315.0,13398,12288,10877.0,10597.0,11751.0,12873.0,15623.0,17146.0
2526,8699,US,137622,36.7008333333,-81.4447222222,,Census,Town,VA,"Troutdale, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,431,636,357.0,334,250,273.0,209.0,248.0,196.0,1230.0,178.0
2652,39204,US,91245,38.41,-77.45,,Census,US County,VA,"Stafford County, Virginia",9588,9971,9830,9517,9362,8454,8044,8555,6420,7211,7362,8097,8070,8104,8050.0,9548,11902,16876.0,24587.0,40470.0,61236.0,92446.0,128961.0
2927,9454,US,137790,37.0444444444,-76.9347222222,,Census,Town,VA,"Dendron, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,1653,1705,671.0,465,476,403.0,336.0,307.0,305.0,297.0,272.0
3148,10004,US,137776,36.5805555556,-77.2,,Census,Town,VA,"Boykins, Virginia",0,0,0,0,0,0,0,0,0,0,173,224,505,637,636.0,699,811,710.0,742.0,791.0,658.0,620.0,564.0
