,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
81,13580,US,137828,46.2677777778,-119.488333333,,Census,City,WA,"Benton City, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,863,1210.0,1070.0,1980.0,1806.0,2624.0,3038.0
178,40841,US,138041,47.57,-122.6525,,Census,City,WA,"Bremerton, Washington",0,0,0,0,0,0,0,0,0,0,0,0,2993,8918,10170.0,15134,27678,28922.0,35307.0,36208.0,38142.0,37259.0,37729.0
257,11334,US,138082,46.5791666667,-122.910833333,,Census,City,WA,"Napavine, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,340,181.0,220,242,314.0,377.0,611.0,745.0,1361.0,1988.0
398,7027,US,137994,47.4811111111,-122.118611111,,Census,Cdp,WA,"East Renton Highlands, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,12033.0,13218.0,13264.0,11140.0
554,7589,US,138079,46.7413888889,-122.996666667,,Census,Cdp,WA,"Fords Prairie, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1404.0,2250.0,2582.0,2480.0,1961.0,1959.0
588,6214,US,138012,47.3327777778,-122.276944444,,Census,Cdp,WA,"Lakeland North, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,11648.0,14402.0,15085.0,12942.0
616,7130,US,137837,47.3911111111,-120.293888889,,Census,Census-designated place,WA,"South Wenatchee, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1376.0,1207.0,1991.0,1553.0
695,34536,US,57823,46.25,-119.5,,Census,US County,WA,"Benton County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,7937,10903,10952.0,12053,51370,62070.0,67540.0,109444.0,112560.0,142475.0,175177.0
735,10194,US,138321,46.7925,-117.250555556,,Census,Town,WA,"Albion, Washington",0,0,0,0,0,0,0,0,0,0,0,0,276,252,236.0,206,256,291.0,687.0,631.0,632.0,616.0,579.0
747,10977,US,138179,48.5261111111,-121.988888889,,Census,Town,WA,"Hamilton, Washington",0,0,0,0,0,0,0,0,0,0,203,392,405,462,252.0,229,294,271.0,196.0,268.0,228.0,309.0,301.0
