,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
123,13681,US,260333,44.9102777778,-90.3169444444,,Census,City,WI,"Colby, Wisconsin",0,0,0,0,0,0,0,0,0,259,0,667,869,798,849.0,903,989,1085.0,1178.0,1496.0,1532.0,1616.0,1852.0
147,9659,US,138691,45.6086111111,-91.7775,,Census,Village,WI,"Haugen, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,426,249.0,268,246,265.0,246.0,251.0,305.0,287.0,287.0
150,18254,US,260738,45.8258333333,-91.8911111111,,Census,City,WI,"Spooner, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,1453,2293,2426.0,2639,2597,2398.0,2444.0,2365.0,2464.0,2653.0,2682.0
155,9441,US,138796,44.9519444444,-91.0391666667,,Census,Village,WI,"Boyd, Wisconsin",0,0,0,0,0,0,0,0,0,0,545,674,527,478,540.0,618,619,622.0,574.0,660.0,683.0,680.0,552.0
183,10401,US,139765,43.6586111111,-88.0083333333,,Census,Village,WI,"Cascade, Wisconsin",0,0,0,0,0,0,0,0,0,255,0,0,0,362,286.0,358,403,449.0,603.0,615.0,620.0,666.0,709.0
278,9972,US,138808,44.8713888889,-91.3777777778,,Census,Town,WI,"Hallie, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4531.0,4703.0,161.0
334,29594,US,260356,43.0516666667,-91.1413888889,,Census,Unknown,WI,"Prairie du Chien, Wisconsin",0,0,0,0,0,0,0,2398,2700,2777,3131,3232,3149,3537,3943.0,4622,5392,5649.0,5540.0,5859.0,5659.0,6018.0,5911.0
347,13645,US,260674,43.1838888889,-90.1033333333,,Census,Village,WI,"Spring Green, Wisconsin",0,0,0,0,0,0,0,0,422,450,625,621,730,690,779.0,868,1064,1146.0,1199.0,1265.0,1283.0,1444.0,1628.0
356,10258,US,260552,45.7783333333,-88.0038888889,,Census,City,WI,"Niagara, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,1946,2033.0,2266,2022,2098.0,2347.0,2079.0,1999.0,1880.0,1624.0
367,9937,US,260665,43.5830555556,-90.1297222222,,Census,Village,WI,"La Valle, Wisconsin",0,0,0,0,0,0,0,0,0,306,333,386,421,447,415.0,408,448,417.0,411.0,412.0,446.0,326.0,367.0
391,6318,US,139797,44.9091666667,-92.5511111111,,Census,Town,WI,"Kinnickinnic, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1722.0
404,18259,US,151295,43.9147222222,-88.0319444444,,Census,City,WI,"Kiel, Wisconsin",0,0,0,0,0,0,0,0,0,363,497,924,1244,1599,1803.0,1898,2129,2524.0,2848.0,3083.0,2910.0,3450.0,3738.0
441,10241,US,260399,45.0491666667,-87.2975,,Census,Village,WI,"Egg Harbor, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,184.0,238.0,183.0,250.0,201.0
456,11824,US,138941,43.4063888889,-88.7033333333,,Census,City,WI,"Juneau, Wisconsin",0,0,0,0,0,0,0,0,300,454,701,891,1003,1159,1154.0,1301,1444,1718.0,2043.0,2045.0,2157.0,2485.0,2814.0
529,9454,US,260718,43.6527777778,-90.3413888889,,Census,City,WI,"Hillsboro, Wisconsin",0,0,0,0,0,0,0,0,0,195,461,785,804,950,972.0,1146,1341,1366.0,1231.0,1263.0,1288.0,1302.0,1417.0
576,10046,US,260387,43.3355555556,-88.7213888889,,Census,Village,WI,"Clyman, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,230,250,259.0,328.0,317.0,370.0,388.0,422.0
578,9748,US,139810,44.9491666667,-92.2891666667,,Census,Village,WI,"Woodville, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,298,403.0,408,410,430.0,522.0,725.0,942.0,1104.0,1344.0
587,17768,US,139424,43.0080555556,-88.0183333333,,Census,City,WI,"West Allis, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,6645,13745,34671.0,36364,42959,68157.0,71723.0,63982.0,63221.0,61254.0,60411.0
622,23366,US,90956,45.34,-88.0,,Census,US County,WI,"Marinette County, Wisconsin",0,0,0,0,0,0,0,0,0,8929,20304,30822,33812,34361,33530.0,36225,35748,34660.0,35810.0,39314.0,40548.0,43384.0,41749.0
645,8830,US,139668,45.4966666667,-90.8930555556,,Census,Village,WI,"Glen Flora, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,174,137.0,140,91,75.0,69.0,83.0,108.0,93.0,92.0
660,9277,US,139752,45.0052777778,-89.0391666667,,Census,Village,WI,"Mattoon, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,868,666,508.0,524,510,435.0,377.0,382.0,431.0,466.0,438.0
715,13227,US,138753,44.1244444444,-91.7094444444,,Census,City,WI,"Fountain City, Wisconsin",0,0,0,0,0,0,0,0,867,963,972,1031,1031,880,880.0,985,934,934.0,1017.0,963.0,938.0,983.0,859.0
743,41602,US,90921,,,,Census,County,WI,"Waukesha County, Wisconsin",0,0,0,0,0,0,19258,26831,28274,28957,33270,35229,37100,42612,52358.0,62744,85901,158249.0,231365.0,280326.0,304715.0,360767.0,389891.0
750,6964,US,138989,44.7247222222,-92.05,,Census,Town,WI,"Eau Galle, Dunn County, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,854.0,797.0,757.0
781,12201,US,260412,44.9027777778,-91.7080555556,,Census,Village,WI,"Elk Mound, Wisconsin",0,0,0,0,0,0,0,0,0,48,0,0,302,357,376.0,338,390,379.0,471.0,737.0,765.0,785.0,878.0
824,15465,US,260601,43.3191666667,-87.9316666667,,Census,Village,WI,"Grafton, Wisconsin",0,0,0,0,0,0,0,0,0,415,434,478,818,898,1065.0,1150,1489,3748.0,5998.0,8381.0,9340.0,10312.0,11459.0
834,9451,US,260523,42.5680555556,-90.0413888889,,Census,Village,WI,"Gratiot, Wisconsin",0,0,0,0,0,0,0,0,0,191,0,335,368,338,287.0,297,323,294.0,249.0,280.0,207.0,252.0,236.0
870,12517,US,139705,43.2775,-90.0444444444,,Census,Village,WI,"Plain, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,324,331.0,405,512,677.0,688.0,676.0,691.0,792.0,773.0
918,16151,US,260376,43.0602777778,-89.5716666667,,Census,City,WI,"Middleton, Wisconsin",0,0,0,0,0,0,0,0,285,295,0,0,679,791,983.0,1358,2110,4410.0,8246.0,11851.0,13289.0,15770.0,17442.0
935,12312,US,260430,43.8079023,-88.6732279,,Census,Village,WI,"Rosendale, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,305,305.0,317,388,415.0,464.0,725.0,777.0,923.0,1063.0
946,12513,US,260758,43.0827777778,-88.2527777778,,Census,Village,WI,"Pewaukee (village), Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2484.0,3271.0,4637.0,5287.0,8170.0,8166.0
1038,9079,US,139799,44.9952777778,-92.755,,Census,Village,WI,"North Hudson, Wisconsin",0,0,0,0,0,0,0,0,0,100,0,0,0,586,625.0,595,787,1019.0,1547.0,2218.0,3101.0,3463.0,3768.0
1049,4088,US,24192739,45.2244444444,-91.1175,,Census,Census-designated place,WI,"Holcombe, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,267.0
1064,8829,US,139311,44.225,-87.8033333333,,Census,Village,WI,"Kellnersville, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,369.0,350.0,374.0,332.0
1097,17546,US,260706,45.1380555556,-90.3452777778,,Census,City,WI,"Medford, Wisconsin",0,0,0,0,0,0,0,0,0,504,1193,1758,1846,1881,1918.0,2361,2799,3260.0,3454.0,4035.0,4283.0,4350.0,4326.0
1102,11269,US,260631,45.4119444444,-92.6388888889,,Census,City,WI,"St. Croix Falls, Wisconsin",0,0,0,0,0,0,0,0,288,216,745,622,569,825,952.0,1007,1065,1249.0,1425.0,1497.0,1640.0,2033.0,2133.0
1145,11126,US,260512,43.8594444444,-90.9591666667,,Census,Village,WI,"Bangor, Wisconsin",0,0,0,0,0,0,0,0,0,453,499,633,692,854,835.0,847,941,928.0,974.0,1012.0,1076.0,1400.0,1459.0
1215,13203,US,337470,45.0538888889,-87.7461111111,,Census,City,WI,"Peshtigo, Wisconsin",0,0,0,0,0,0,0,0,0,0,1719,0,1975,1440,1579.0,1947,2279,2504.0,2836.0,2807.0,3154.0,3357.0,3502.0
