,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
40,9895,US,138602,39.2677777778,-81.0513888889,,Census,Town,WV,"Ellenboro, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,204,286,330.0,277,307,340.0,267.0,357.0,453.0,373.0,363.0
45,8619,US,138471,37.9069444444,-81.9830555556,,Census,Town,WV,"Mitchell Heights, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,185,290.0,524.0,342.0,265.0,301.0,323.0
98,13581,US,138509,37.4238888889,-81.0133333333,,Census,Town,WV,"Athens, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,575,552,628.0,682,935,1086.0,967.0,1147.0,741.0,1102.0,1048.0
107,19443,US,138485,39.5302777778,-80.1191666667,,Census,Town,WV,"Rivesville, West Virginia",0,0,0,0,0,0,0,54,63,136,165,164,190,1061,1700.0,1552,1343,1191.0,1108.0,1327.0,1064.0,913.0,934.0
170,43327,US,91055,39.47,-78.03,,Census,US County,WV,"Berkeley County, West Virginia",19713,22006,11479,11211,10518,10972,11771,12525,14900,17380,18702,19469,21999,24554,28030.0,29016,30359,33791.0,36356.0,46846.0,59253.0,75905.0,104169.0
190,25391,US,91005,39.34,-80.05,,Census,US County,WV,"Taylor County, West Virginia",0,0,0,0,0,0,5367,7463,9367,11455,12147,14978,16554,18742,19114.0,19919,18422,15010.0,13878.0,16584.0,15144.0,16089.0,16895.0
329,96629,US,57861,38.3472222222,-81.6333333333,,Census,State capital,WV,"Charleston, West Virginia",0,0,0,0,0,0,1050,1520,3162,4192,6742,11099,22996,39608,60408.0,67914,73501,85796.0,71505.0,63968.0,57287.0,53421.0,51400.0
451,19898,US,138436,39.2841666667,-77.8561111111,,Census,City,WV,"Charles Town, West Virginia",0,0,0,0,0,0,1507,1376,1593,2016,2287,2392,2662,2527,2434.0,2926,3035,3329.0,3023.0,2857.0,3122.0,2907.0,5259.0
493,36976,US,61368,40.1,-80.62,,Census,US County,WV,"Ohio County, West Virginia",5212,4740,9182,9182,15584,13357,18006,22422,28831,37457,41557,48024,57572,62892,72077.0,73115,71672,68437.0,64197.0,61389.0,50871.0,47427.0,44443.0
565,10194,US,138398,39.2719444444,-79.365,,Census,Town,WV,"Bayard, West Virginia",0,0,0,0,0,0,0,0,0,0,0,540,417,1074,743.0,585,589,484.0,475.0,540.0,414.0,299.0,290.0
728,21724,US,138544,38.2236111111,-80.5366666667,,Census,City,WV,"Richwood, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,3061,4331,5720.0,5051,5321,4110.0,3717.0,3568.0,2808.0,2477.0,2051.0
810,7664,US,138500,37.3516666667,-81.7991666667,,Census,Town,WV,"Bradshaw, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,394.0,289.0,337.0
835,11217,US,138491,39.9872222222,-80.7313888889,,Census,City,WV,"McMechen, West Virginia",0,0,0,0,0,0,0,0,0,0,427,1465,2921,3356,3710.0,3726,3518,2999.0,2808.0,2402.0,2130.0,1937.0,1926.0
881,27147,US,91042,39.01,-78.86,,Census,US County,WV,"Hardy County, West Virginia",7336,6627,5525,5700,6798,7622,9543,9864,5518,6794,7567,8449,9163,9601,9816.0,10813,10032,9308.0,8855.0,10030.0,10977.0,12669.0,14025.0
1070,24919,US,91050,38.84,-81.12,,Census,US County,WV,"Calhoun County, West Virginia",0,0,0,0,0,0,0,2502,2939,6072,8155,10266,11258,10268,10866.0,12455,10259,7948.0,7046.0,8250.0,7885.0,7582.0,7627.0
1146,24492,US,91046,39.1,-79.2,,Census,US County,WV,"Grant County, West Virginia",0,0,0,0,0,0,0,0,4467,5542,6802,7275,7838,8993,8441.0,8805,8756,8304.0,8607.0,10210.0,10428.0,11299.0,11937.0
1163,12600,US,138401,37.9911111111,-80.3552777778,,Census,Town,WV,"Falling Spring, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,270,263,355.0,388,307,265.0,255.0,240.0,191.0,209.0,211.0
1199,24887,US,91003,39.47,-80.88,,Census,US County,WV,"Tyler County, West Virginia",0,0,0,2314,4104,6954,5498,6517,7832,11073,11962,18252,16211,14186,12785.0,12559,10535,10026.0,9929.0,11320.0,9796.0,9592.0,9208.0
1208,9399,US,138612,39.0813888889,-79.6458333333,,Census,Town,WV,"Hambleton, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,1300,488,368.0,394,283,275.0,328.0,403.0,265.0,246.0,232.0
1392,10629,US,138571,38.4613888889,-81.8155555556,,Census,Town,WV,"Poca, West Virginia",0,0,0,0,0,0,0,0,0,145,284,0,0,0,0.0,0,0,607.0,772.0,1142.0,1124.0,1013.0,974.0
