,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
1176,25857,US,90911,44.59,-104.56,,Census,US County,WY,"Crook County, Wyoming",0,0,0,0,0,0,0,0,0,239,2338,3137,6492,5524,5333.0,5463,4738,4691.0,4535.0,5308.0,5294.0,5887.0,7083.0
1766,31960,US,90908,42.09,-104.36,,Census,US County,WY,"Goshen County, Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,8064,11754.0,12207,12634,11941.0,10885.0,12040.0,12373.0,12538.0,13249.0
1777,50113,US,11423229,41.1455555556,-104.801944444,,Census,State capital,WY,"Cheyenne, Wyoming",0,0,0,0,0,0,0,0,1450,3456,11690,14087,11320,13829,17361.0,22474,31935,43505.0,41254.0,47283.0,50008.0,53011.0,59466.0
1988,11532,US,140074,41.2083333333,-106.791111111,,Census,Town,WY,"Encampment, Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,421,230,209.0,331,288,333.0,321.0,611.0,490.0,443.0,450.0
2759,22967,US,140119,43.7097222222,-106.638611111,,Census,Town,WY,"Kaycee, Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,217,161.0,210,211,284.0,272.0,271.0,256.0,249.0,263.0
2797,12508,US,140083,42.7658333333,-104.926944444,,Census,Town,WY,"Lost Springs, Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,207,121,66.0,38,9,5.0,7.0,9.0,4.0,1.0,4.0
2983,16335,US,140245,44.0166666667,-107.958333333,,Census,City,WY,"Worland, Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,265,1225,1461.0,2710,4202,5806.0,5055.0,6391.0,5742.0,5250.0,5487.0
3003,10926,US,140120,41.4169444444,-104.100277778,,Census,Town,WY,"Albin, Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,160,208,172.0,118.0,128.0,120.0,120.0,181.0
3273,11632,US,140058,44.8827777778,-108.468055556,,Census,Town,WY,"Cowley, Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,574,687,526.0,491,463,459.0,366.0,455.0,477.0,560.0,655.0
3307,13171,US,140059,44.8905555556,-108.596944444,,Census,Town,WY,"Deaver, Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,142,85.0,111,118,121.0,112.0,178.0,199.0,177.0,178.0
